#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
28600at50557_520822_0:000c07|STRG.16357.1:661-2541|+   -            627 28600at50557         -            507  2.2e-241  800.9  16.5   1   1  1.4e-241  9.7e-240  795.5  16.5     1   497    10   609    10   620 0.87 -
28600at50557_13686_0:0008a3|STRG.16357.2:661-2580|+    -            640 28600at50557         -            507    1e-240  798.7  17.4   1   2  9.4e-242  6.5e-240  796.1  13.6     1   491    10   588    10   597 0.89 -
28600at50557_13686_0:0008a3|STRG.16357.2:661-2580|+    -            640 28600at50557         -            507    1e-240  798.7  17.4   2   2       1.8   1.3e+02    0.0   0.1   488   506   613   632   600   633 0.80 -
28600at50557_13686_0:0008a3|STRG.16357.3:742-2661|+    -            640 28600at50557         -            507    1e-240  798.7  17.4   1   2  9.4e-242  6.5e-240  796.1  13.6     1   491    10   588    10   597 0.89 -
28600at50557_13686_0:0008a3|STRG.16357.3:742-2661|+    -            640 28600at50557         -            507    1e-240  798.7  17.4   2   2       1.8   1.3e+02    0.0   0.1   488   506   613   632   600   633 0.80 -
140221at50557_568069_0:001a32|STRG.7138.1:119-583|+    -            155 28600at50557         -            507   4.1e-13   47.8   0.0   1   1     7e-15   4.8e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.7138.2:672-1136|+   -            155 28600at50557         -            507   4.1e-13   47.8   0.0   1   1     7e-15   4.8e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.7138.3:871-1335|+   -            155 28600at50557         -            507   4.1e-13   47.8   0.0   1   1     7e-15   4.8e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.7138.4:876-1340|+   -            155 28600at50557         -            507   4.1e-13   47.8   0.0   1   1     7e-15   4.8e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.7138.5:524-988|+    -            155 28600at50557         -            507   4.1e-13   47.8   0.0   1   1     7e-15   4.8e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.7138.6:243-707|+    -            155 28600at50557         -            507   4.1e-13   47.8   0.0   1   1     7e-15   4.8e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
108271at50557_286306_0:004073|STRG.2665.4:0-590|+      -            197 28600at50557         -            507   1.6e-12   45.9   0.0   1   1   2.8e-14     2e-12   45.6   0.0     4   153    13   172    10   178 0.83 -
140221at50557_568069_0:001a32|STRG.10510.1:85-576|+    -            164 28600at50557         -            507   2.7e-12   45.1   0.0   1   1   4.2e-14   2.9e-12   45.0   0.0     3   114     8   127     6   158 0.85 -
140221at50557_568069_0:001a32|STRG.10510.2:85-576|+    -            164 28600at50557         -            507   2.7e-12   45.1   0.0   1   1   4.2e-14   2.9e-12   45.0   0.0     3   114     8   127     6   158 0.85 -
140221at50557_568069_0:001a32|STRG.4227.1:243-719|+    -            159 28600at50557         -            507   2.8e-12   45.1   0.0   1   1   4.8e-14   3.3e-12   44.8   0.0     1   111     1   119     1   133 0.86 -
108271at50557_64793_0:001833|STRG.2665.3:0-602|+       -            201 28600at50557         -            507   3.1e-12   45.0   0.0   1   1   5.4e-14   3.7e-12   44.7   0.0     4   148    13   167    10   177 0.83 -
108271at50557_64793_0:001833|STRG.2665.2:564-1181|+    -            206 28600at50557         -            507   3.3e-12   44.8   0.0   1   1   5.9e-14   4.1e-12   44.6   0.0     4   148    18   172    15   182 0.83 -
108271at50557_64793_0:001833|STRG.2665.1:104-727|+     -            208 28600at50557         -            507   3.4e-12   44.8   0.0   1   1   6.1e-14   4.2e-12   44.5   0.0     4   148    20   174    17   184 0.83 -
108271at50557_224129_0:0005ad|STRG.6919.1:1027-1569|+  -            181 28600at50557         -            507   5.8e-12   44.0   0.1   1   1   8.9e-14   6.1e-12   44.0   0.1     4   167     2   177     1   181 0.78 -
108271at50557_224129_0:0005ad|STRG.6919.2:254-796|+    -            181 28600at50557         -            507   5.8e-12   44.0   0.1   1   1   8.9e-14   6.1e-12   44.0   0.1     4   167     2   177     1   181 0.78 -
107216at50557_110193_0:000c8b|STRG.12301.2:350-928|+   -            193 28600at50557         -            507   8.1e-12   43.6   0.0   1   1   1.5e-13     1e-11   43.2   0.0     4   149    14   171    12   186 0.79 -
140221at50557_568069_0:001a32|STRG.7077.1:540-1019|+   -            160 28600at50557         -            507   1.7e-11   42.5   0.0   1   1   2.7e-13   1.9e-11   42.4   0.0     2   124     3   134     2   159 0.79 -
140221at50557_568069_0:001a32|STRG.7077.2:104-583|+    -            160 28600at50557         -            507   1.7e-11   42.5   0.0   1   1   2.7e-13   1.9e-11   42.4   0.0     2   124     3   134     2   159 0.79 -
140221at50557_568069_0:001a32|STRG.7077.3:104-583|+    -            160 28600at50557         -            507   1.7e-11   42.5   0.0   1   1   2.7e-13   1.9e-11   42.4   0.0     2   124     3   134     2   159 0.79 -
104262at50557_132113_0:00109a|STRG.9844.1:235-744|+    -            170 28600at50557         -            507   8.7e-11   40.2   0.0   1   1   1.5e-12     1e-10   39.9   0.0     4   146    18   170    16   170 0.79 -
106023at50557_34720_0:001fd2|STRG.3308.1:918-1577|+    -            220 28600at50557         -            507   1.2e-10   39.7   0.0   1   1   2.2e-12   1.5e-10   39.4   0.0     3   149    27   183    25   193 0.74 -
140221at50557_568069_0:001a32|STRG.14807.1:284-763|+   -            160 28600at50557         -            507   1.2e-10   39.7   0.0   1   1   1.9e-12   1.3e-10   39.5   0.0     2   117     3   126     2   157 0.81 -
106023at50557_67767_0:00110a|STRG.3308.3:158-826|+     -            223 28600at50557         -            507   1.2e-10   39.7   0.0   1   1   2.3e-12   1.6e-10   39.3   0.0     3   149    30   186    28   196 0.74 -
106023at50557_34720_0:001fd2|STRG.3308.4:368-1063|+    -            232 28600at50557         -            507   1.4e-10   39.5   0.0   1   1   2.6e-12   1.8e-10   39.2   0.0     3   149    39   195    37   205 0.74 -
108755at50557_178035_0:0020de|STRG.10765.2:251-877|+   -            209 28600at50557         -            507   1.5e-10   39.3   0.0   1   1   2.8e-12     2e-10   39.0   0.0     2   148    13   169    12   177 0.80 -
106023at50557_456900_0:0019f7|STRG.3308.2:370-1098|+   -            243 28600at50557         -            507   1.6e-10   39.3   0.0   1   1   2.9e-12     2e-10   38.9   0.0     3   149    50   206    48   216 0.74 -
108755at50557_456900_0:000c82|STRG.10765.1:251-906|+   -            214 28600at50557         -            507   1.7e-10   39.2   0.0   1   1   3.1e-12   2.1e-10   38.9   0.0     2   148    13   169    12   177 0.80 -
105221at50557_7460_0:001362|STRG.1549.1:0-635|+        -            212 28600at50557         -            507   1.8e-10   39.1   0.0   1   1     3e-12   2.1e-10   38.9   0.0     3   147    24   181    22   204 0.77 -
129498at50557_103372_0:001a9c|STRG.15507.1:423-1127|+  -            235 28600at50557         -            507     2e-10   39.0   0.0   1   1   3.3e-12   2.3e-10   38.8   0.0     3   149    12   168    10   191 0.76 -
104262at50557_132113_0:00109a|STRG.7527.1:459-935|+    -            159 28600at50557         -            507   2.1e-10   38.9   0.0   1   1   3.4e-12   2.3e-10   38.7   0.0     4   146     8   159     5   159 0.79 -
105221at50557_54969_0:000f08|STRG.2729.4:255-743|+     -            163 28600at50557         -            507   3.5e-10   38.2   0.5   1   1   6.3e-12   4.3e-10   37.9   0.5     4   147     7   160     4   162 0.80 -
105221at50557_54969_0:000f08|STRG.2729.5:255-743|+     -            163 28600at50557         -            507   3.5e-10   38.2   0.5   1   1   6.3e-12   4.3e-10   37.9   0.5     4   147     7   160     4   162 0.80 -
108271at50557_166361_0:003235|STRG.9677.1:409-963|+    -            185 28600at50557         -            507   4.2e-10   37.9   0.0   1   1   7.2e-12     5e-10   37.7   0.0     4   148     2   156     1   165 0.78 -
108271at50557_166361_0:003235|STRG.9677.2:406-960|+    -            185 28600at50557         -            507   4.2e-10   37.9   0.0   1   1   7.2e-12     5e-10   37.7   0.0     4   148     2   156     1   165 0.78 -
108271at50557_166361_0:003235|STRG.9677.3:421-975|+    -            185 28600at50557         -            507   4.2e-10   37.9   0.0   1   1   7.2e-12     5e-10   37.7   0.0     4   148     2   156     1   165 0.78 -
140221at50557_568069_0:001a32|STRG.15185.1:546-1025|+  -            160 28600at50557         -            507   6.9e-10   37.2   0.0   1   1   1.2e-11   8.3e-10   36.9   0.0     2   118     3   128     2   136 0.82 -
108271at50557_43151_0:001e01|STRG.4860.1:39-596|+      -            186 28600at50557         -            507   1.3e-09   36.3   0.0   1   1   2.2e-11   1.5e-09   36.1   0.0     4   153     2   161     1   173 0.76 -
108271at50557_197043_0:002be2|STRG.5891.1:4271-4780|-  -            170 28600at50557         -            507   1.6e-09   36.0   0.0   1   1   2.7e-11   1.8e-09   35.8   0.0     4   147     1   154     1   165 0.79 -
140221at50557_568069_0:001a32|STRG.12000.1:272-718|+   -            149 28600at50557         -            507   2.2e-09   35.6   0.0   1   1   3.4e-11   2.3e-09   35.5   0.0     4   119     2   125     1   149 0.75 -
140221at50557_568069_0:001a32|STRG.12000.2:166-612|+   -            149 28600at50557         -            507   2.2e-09   35.6   0.0   1   1   3.4e-11   2.3e-09   35.5   0.0     4   119     2   125     1   149 0.75 -
140221at50557_568069_0:001a32|STRG.12000.3:1716-2162|+ -            149 28600at50557         -            507   2.2e-09   35.6   0.0   1   1   3.4e-11   2.3e-09   35.5   0.0     4   119     2   125     1   149 0.75 -
140221at50557_568069_0:001a32|STRG.12000.4:1629-2075|+ -            149 28600at50557         -            507   2.2e-09   35.6   0.0   1   1   3.4e-11   2.3e-09   35.5   0.0     4   119     2   125     1   149 0.75 -
108271at50557_28612_0:005172|STRG.4701.1:222-791|+     -            190 28600at50557         -            507   2.5e-09   35.3   0.0   1   1   3.7e-11   2.5e-09   35.3   0.0     4   122     5   132     2   187 0.80 -
115559at50557_286306_0:000620|STRG.8150.1:162-767|+    -            202 28600at50557         -            507   5.3e-09   34.3   0.1   1   1   9.1e-11   6.3e-09   34.0   0.1     2   151    26   185    25   196 0.74 -
115559at50557_286306_0:000620|STRG.8150.2:422-1027|+   -            202 28600at50557         -            507   5.3e-09   34.3   0.1   1   1   9.1e-11   6.3e-09   34.0   0.1     2   151    26   185    25   196 0.74 -
104262at50557_132113_0:00109a|STRG.5677.3:408-956|+    -            183 28600at50557         -            507   6.7e-09   33.9   0.0   1   1     1e-10   7.2e-09   33.8   0.0     3   119    14   138    12   177 0.80 -
115559at50557_42026_0:0013f7|STRG.10193.1:1103-1594|+  -            164 28600at50557         -            507   1.2e-08   33.1   0.0   1   1   2.1e-10   1.4e-08   32.9   0.0     5   145    11   159     7   162 0.72 -
115559at50557_42026_0:0013f7|STRG.10193.2:1250-1741|+  -            164 28600at50557         -            507   1.2e-08   33.1   0.0   1   1   2.1e-10   1.4e-08   32.9   0.0     5   145    11   159     7   162 0.72 -
104262at50557_39758_0:003743|STRG.14799.2:602-1216|+   -            205 28600at50557         -            507   4.2e-08   31.3   0.0   1   1   7.8e-10   5.3e-08   31.0   0.0     4   151     8   165     6   177 0.75 -
104262at50557_39758_0:003743|STRG.14799.1:602-1213|+   -            204 28600at50557         -            507   4.2e-08   31.3   0.0   1   1   7.9e-10   5.4e-08   30.9   0.0     4   151     8   165     6   176 0.75 -
107216at50557_56086_0:000591|STRG.2111.1:136-642|+     -            169 28600at50557         -            507   4.4e-08   31.2   0.0   1   1   7.8e-10   5.4e-08   30.9   0.0     3   146     9   162     7   168 0.71 -
107216at50557_39758_0:004d90|STRG.4905.1:279-821|+     -            181 28600at50557         -            507   7.1e-08   30.6   0.0   1   1   1.3e-09   8.8e-08   30.2   0.0     4   155    13   174    11   178 0.77 -
108271at50557_43041_0:000285|STRG.13341.2:450-989|+    -            180 28600at50557         -            507   9.7e-08   30.1   0.0   1   1   1.5e-09   1.1e-07   30.0   0.0     3   118    16   140    14   175 0.76 -
108271at50557_40932_0:00088c|STRG.13341.1:616-1244|+   -            167 28600at50557         -            507   1.3e-07   29.7   0.0   1   1   1.9e-09   1.3e-07   29.7   0.0     4   118     3   126     1   162 0.76 -
108271at50557_7536_0:004142|STRG.1997.1:651-1190|+     -            180 28600at50557         -            507   2.2e-07   28.9   0.0   1   1   3.7e-09   2.5e-07   28.7   0.0     5   154     2   162     1   171 0.74 -
104262at50557_51655_0:002f35|STRG.9955.3:25-516|+      -            164 28600at50557         -            507     3e-07   28.5   0.0   1   1   5.3e-09   3.6e-07   28.2   0.0     2   117    10   138     9   151 0.75 -
107216at50557_7038_0:002032|STRG.568.1:385-918|+       -            178 28600at50557         -            507   3.7e-07   28.2   0.0   1   1   6.9e-09   4.7e-07   27.8   0.0     4   147    18   172    16   177 0.71 -
107216at50557_7038_0:002032|STRG.568.2:676-1209|+      -            178 28600at50557         -            507   3.7e-07   28.2   0.0   1   1   6.9e-09   4.7e-07   27.8   0.0     4   147    18   172    16   177 0.71 -
106023at50557_39758_0:004d29|STRG.6513.1:124-660|+     -            179 28600at50557         -            507   4.4e-07   27.9   0.0   1   1   7.7e-09   5.3e-07   27.7   0.0     4   147    18   175    14   179 0.69 -
107216at50557_7004_0:001b36|STRG.14714.3:542-1105|+    -            188 28600at50557         -            507   4.7e-07   27.9   0.0   1   1   8.4e-09   5.8e-07   27.5   0.0     4   147     8   160     6   173 0.77 -
107216at50557_39758_0:004d90|STRG.1934.2:1238-1741|+   -            168 28600at50557         -            507   5.3e-07   27.7   0.0   1   1   8.7e-09     6e-07   27.5   0.0     4   144    10   166     7   168 0.72 -
107216at50557_39758_0:004d90|STRG.1934.4:1218-1721|+   -            168 28600at50557         -            507   5.3e-07   27.7   0.0   1   1   8.7e-09     6e-07   27.5   0.0     4   144    10   166     7   168 0.72 -
107216at50557_103372_0:00094d|STRG.3688.1:377-1021|+   -            215 28600at50557         -            507     7e-07   27.3   0.0   1   1   1.3e-08   8.9e-07   26.9   0.0     4   148    13   167    11   180 0.79 -
107216at50557_7004_0:001b36|STRG.14714.2:563-1430|+    -            183 28600at50557         -            507   7.7e-07   27.1   0.0   1   1   1.4e-08   9.6e-07   26.8   0.0     4   147     8   155     6   168 0.78 -
115559at50557_51655_0:001474|STRG.7379.1:1-372|+       -            124 28600at50557         -            507   9.7e-07   26.8   0.1   1   1   1.6e-08   1.1e-06   26.6   0.1    13   116     2   116     1   121 0.77 -
107216at50557_103372_0:00094d|STRG.1945.1:162-728|+    -            189 28600at50557         -            507   1.3e-06   26.4   0.0   1   1   2.4e-08   1.6e-06   26.1   0.0     4   156     6   168     4   179 0.74 -
129498at50557_7200_0:0025b6|STRG.16678.3:109-633|+     -            175 28600at50557         -            507   1.6e-06   26.1   0.0   1   1   2.8e-08   1.9e-06   25.8   0.0     3   146     8   167     6   172 0.72 -
107216at50557_13164_0:0032c6|STRG.568.3:1037-1579|+    -            181 28600at50557         -            507   1.7e-06   26.0   0.0   1   1   3.1e-08   2.1e-06   25.7   0.0     4   147    11   165     9   175 0.75 -
107216at50557_13164_0:0032c6|STRG.568.4:916-1458|+     -            181 28600at50557         -            507   1.7e-06   26.0   0.0   1   1   3.1e-08   2.1e-06   25.7   0.0     4   147    11   165     9   175 0.75 -
105221at50557_29053_0:00200e|STRG.8635.1:50-580|+      -            177 28600at50557         -            507   2.2e-06   25.6   0.0   1   1   4.1e-08   2.8e-06   25.3   0.0     3   147    10   170     8   175 0.73 -
104262at50557_411798_0:001745|STRG.7758.1:385-912|+    -            176 28600at50557         -            507   2.5e-06   25.4   0.0   1   1   4.3e-08     3e-06   25.2   0.0     4   154    14   174    12   176 0.75 -
107216at50557_7004_0:001b36|STRG.14714.1:563-1752|+    -            194 28600at50557         -            507   2.6e-06   25.4   0.0   1   1   4.8e-08   3.3e-06   25.0   0.0     4   147     8   166     6   179 0.74 -
129498at50557_7220_0:0008bf|STRG.5677.1:76-453|+       -            126 28600at50557         -            507   4.6e-06   24.6   0.0   1   1   6.7e-08   4.6e-06   24.6   0.0    68   120    27    82     3   121 0.80 -
108271at50557_34740_0:0010fd|STRG.9181.2:1467-2105|+   -            213 28600at50557         -            507   5.5e-06   24.3   0.0   1   1   2.4e-07   1.7e-05   22.7   0.0     2   147    37   205    36   212 0.64 -
