#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
34006at50557_520822_0:000571|STRG.11457.1:155-2122|+   -            656 34006at50557         -            414  1.3e-228  757.7   5.0   1   1  1.1e-229  4.9e-228  755.8   5.0     1   414   175   640   175   640 0.93 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+  -            288 34006at50557         -            414   2.2e-21   75.1   1.0   1   3   1.1e-11   4.7e-10   37.8   0.1   118   244    12   149     2   150 0.74 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+  -            288 34006at50557         -            414   2.2e-21   75.1   1.0   2   3   4.9e-10   2.2e-08   32.3   0.1   110   218   129   247   123   251 0.82 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+  -            288 34006at50557         -            414   2.2e-21   75.1   1.0   3   3   3.1e-05    0.0014   16.5   0.0   112   182   215   287   207   288 0.81 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+  -            288 34006at50557         -            414   2.2e-21   75.1   1.0   1   3   1.1e-11   4.7e-10   37.8   0.1   118   244    12   149     2   150 0.74 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+  -            288 34006at50557         -            414   2.2e-21   75.1   1.0   2   3   4.9e-10   2.2e-08   32.3   0.1   110   218   129   247   123   251 0.82 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+  -            288 34006at50557         -            414   2.2e-21   75.1   1.0   3   3   3.1e-05    0.0014   16.5   0.0   112   182   215   287   207   288 0.81 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+     -            286 34006at50557         -            414   4.3e-19   67.6   1.1   1   2   4.9e-12   2.1e-10   38.9   0.1   119   245    15   151     3   153 0.77 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+     -            286 34006at50557         -            414   4.3e-19   67.6   1.1   2   2   3.5e-09   1.5e-07   29.5   0.2   111   244   131   276   130   282 0.74 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+      -            281 34006at50557         -            414   9.1e-19   66.5   1.6   1   2   2.3e-11     1e-09   36.7   0.2   118   244     9   145     3   147 0.79 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+      -            281 34006at50557         -            414   9.1e-19   66.5   1.6   2   2   2.6e-10   1.1e-08   33.2   0.1   110   247   125   274   121   281 0.78 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 34006at50557         -            414   1.8e-17   62.2  14.0   1   6      0.13       5.6    4.6   0.0   188   246     2    68     1    73 0.82 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 34006at50557         -            414   1.8e-17   62.2  14.0   2   6   6.4e-05    0.0028   15.5   0.1   112   232    48   179    34   201 0.68 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 34006at50557         -            414   1.8e-17   62.2  14.0   3   6       1.1        50    1.5   0.1   117   166   203   255   197   261 0.66 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 34006at50557         -            414   1.8e-17   62.2  14.0   4   6   1.2e-06   5.4e-05   21.1   0.3   111   193   252   336   243   362 0.88 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 34006at50557         -            414   1.8e-17   62.2  14.0   5   6   3.8e-07   1.7e-05   22.8   0.8   128   300   448   640   364   649 0.76 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 34006at50557         -            414   1.8e-17   62.2  14.0   6   6     0.012      0.54    7.9   0.1   110   180   639   712   620   712 0.78 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 34006at50557         -            414   4.3e-17   61.0  14.0   1   5     6e-05    0.0026   15.6   0.4   112   232    33   164    19   217 0.70 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 34006at50557         -            414   4.3e-17   61.0  14.0   2   5       1.6        71    1.0   0.1   118   157   189   231   184   244 0.64 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 34006at50557         -            414   4.3e-17   61.0  14.0   3   5   1.2e-06   5.1e-05   21.2   0.2   111   193   237   321   227   345 0.88 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 34006at50557         -            414   4.3e-17   61.0  14.0   4   5     5e-07   2.2e-05   22.4   0.7   128   300   433   625   415   634 0.74 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 34006at50557         -            414   4.3e-17   61.0  14.0   5   5     0.012      0.51    8.0   0.1   110   180   624   697   604   697 0.78 -
80377at50557_123851_0:001311|STRG.4282.1:494-1288|+    -            265 34006at50557         -            414   7.2e-16   56.9   0.3   1   3    0.0012     0.053   11.3   0.0   153   189     5    41     2    48 0.86 -
80377at50557_123851_0:001311|STRG.4282.1:494-1288|+    -            265 34006at50557         -            414   7.2e-16   56.9   0.3   2   3   5.3e-07   2.3e-05   22.3   0.0    15    77    67   126    58   143 0.84 -
80377at50557_123851_0:001311|STRG.4282.1:494-1288|+    -            265 34006at50557         -            414   7.2e-16   56.9   0.3   3   3   2.9e-06   0.00013   19.9   0.1   156   227   157   238   144   253 0.77 -
13625at50557_103372_0:00203b|STRG.1696.1:4-2655|+      -            884 34006at50557         -            414   1.9e-15   55.6   1.3   1   4     0.075       3.3    5.4   0.0   150   184    97   131    51   173 0.76 -
13625at50557_103372_0:00203b|STRG.1696.1:4-2655|+      -            884 34006at50557         -            414   1.9e-15   55.6   1.3   2   4       1.5        67    1.0   0.0   154   198   268   313   259   322 0.73 -
13625at50557_103372_0:00203b|STRG.1696.1:4-2655|+      -            884 34006at50557         -            414   1.9e-15   55.6   1.3   3   4   1.2e-09   5.2e-08   31.0   0.1   129   221   327   428   319   458 0.80 -
13625at50557_103372_0:00203b|STRG.1696.1:4-2655|+      -            884 34006at50557         -            414   1.9e-15   55.6   1.3   4   4    0.0005     0.022   12.5   0.0   111   181   481   552   471   563 0.76 -
43553at50557_79782_0:002ee3|STRG.2177.1:267-1127|+     -            287 34006at50557         -            414   3.5e-15   54.7   1.5   1   3   0.00017    0.0077   14.0   0.1   108   185    10    89     3   111 0.77 -
43553at50557_79782_0:002ee3|STRG.2177.1:267-1127|+     -            287 34006at50557         -            414   3.5e-15   54.7   1.5   2   3   3.9e-05    0.0017   16.2   0.1   155   226   107   185    95   201 0.66 -
43553at50557_79782_0:002ee3|STRG.2177.1:267-1127|+     -            287 34006at50557         -            414   3.5e-15   54.7   1.5   3   3   1.2e-07   5.4e-06   24.4   0.0   111   188   186   267   181   283 0.76 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+       -            265 34006at50557         -            414   4.1e-15   54.4   0.6   1   3     0.021      0.91    7.2   0.0   188   245     5    66     2    68 0.86 -
