#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
42026at50557_520822_0:00241a|STRG.4092.1:299-1867|+   -            523 42026at50557         -            429  5.1e-204  676.8   7.5   1   1  3.8e-205  1.1e-202  672.5   7.5     5   416    28   473    24   504 0.91 -
26645at50557_520822_0:000bff|STRG.7784.1:185-2242|+   -            686 42026at50557         -            429   6.4e-29   99.9   0.8   1   1   5.1e-31   1.4e-28   98.8   0.8    44   309   301   570   289   596 0.89 -
42026at50557_7394_0:001075|STRG.601.1:865-1845|+      -            327 42026at50557         -            429   1.5e-26   92.1   0.0   1   3   7.4e-07   0.00021   19.2   0.0    59   139     1    82     1    97 0.88 -
42026at50557_7394_0:001075|STRG.601.1:865-1845|+      -            327 42026at50557         -            429   1.5e-26   92.1   0.0   2   3   1.3e-21   3.6e-19   67.8   0.1   135   305   110   284    98   294 0.84 -
42026at50557_7394_0:001075|STRG.601.1:865-1845|+      -            327 42026at50557         -            429   1.5e-26   92.1   0.0   3   3      0.11        31    2.1   0.0   284   317   289   322   283   327 0.89 -
42026at50557_7394_0:001075|STRG.601.2:794-1774|+      -            327 42026at50557         -            429   1.5e-26   92.1   0.0   1   3   7.4e-07   0.00021   19.2   0.0    59   139     1    82     1    97 0.88 -
42026at50557_7394_0:001075|STRG.601.2:794-1774|+      -            327 42026at50557         -            429   1.5e-26   92.1   0.0   2   3   1.3e-21   3.6e-19   67.8   0.1   135   305   110   284    98   294 0.84 -
42026at50557_7394_0:001075|STRG.601.2:794-1774|+      -            327 42026at50557         -            429   1.5e-26   92.1   0.0   3   3      0.11        31    2.1   0.0   284   317   289   322   283   327 0.89 -
26645at50557_103372_0:001bfe|STRG.7784.2:1112-2173|+  -            354 42026at50557         -            429   5.3e-26   90.3   2.2   1   1   2.5e-28     7e-26   89.9   2.2    61   310     3   256     2   306 0.88 -
26645at50557_34720_0:000db2|STRG.7784.3:263-1738|+    -            492 42026at50557         -            429   6.7e-23   80.1   0.3   1   2       6.7   1.9e+03   -3.8   0.1   183   199   216   232   214   237 0.80 -
26645at50557_34720_0:000db2|STRG.7784.3:263-1738|+    -            492 42026at50557         -            429   6.7e-23   80.1   0.3   2   2   2.4e-25   6.7e-23   80.1   0.3    44   232   301   492   288   492 0.92 -
42026at50557_197043_0:000086|STRG.601.3:873-1154|+    -             94 42026at50557         -            429   6.7e-11   40.5   0.0   1   1   2.6e-13   7.2e-11   40.4   0.0   192   283     2    94     1    94 0.83 -
42026at50557_197043_0:000086|STRG.601.5:447-791|+     -            115 42026at50557         -            429   5.3e-09   34.3   0.1   1   1     8e-11   2.2e-08   32.2   0.1   191   283     3   115     1   115 0.71 -
58206at50557_69820_0:001fb5|STRG.7470.3:27-854|+      -            276 42026at50557         -            429   2.8e-07   28.6   0.0   1   2    0.0028      0.78    7.4   0.0    95   143     4    51     2    74 0.81 -
58206at50557_69820_0:001fb5|STRG.7470.3:27-854|+      -            276 42026at50557         -            429   2.8e-07   28.6   0.0   2   2     7e-07    0.0002   19.2   0.0   225   301    91   171    84   184 0.85 -
57980at50557_108931_0:000186|STRG.11144.1:120-875|+   -            252 42026at50557         -            429   6.9e-06   24.0   1.3   1   2      0.24        68    1.0   0.1   119   149     5    36     3    60 0.74 -
