#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
102968at50557_34720_0:0002ad|STRG.18837.1:0-5693|+    -           1898 102968at50557        -            278    5e-119  395.6   1.3   1   1  2.9e-121  8.9e-119  394.8   1.3     1   268     1   301     1   311 0.90 -
10394at50557_52612_0:0049a4|STRG.16055.3:1791-2753|+  -            321 102968at50557        -            278   9.8e-07   27.3   0.0   1   2   6.1e-05     0.019   13.2   0.0   201   249    38    86    16   104 0.86 -
10394at50557_52612_0:0049a4|STRG.16055.3:1791-2753|+  -            321 102968at50557        -            278   9.8e-07   27.3   0.0   2   2   0.00017     0.053   11.8   0.0   195   250   235   290   227   297 0.92 -
10394at50557_52612_0:0049a4|STRG.9682.8:269-1207|+    -            313 102968at50557        -            278   9.1e-06   24.1   0.0   1   3    0.0017      0.51    8.5   0.0   184   230     4    49     2    72 0.87 -
10394at50557_52612_0:0049a4|STRG.9682.8:269-1207|+    -            313 102968at50557        -            278   9.1e-06   24.1   0.0   2   3    0.0026      0.81    7.9   0.0   154   247    81   176    74   182 0.78 -
10394at50557_52612_0:0049a4|STRG.9682.8:269-1207|+    -            313 102968at50557        -            278   9.1e-06   24.1   0.0   3   3     0.037        11    4.1   0.0   199   229   218   248   207   276 0.85 -
10394at50557_52612_0:0049a4|STRG.9682.5:181-1356|+    -            392 102968at50557        -            278   9.4e-06   24.0   0.0   1   4       0.7   2.1e+02   -0.1   0.0   201   230     2    31     1    50 0.79 -
10394at50557_52612_0:0049a4|STRG.9682.5:181-1356|+    -            392 102968at50557        -            278   9.4e-06   24.0   0.0   2   4    0.0032      0.99    7.6   0.0   186   230    85   128    73   154 0.86 -
10394at50557_52612_0:0049a4|STRG.9682.5:181-1356|+    -            392 102968at50557        -            278   9.4e-06   24.0   0.0   3   4    0.0041       1.3    7.2   0.0   154   247   160   255   153   259 0.77 -
10394at50557_52612_0:0049a4|STRG.9682.5:181-1356|+    -            392 102968at50557        -            278   9.4e-06   24.0   0.0   4   4     0.052        16    3.6   0.0   199   229   297   327   286   355 0.86 -
10394at50557_52612_0:0049a4|STRG.9682.9:322-1251|+    -            310 102968at50557        -            278   1.9e-05   23.1   0.0   1   3    0.0034         1    7.5   0.0   186   230     3    46     1    68 0.86 -
10394at50557_52612_0:0049a4|STRG.9682.9:322-1251|+    -            310 102968at50557        -            278   1.9e-05   23.1   0.0   2   3    0.0027      0.82    7.8   0.0   154   247    78   173    71   177 0.78 -
10394at50557_52612_0:0049a4|STRG.9682.9:322-1251|+    -            310 102968at50557        -            278   1.9e-05   23.1   0.0   3   3     0.037        11    4.1   0.0   199   229   215   245   204   273 0.85 -
