#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
113213at50557_34720_0:001faf|STRG.8524.1:0-680|+      -            227 113213at50557        -            323   1.3e-67  226.9   3.1   1   1   2.6e-70   4.2e-67  225.2   3.1   101   289     1   227     1   227 0.85 -
113213at50557_224129_0:002c42|STRG.8525.1:274-594|+   -            107 113213at50557        -            323     7e-24   83.2   0.9   1   2   1.1e-17   1.7e-14   52.3   0.1     1    57     1    58     1    71 0.93 -
113213at50557_224129_0:002c42|STRG.8525.1:274-594|+   -            107 113213at50557        -            323     7e-24   83.2   0.9   2   2   6.7e-11   1.1e-07   30.0   0.1    53    83    77   107    72   107 0.90 -
113213at50557_224129_0:002c42|STRG.8525.2:1080-1400|+ -            107 113213at50557        -            323     7e-24   83.2   0.9   1   2   1.1e-17   1.7e-14   52.3   0.1     1    57     1    58     1    71 0.93 -
113213at50557_224129_0:002c42|STRG.8525.2:1080-1400|+ -            107 113213at50557        -            323     7e-24   83.2   0.9   2   2   6.7e-11   1.1e-07   30.0   0.1    53    83    77   107    72   107 0.90 -
35930at50557_103372_0:002412|STRG.6373.1:0-1691|+     -            564 113213at50557        -            323   5.2e-06   24.4   0.1   1   2      0.72   1.2e+03   -3.0   0.0    61    86    89   114    69   159 0.65 -
35930at50557_103372_0:002412|STRG.6373.1:0-1691|+     -            564 113213at50557        -            323   5.2e-06   24.4   0.1   2   2     1e-08   1.6e-05   22.8   0.0   253   292   362   401   329   441 0.72 -
35930at50557_103372_0:002412|STRG.6373.2:288-1979|+   -            564 113213at50557        -            323   5.2e-06   24.4   0.1   1   2      0.72   1.2e+03   -3.0   0.0    61    86    89   114    69   159 0.65 -
35930at50557_103372_0:002412|STRG.6373.2:288-1979|+   -            564 113213at50557        -            323   5.2e-06   24.4   0.1   2   2     1e-08   1.6e-05   22.8   0.0   253   292   362   401   329   441 0.72 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/113213at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/113213at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/113213at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:14:28 2024
# [ok]
