#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
48053at50557_121845_0:002b56|STRG.5987.1:7-345|+       -            113 48053at50557         -            417   1.1e-57  194.5   0.0   1   1   2.7e-59   1.3e-57  194.3   0.0   281   377     7   113     3   113 0.94 -
48053at50557_168631_0:000bf2|STRG.5986.1:18-403|+      -            115 48053at50557         -            417   2.4e-42  144.0   5.8   1   1   6.7e-43   3.1e-41  140.3   5.8   183   280     1   115     1   115 0.92 -
40115at50557_28612_0:000941|STRG.21442.2:33-890|+      -            286 48053at50557         -            417   3.9e-22   77.4   0.2   1   3   2.8e-09   1.3e-07   29.6   0.1   248   351     9   128     4   135 0.74 -
40115at50557_28612_0:000941|STRG.21442.2:33-890|+      -            286 48053at50557         -            417   3.9e-22   77.4   0.2   2   3   6.7e-08   3.2e-06   25.0   0.0   283   344   137   205   131   207 0.83 -
40115at50557_28612_0:000941|STRG.21442.2:33-890|+      -            286 48053at50557         -            417   3.9e-22   77.4   0.2   3   3   2.5e-10   1.2e-08   33.0   0.0   286   380   182   285   178   286 0.86 -
80377at50557_30019_0:0008bb|STRG.7095.1:1945-2805|+    -            287 48053at50557         -            417   1.1e-21   76.0   6.1   1   4    0.0077      0.36    8.3   0.0   218   254    10    49     6    54 0.79 -
80377at50557_30019_0:0008bb|STRG.7095.1:1945-2805|+    -            287 48053at50557         -            417   1.1e-21   76.0   6.1   2   4     6e-10   2.8e-08   31.8   0.2   185   256    58   131    50   138 0.87 -
80377at50557_30019_0:0008bb|STRG.7095.1:1945-2805|+    -            287 48053at50557         -            417   1.1e-21   76.0   6.1   3   4   1.2e-07   5.7e-06   24.2   0.0   186   256   139   211   131   222 0.85 -
80377at50557_30019_0:0008bb|STRG.7095.1:1945-2805|+    -            287 48053at50557         -            417   1.1e-21   76.0   6.1   4   4   0.00032     0.015   12.9   0.1   293   343   228   286   209   287 0.72 -
80377at50557_30019_0:0008bb|STRG.7095.2:1343-2203|+    -            287 48053at50557         -            417   1.1e-21   76.0   6.1   1   4    0.0077      0.36    8.3   0.0   218   254    10    49     6    54 0.79 -
80377at50557_30019_0:0008bb|STRG.7095.2:1343-2203|+    -            287 48053at50557         -            417   1.1e-21   76.0   6.1   2   4     6e-10   2.8e-08   31.8   0.2   185   256    58   131    50   138 0.87 -
80377at50557_30019_0:0008bb|STRG.7095.2:1343-2203|+    -            287 48053at50557         -            417   1.1e-21   76.0   6.1   3   4   1.2e-07   5.7e-06   24.2   0.0   186   256   139   211   131   222 0.85 -
80377at50557_30019_0:0008bb|STRG.7095.2:1343-2203|+    -            287 48053at50557         -            417   1.1e-21   76.0   6.1   4   4   0.00032     0.015   12.9   0.1   293   343   228   286   209   287 0.72 -
80377at50557_30019_0:0008bb|STRG.7095.3:1343-2203|+    -            287 48053at50557         -            417   1.1e-21   76.0   6.1   1   4    0.0077      0.36    8.3   0.0   218   254    10    49     6    54 0.79 -
80377at50557_30019_0:0008bb|STRG.7095.3:1343-2203|+    -            287 48053at50557         -            417   1.1e-21   76.0   6.1   2   4     6e-10   2.8e-08   31.8   0.2   185   256    58   131    50   138 0.87 -
80377at50557_30019_0:0008bb|STRG.7095.3:1343-2203|+    -            287 48053at50557         -            417   1.1e-21   76.0   6.1   3   4   1.2e-07   5.7e-06   24.2   0.0   186   256   139   211   131   222 0.85 -
80377at50557_30019_0:0008bb|STRG.7095.3:1343-2203|+    -            287 48053at50557         -            417   1.1e-21   76.0   6.1   4   4   0.00032     0.015   12.9   0.1   293   343   228   286   209   287 0.72 -
80377at50557_30019_0:0008bb|STRG.7095.4:921-1781|+     -            287 48053at50557         -            417   1.1e-21   76.0   6.1   1   4    0.0077      0.36    8.3   0.0   218   254    10    49     6    54 0.79 -
80377at50557_30019_0:0008bb|STRG.7095.4:921-1781|+     -            287 48053at50557         -            417   1.1e-21   76.0   6.1   2   4     6e-10   2.8e-08   31.8   0.2   185   256    58   131    50   138 0.87 -
80377at50557_30019_0:0008bb|STRG.7095.4:921-1781|+     -            287 48053at50557         -            417   1.1e-21   76.0   6.1   3   4   1.2e-07   5.7e-06   24.2   0.0   186   256   139   211   131   222 0.85 -
80377at50557_30019_0:0008bb|STRG.7095.4:921-1781|+     -            287 48053at50557         -            417   1.1e-21   76.0   6.1   4   4   0.00032     0.015   12.9   0.1   293   343   228   286   209   287 0.72 -
49370at50557_456900_0:00265d|STRG.24170.1:236-1804|+   -            523 48053at50557         -            417   4.3e-21   74.0   0.0   1   4       3.9   1.8e+02   -0.6   0.0   321   352   231   262   219   276 0.78 -
49370at50557_456900_0:00265d|STRG.24170.1:236-1804|+   -            523 48053at50557         -            417   4.3e-21   74.0   0.0   2   4       2.3   1.1e+02    0.2   0.0   216   241   259   284   236   290 0.89 -
49370at50557_456900_0:00265d|STRG.24170.1:236-1804|+   -            523 48053at50557         -            417   4.3e-21   74.0   0.0   3   4   2.2e-07     1e-05   23.3   0.0   286   345   331   397   324   404 0.85 -
49370at50557_456900_0:00265d|STRG.24170.1:236-1804|+   -            523 48053at50557         -            417   4.3e-21   74.0   0.0   4   4   1.5e-17   6.8e-16   56.8   0.0   285   417   372   520   365   520 0.81 -
49370at50557_456900_0:00265d|STRG.24170.2:212-1780|+   -            523 48053at50557         -            417   4.3e-21   74.0   0.0   1   4       3.9   1.8e+02   -0.6   0.0   321   352   231   262   219   276 0.78 -
49370at50557_456900_0:00265d|STRG.24170.2:212-1780|+   -            523 48053at50557         -            417   4.3e-21   74.0   0.0   2   4       2.3   1.1e+02    0.2   0.0   216   241   259   284   236   290 0.89 -
49370at50557_456900_0:00265d|STRG.24170.2:212-1780|+   -            523 48053at50557         -            417   4.3e-21   74.0   0.0   3   4   2.2e-07     1e-05   23.3   0.0   286   345   331   397   324   404 0.85 -
49370at50557_456900_0:00265d|STRG.24170.2:212-1780|+   -            523 48053at50557         -            417   4.3e-21   74.0   0.0   4   4   1.5e-17   6.8e-16   56.8   0.0   285   417   372   520   365   520 0.81 -
49370at50557_456900_0:00265d|STRG.24170.3:0-1568|+     -            523 48053at50557         -            417   4.3e-21   74.0   0.0   1   4       3.9   1.8e+02   -0.6   0.0   321   352   231   262   219   276 0.78 -
49370at50557_456900_0:00265d|STRG.24170.3:0-1568|+     -            523 48053at50557         -            417   4.3e-21   74.0   0.0   2   4       2.3   1.1e+02    0.2   0.0   216   241   259   284   236   290 0.89 -
