#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107216at50557_34720_0:000049|STRG.20984.1:1-273|-      -             91 107216at50557        -            149   1.9e-51  170.4   0.2   1   1   1.4e-52   2.1e-51  170.3   0.2    55   138     1    91     1    91 0.96 -
107216at50557_7004_0:001b36|STRG.2420.1:248-865|+      -            206 107216at50557        -            149   1.2e-43  145.1   1.3   1   2   2.9e-08   4.2e-07   26.5   0.0     2    27     7    32     6    44 0.91 -
107216at50557_7004_0:001b36|STRG.2420.1:248-865|+      -            206 107216at50557        -            149   1.2e-43  145.1   1.3   2   2   2.1e-36     3e-35  117.8   0.3    27   141    52   173    37   178 0.90 -
107216at50557_7004_0:001b36|STRG.2420.2:634-1251|+     -            206 107216at50557        -            149   1.2e-43  145.1   1.3   1   2   2.9e-08   4.2e-07   26.5   0.0     2    27     7    32     6    44 0.91 -
107216at50557_7004_0:001b36|STRG.2420.2:634-1251|+     -            206 107216at50557        -            149   1.2e-43  145.1   1.3   2   2   2.1e-36     3e-35  117.8   0.3    27   141    52   173    37   178 0.90 -
107216at50557_51655_0:0016fc|STRG.4508.1:12-554|+      -            181 107216at50557        -            149   5.4e-41  136.5   2.3   1   2   5.1e-07   7.5e-06   22.4   0.0     3    29     1    27     1    41 0.86 -
107216at50557_51655_0:0016fc|STRG.4508.1:12-554|+      -            181 107216at50557        -            149   5.4e-41  136.5   2.3   2   2     3e-35   4.4e-34  114.0   0.7    27   143    45   168    35   173 0.88 -
107216at50557_166423_0:003aab|STRG.13165.1:3-434|+     -            144 107216at50557        -            149   2.5e-40  134.3   0.5   1   1     2e-41   2.9e-40  134.1   0.5    28   144     1   124     1   128 0.93 -
107216at50557_224129_0:00130a|STRG.9502.1:554-1144|+   -            197 107216at50557        -            149   7.7e-40  132.7   2.1   1   1   4.2e-38   6.2e-37  123.3   2.1     2   140    14   179    13   186 0.84 -
107216at50557_28612_0:00371f|STRG.11722.4:7-551|+      -            174 107216at50557        -            149   1.3e-39  132.0   0.3   1   2   1.1e-06   1.6e-05   21.3   0.0     2    41     2    38     1    46 0.81 -
107216at50557_28612_0:00371f|STRG.11722.4:7-551|+      -            174 107216at50557        -            149   1.3e-39  132.0   0.3   2   2   1.1e-33   1.6e-32  109.0   0.1    28   140    49   165    41   172 0.88 -
107216at50557_7038_0:002032|STRG.11722.1:359-892|+     -            178 107216at50557        -            149   1.4e-38  128.6   0.2   1   2   0.00049    0.0071   12.7   0.0     5    27    15    37    11    43 0.88 -
107216at50557_7038_0:002032|STRG.11722.1:359-892|+     -            178 107216at50557        -            149   1.4e-38  128.6   0.2   2   2   2.8e-35     4e-34  114.2   0.1    27   137    58   175    44   178 0.89 -
107216at50557_7038_0:002032|STRG.11722.3:655-1188|+    -            178 107216at50557        -            149   1.4e-38  128.6   0.2   1   2   0.00049    0.0071   12.7   0.0     5    27    15    37    11    43 0.88 -
107216at50557_7038_0:002032|STRG.11722.3:655-1188|+    -            178 107216at50557        -            149   1.4e-38  128.6   0.2   2   2   2.8e-35     4e-34  114.2   0.1    27   137    58   175    44   178 0.89 -
107216at50557_110193_0:000c8b|STRG.4702.1:0-578|+      -            193 107216at50557        -            149   4.3e-38  127.1   1.8   1   1   2.8e-36   4.1e-35  117.4   1.8     2   149     8   184     7   184 0.83 -
107216at50557_13164_0:0032c6|STRG.11722.5:0-506|+      -            169 107216at50557        -            149   8.3e-38  126.1   0.3   1   2    0.0031     0.046   10.1   0.0    11    44     2    32     1    41 0.79 -
107216at50557_13164_0:0032c6|STRG.11722.5:0-506|+      -            169 107216at50557        -            149   8.3e-38  126.1   0.3   2   2   1.6e-35   2.3e-34  115.0   0.2    28   140    40   159    28   166 0.89 -
107216at50557_139723_0:001fab|STRG.9789.1:449-1042|+   -            198 107216at50557        -            149   3.3e-37  124.2   2.5   1   1   3.1e-35   4.6e-34  114.0   2.5     2   143     1   168     1   174 0.85 -
107216at50557_7004_0:001b36|STRG.21902.1:4305-4868|+   -            188 107216at50557        -            149   2.7e-36  121.2   0.2   1   2   3.5e-06     5e-05   19.7   0.0     1    27     1    27     1    32 0.94 -
107216at50557_7004_0:001b36|STRG.21902.1:4305-4868|+   -            188 107216at50557        -            149   2.7e-36  121.2   0.2   2   2   6.5e-31   9.5e-30  100.0   0.1    27   142    47   168    33   175 0.87 -
107216at50557_7004_0:001b36|STRG.21902.2:6-569|+       -            188 107216at50557        -            149   2.7e-36  121.2   0.2   1   2   3.5e-06     5e-05   19.7   0.0     1    27     1    27     1    32 0.94 -
107216at50557_7004_0:001b36|STRG.21902.2:6-569|+       -            188 107216at50557        -            149   2.7e-36  121.2   0.2   2   2   6.5e-31   9.5e-30  100.0   0.1    27   142    47   168    33   175 0.87 -
107216at50557_39758_0:004d90|STRG.9502.2:596-997|+     -            134 107216at50557        -            149   5.5e-35  117.0   1.1   1   2   3.5e-06   5.1e-05   19.7   0.0     3    28     1    26     1    39 0.88 -
