#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
135254at50557_103372_0:002a85|STRG.583.1:124-498|+     -            125 135254at50557        -            104   1.4e-58  194.6   1.6   1   1   8.6e-61   1.6e-58  194.4   1.6     1   104     7   120     7   120 0.92 -
117816at50557_69004_0:00324f|STRG.6302.1:625-1668|+    -            348 135254at50557        -            104   5.7e-08   32.0   0.6   1   4      0.25        48    3.3   0.0    27    70    19    62     2    90 0.76 -
117816at50557_69004_0:00324f|STRG.6302.1:625-1668|+    -            348 135254at50557        -            104   5.7e-08   32.0   0.6   2   4    0.0047       0.9    8.8   0.1    16    72    90   151    78   177 0.83 -
117816at50557_69004_0:00324f|STRG.6302.1:625-1668|+    -            348 135254at50557        -            104   5.7e-08   32.0   0.6   3   4   0.00014     0.026   13.8   0.0    16   102   183   271   168   274 0.75 -
117816at50557_69004_0:00324f|STRG.6302.1:625-1668|+    -            348 135254at50557        -            104   5.7e-08   32.0   0.6   4   4      0.79   1.5e+02    1.7   0.0    14    68   285   343   274   347 0.71 -
117816at50557_69004_0:00324f|STRG.6301.1:642-1685|+    -            348 135254at50557        -            104   9.8e-08   31.2   1.2   1   4     0.096        18    4.6   0.0    17    69     3    61     1    84 0.68 -
117816at50557_69004_0:00324f|STRG.6301.1:642-1685|+    -            348 135254at50557        -            104   9.8e-08   31.2   1.2   2   4     0.012       2.3    7.6   0.1    16    72    90   151    76   179 0.80 -
117816at50557_69004_0:00324f|STRG.6301.1:642-1685|+    -            348 135254at50557        -            104   9.8e-08   31.2   1.2   3   4   0.00016      0.03   13.6   0.1    17   102   184   271   166   273 0.74 -
117816at50557_69004_0:00324f|STRG.6301.1:642-1685|+    -            348 135254at50557        -            104   9.8e-08   31.2   1.2   4   4      0.75   1.4e+02    1.8   0.0    14    68   285   343   273   347 0.71 -
117816at50557_29058_0:000b65|STRG.16830.10:347-820|+   -            158 135254at50557        -            104   4.2e-07   29.2   0.1   1   2     9e-05     0.017   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.16830.10:347-820|+   -            158 135254at50557        -            104   4.2e-07   29.2   0.1   2   2   0.00021     0.041   13.2   0.0    15    71    81   143    72   145 0.78 -
117816at50557_29058_0:000b65|STRG.16830.1:1725-2198|+  -            158 135254at50557        -            104   4.2e-07   29.2   0.1   1   2     9e-05     0.017   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.16830.1:1725-2198|+  -            158 135254at50557        -            104   4.2e-07   29.2   0.1   2   2   0.00021     0.041   13.2   0.0    15    71    81   143    72   145 0.78 -
117816at50557_29058_0:000b65|STRG.16830.4:1770-2243|+  -            158 135254at50557        -            104   4.2e-07   29.2   0.1   1   2     9e-05     0.017   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.16830.4:1770-2243|+  -            158 135254at50557        -            104   4.2e-07   29.2   0.1   2   2   0.00021     0.041   13.2   0.0    15    71    81   143    72   145 0.78 -
117816at50557_29058_0:000b65|STRG.16830.5:601-1074|+   -            158 135254at50557        -            104   4.2e-07   29.2   0.1   1   2     9e-05     0.017   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.16830.5:601-1074|+   -            158 135254at50557        -            104   4.2e-07   29.2   0.1   2   2   0.00021     0.041   13.2   0.0    15    71    81   143    72   145 0.78 -
117816at50557_29058_0:000b65|STRG.16830.6:362-835|+    -            158 135254at50557        -            104   4.2e-07   29.2   0.1   1   2     9e-05     0.017   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.16830.6:362-835|+    -            158 135254at50557        -            104   4.2e-07   29.2   0.1   2   2   0.00021     0.041   13.2   0.0    15    71    81   143    72   145 0.78 -
117816at50557_29058_0:000b65|STRG.16830.8:389-862|+    -            158 135254at50557        -            104   4.2e-07   29.2   0.1   1   2     9e-05     0.017   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.16830.8:389-862|+    -            158 135254at50557        -            104   4.2e-07   29.2   0.1   2   2   0.00021     0.041   13.2   0.0    15    71    81   143    72   145 0.78 -
117816at50557_29058_0:000b65|STRG.16830.9:875-1348|+   -            158 135254at50557        -            104   4.2e-07   29.2   0.1   1   2     9e-05     0.017   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.16830.9:875-1348|+   -            158 135254at50557        -            104   4.2e-07   29.2   0.1   2   2   0.00021     0.041   13.2   0.0    15    71    81   143    72   145 0.78 -
117816at50557_7200_0:0014c2|STRG.16312.7:812-1705|+    -            298 135254at50557        -            104   7.3e-07   28.4   0.0   1   3    0.0056       1.1    8.6   0.0    28    86    10    68     4    78 0.86 -
117816at50557_7200_0:0014c2|STRG.16312.7:812-1705|+    -            298 135254at50557        -            104   7.3e-07   28.4   0.0   2   3      0.88   1.7e+02    1.5   0.0    27    71    92   139    76   141 0.66 -
117816at50557_7200_0:0014c2|STRG.16312.7:812-1705|+    -            298 135254at50557        -            104   7.3e-07   28.4   0.0   3   3   8.4e-05     0.016   14.5   0.0    28    83   232   290   207   297 0.78 -
83433at50557_166361_0:0030d8|STRG.16830.7:643-1203|+   -            187 135254at50557        -            104   9.9e-07   28.0   0.1   1   2   0.00014     0.026   13.8   0.1    26    84     6    67     1    78 0.77 -
83433at50557_166361_0:0030d8|STRG.16830.7:643-1203|+   -            187 135254at50557        -            104   9.9e-07   28.0   0.1   2   2   0.00031     0.059   12.6   0.0    15    71    78   140    69   142 0.78 -
101501at50557_34720_0:0002e2|STRG.1211.4:373-2223|+    -            617 135254at50557        -            104   4.5e-06   25.9   1.6   1   3       5.6   1.1e+03   -1.0   0.0    11    65    44   102    31   112 0.69 -
101501at50557_34720_0:0002e2|STRG.1211.4:373-2223|+    -            617 135254at50557        -            104   4.5e-06   25.9   1.6   2   3   4.8e-05    0.0091   15.3   0.1    15   100   191   281   176   285 0.81 -
101501at50557_34720_0:0002e2|STRG.1211.4:373-2223|+    -            617 135254at50557        -            104   4.5e-06   25.9   1.6   3   3    0.0086       1.6    8.0   0.0    10    66   383   447   375   477 0.69 -
100341at50557_319348_0:001dc7|STRG.16312.4:1376-2383|+ -            336 135254at50557        -            104   5.9e-06   25.5   0.0   1   2    0.0044      0.84    8.9   0.0    27    86    23    82     4    92 0.83 -
100341at50557_319348_0:001dc7|STRG.16312.4:1376-2383|+ -            336 135254at50557        -            104   5.9e-06   25.5   0.0   2   2   0.00013     0.025   13.9   0.0    28    83   273   331   246   336 0.78 -
100341at50557_319348_0:001dc7|STRG.16312.2:179-1213|+  -            345 135254at50557        -            104   6.6e-06   25.3   0.0   1   2    0.0046      0.88    8.9   0.0    27    86    23    82     4    92 0.83 -
100341at50557_319348_0:001dc7|STRG.16312.2:179-1213|+  -            345 135254at50557        -            104   6.6e-06   25.3   0.0   2   2   0.00014     0.026   13.8   0.0    28    83   282   340   255   345 0.78 -
129956at50557_13686_0:0011f5|STRG.13208.1:804-1031|+   -             76 135254at50557        -            104   0.00017   20.8   0.0   1   1   9.8e-07   0.00019   20.7   0.0    27    78    18    69     1    73 0.72 -
