#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
53261at50557_520822_0:0000dd|STRG.20349.1:31-1992|+   -            654 53261at50557         -            444  8.8e-224  742.3   6.1   1   1  5.4e-222  4.1e-219  726.9   6.1     7   439    16   531    11   536 0.88 -
60951at50557_29031_0:002586|STRG.10804.1:101-1387|+   -            429 53261at50557         -            444   7.5e-60  202.0   2.7   1   2   8.2e-52   6.3e-49  166.0   0.0     8   184    36   224    31   227 0.90 -
60951at50557_29031_0:002586|STRG.10804.1:101-1387|+   -            429 53261at50557         -            444   7.5e-60  202.0   2.7   2   2     3e-12   2.3e-09   35.6   0.8   277   436   237   423   231   428 0.65 -
53261at50557_34740_0:000601|STRG.9807.1:2177-3790|+   -            538 53261at50557         -            444     8e-56  188.7   1.3   1   4   3.6e-42   2.7e-39  134.2   0.0    11   195    13   204     4   219 0.91 -
53261at50557_34740_0:000601|STRG.9807.1:2177-3790|+   -            538 53261at50557         -            444     8e-56  188.7   1.3   2   4         2   1.5e+03   -3.3   0.0   168   187   239   258   235   264 0.78 -
53261at50557_34740_0:000601|STRG.9807.1:2177-3790|+   -            538 53261at50557         -            444     8e-56  188.7   1.3   3   4   0.00036      0.27    9.0   0.0   275   305   295   325   292   332 0.92 -
53261at50557_34740_0:000601|STRG.9807.1:2177-3790|+   -            538 53261at50557         -            444     8e-56  188.7   1.3   4   4   2.7e-14   2.1e-11   42.4   0.0   277   333   396   453   380   465 0.87 -
90208at50557_91411_0:001110|STRG.7074.1:251-1144|+    -            298 53261at50557         -            444   1.2e-22   79.4   0.1   1   2   8.1e-25   6.3e-22   77.0   0.0     6   154    16   162    12   176 0.93 -
90208at50557_91411_0:001110|STRG.7074.1:251-1144|+    -            298 53261at50557         -            444   1.2e-22   79.4   0.1   2   2      0.19   1.5e+02   -0.0   0.0   352   378   225   251   216   289 0.72 -
90208at50557_103372_0:00186f|STRG.12325.1:200-1381|+  -            394 53261at50557         -            444   6.7e-16   57.2   0.2   1   1   1.4e-18   1.1e-15   56.5   0.2     6   156    62   223    57   230 0.89 -
90208at50557_103372_0:00186f|STRG.12325.2:278-1459|+  -            394 53261at50557         -            444   6.7e-16   57.2   0.2   1   1   1.4e-18   1.1e-15   56.5   0.2     6   156    62   223    57   230 0.89 -
39392at50557_7070_0:000e0a|STRG.15663.2:85-1621|+     -            510 53261at50557         -            444   3.2e-15   54.9   0.0   1   2     9e-18   6.9e-15   53.8   0.0    10   145    13   149     7   162 0.83 -
39392at50557_7070_0:000e0a|STRG.15663.2:85-1621|+     -            510 53261at50557         -            444   3.2e-15   54.9   0.0   2   2       1.8   1.4e+03   -3.2   0.0    47   105   332   391   329   401 0.69 -
39392at50557_103372_0:000839|STRG.15663.1:113-1726|+  -            538 53261at50557         -            444   3.5e-15   54.8   0.0   1   2   9.9e-18   7.6e-15   53.7   0.0    10   145    35   171    29   184 0.83 -
39392at50557_103372_0:000839|STRG.15663.1:113-1726|+  -            538 53261at50557         -            444   3.5e-15   54.8   0.0   2   2       1.9   1.5e+03   -3.3   0.0    47   105   358   417   355   426 0.68 -
101448at50557_568069_0:002eb6|STRG.9807.1:956-2092|+  -            379 53261at50557         -            444   1.7e-14   52.5   0.2   1   2   5.1e-17   3.9e-14   51.3   0.0     5   141    21   152    18   165 0.95 -
101448at50557_568069_0:002eb6|STRG.9807.1:956-2092|+  -            379 53261at50557         -            444   1.7e-14   52.5   0.2   2   2      0.94   7.2e+02   -2.3   0.0   309   336   339   365   329   369 0.80 -
101448at50557_103372_0:002ac7|STRG.13817.1:125-1123|+ -            333 53261at50557         -            444   2.7e-14   51.9   0.1   1   1   4.7e-17   3.6e-14   51.5   0.1     8   136    33   159    27   205 0.82 -
101448at50557_103372_0:002ac7|STRG.13817.2:190-1188|+ -            333 53261at50557         -            444   2.7e-14   51.9   0.1   1   1   4.7e-17   3.6e-14   51.5   0.1     8   136    33   159    27   205 0.82 -
101448at50557_103372_0:002ac7|STRG.13817.3:106-1104|+ -            333 53261at50557         -            444   2.7e-14   51.9   0.1   1   1   4.7e-17   3.6e-14   51.5   0.1     8   136    33   159    27   205 0.82 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/53261at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/53261at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/53261at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:08:09 2024
# [ok]
