#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
133820at50557_34720_0:000b0c|STRG.4118.1:0-209|-      -             70 133820at50557        -             92     2e-33  111.3   0.5   1   1   7.8e-36   2.2e-33  111.2   0.5     1    62     4    69     4    70 0.91 -
133820at50557_7425_0:000647|STRG.22485.1:6-371|+      -            122 133820at50557        -             92   1.2e-06   25.5   0.1   1   2       1.2   3.5e+02   -1.6   0.0    44    57    29    42    26    54 0.71 -
133820at50557_7425_0:000647|STRG.22485.1:6-371|+      -            122 133820at50557        -             92   1.2e-06   25.5   0.1   2   2   1.2e-08   3.5e-06   24.0   0.0     6    57    59   109    54   122 0.86 -
133820at50557_116153_0:000c07|STRG.18032.1:471-827|+  -            119 133820at50557        -             92   2.1e-06   24.7   1.3   1   2       1.7   4.9e+02   -2.1   0.0    65    78    16    29     9    46 0.62 -
133820at50557_116153_0:000c07|STRG.18032.1:471-827|+  -            119 133820at50557        -             92   2.1e-06   24.7   1.3   2   2   9.6e-09   2.7e-06   24.4   0.2    12    57    63   109    57   117 0.87 -
133820at50557_116153_0:000c07|STRG.18032.2:722-1078|+ -            119 133820at50557        -             92   2.1e-06   24.7   1.3   1   2       1.7   4.9e+02   -2.1   0.0    65    78    16    29     9    46 0.62 -
133820at50557_116153_0:000c07|STRG.18032.2:722-1078|+ -            119 133820at50557        -             92   2.1e-06   24.7   1.3   2   2   9.6e-09   2.7e-06   24.4   0.2    12    57    63   109    57   117 0.87 -
133820at50557_116153_0:000c07|STRG.18032.3:294-650|+  -            119 133820at50557        -             92   2.1e-06   24.7   1.3   1   2       1.7   4.9e+02   -2.1   0.0    65    78    16    29     9    46 0.62 -
133820at50557_116153_0:000c07|STRG.18032.3:294-650|+  -            119 133820at50557        -             92   2.1e-06   24.7   1.3   2   2   9.6e-09   2.7e-06   24.4   0.2    12    57    63   109    57   117 0.87 -
133820at50557_116153_0:000c07|STRG.18032.4:159-515|+  -            119 133820at50557        -             92   2.1e-06   24.7   1.3   1   2       1.7   4.9e+02   -2.1   0.0    65    78    16    29     9    46 0.62 -
133820at50557_116153_0:000c07|STRG.18032.4:159-515|+  -            119 133820at50557        -             92   2.1e-06   24.7   1.3   2   2   9.6e-09   2.7e-06   24.4   0.2    12    57    63   109    57   117 0.87 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/133820at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/rerun_results/133820at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/133820at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:56:28 2024
# [ok]
