#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
74932at50557_103372_0:0007c3|STRG.13118.1:0-1115|+     -            372 74932at50557         -            280  1.5e-152  505.6   1.3   1   1  1.2e-154  1.8e-152  505.4   1.3     1   280    36   342    36   342 0.94 -
74932at50557_286706_0:00199c|STRG.10967.1:350-1363|+   -            338 74932at50557         -            280     2e-50  170.6   2.5   1   1   1.3e-50   1.9e-48  164.1   2.5     5   280    10   338     6   338 0.77 -
74932at50557_286706_0:00199c|STRG.10967.2:348-1361|+   -            338 74932at50557         -            280     2e-50  170.6   2.5   1   1   1.3e-50   1.9e-48  164.1   2.5     5   280    10   338     6   338 0.77 -
74932at50557_64838_0:002280|STRG.3125.1:192-1193|+     -            334 74932at50557         -            280   5.2e-34  116.8   0.0   1   3   9.9e-21   1.5e-18   66.1   0.0     2    67     3    75     2    94 0.90 -
74932at50557_64838_0:002280|STRG.3125.1:192-1193|+     -            334 74932at50557         -            280   5.2e-34  116.8   0.0   2   3       0.3        44    2.2   0.0    86   123   165   202   147   208 0.70 -
74932at50557_64838_0:002280|STRG.3125.1:192-1193|+     -            334 74932at50557         -            280   5.2e-34  116.8   0.0   3   3   1.8e-14   2.6e-12   45.6   0.0   160   280   205   334   194   334 0.87 -
73951at50557_34720_0:00262d|STRG.15596.1:5-1549|+      -            478 74932at50557         -            280   5.2e-22   77.4   3.7   1   2   2.2e-20   3.3e-18   64.9   0.6     2    63    82   151    81   161 0.90 -
73951at50557_34720_0:00262d|STRG.15596.1:5-1549|+      -            478 74932at50557         -            280   5.2e-22   77.4   3.7   2   2   0.00015     0.023   12.9   0.1   153   280   295   420   280   420 0.81 -
73951at50557_34720_0:00262d|STRG.15596.2:5-1588|+      -            528 74932at50557         -            280   7.2e-22   76.9   3.7   1   2   2.6e-20   3.8e-18   64.7   0.6     2    63    82   151    81   161 0.90 -
73951at50557_34720_0:00262d|STRG.15596.2:5-1588|+      -            528 74932at50557         -            280   7.2e-22   76.9   3.7   2   2   0.00018     0.028   12.7   0.1   153   280   295   420   280   420 0.81 -
74932at50557_7370_0:002c32|STRG.5490.1:138-1079|+      -            314 74932at50557         -            280   1.7e-20   72.4   0.0   1   3   3.1e-09   4.6e-07   28.4   0.1    12    68    19    74     3    92 0.88 -
74932at50557_7370_0:002c32|STRG.5490.1:138-1079|+      -            314 74932at50557         -            280   1.7e-20   72.4   0.0   2   3      0.77   1.2e+02    0.8   0.0   205   242   125   162   106   171 0.72 -
74932at50557_7370_0:002c32|STRG.5490.1:138-1079|+      -            314 74932at50557         -            280   1.7e-20   72.4   0.0   3   3     1e-12   1.5e-10   39.8   0.0   164   279   170   293   164   294 0.84 -
109756at50557_1629725_0:000447|STRG.5639.1:290-502|+   -             71 74932at50557         -            280   8.8e-18   63.5   0.6   1   1   5.9e-20   8.8e-18   63.5   0.6    12    66    15    70     1    71 0.92 -
