#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
98332at50557_132113_0:00196c|STRG.1391.1:0-803|+       -            257 98332at50557         -            180   2.4e-98  325.9   0.6   1   1   1.5e-99   1.1e-97  323.7   0.6     1   179     1   208     1   209 0.94 -
84585at50557_199890_0:0017fa|STRG.16106.3:1139-3577|+  -            813 98332at50557         -            180   1.1e-29  102.1   0.0   1   4   1.1e-09   8.3e-08   30.9   0.0   118   178    98   160    91   162 0.87 -
84585at50557_199890_0:0017fa|STRG.16106.3:1139-3577|+  -            813 98332at50557         -            180   1.1e-29  102.1   0.0   2   4   1.1e-06     8e-05   21.2   0.0   130   178   172   225   168   227 0.79 -
84585at50557_199890_0:0017fa|STRG.16106.3:1139-3577|+  -            813 98332at50557         -            180   1.1e-29  102.1   0.0   3   4   4.4e-08   3.2e-06   25.7   0.0   131   179   433   485   418   486 0.84 -
84585at50557_199890_0:0017fa|STRG.16106.3:1139-3577|+  -            813 98332at50557         -            180   1.1e-29  102.1   0.0   4   4   4.8e-06   0.00036   19.0   0.0   135   177   766   812   749   813 0.79 -
84585at50557_199890_0:0017fa|STRG.16106.2:978-3584|+   -            869 98332at50557         -            180   1.5e-29  101.7   0.0   1   4   1.2e-09     9e-08   30.8   0.0   118   178    98   160    91   162 0.87 -
84585at50557_199890_0:0017fa|STRG.16106.2:978-3584|+   -            869 98332at50557         -            180   1.5e-29  101.7   0.0   2   4   1.2e-06   8.7e-05   21.0   0.0   130   178   172   225   168   227 0.79 -
84585at50557_199890_0:0017fa|STRG.16106.2:978-3584|+   -            869 98332at50557         -            180   1.5e-29  101.7   0.0   3   4   4.7e-08   3.5e-06   25.6   0.0   131   179   433   485   418   486 0.84 -
84585at50557_199890_0:0017fa|STRG.16106.2:978-3584|+   -            869 98332at50557         -            180   1.5e-29  101.7   0.0   4   4   5.2e-06   0.00039   18.9   0.0   135   177   822   868   805   869 0.79 -
84585at50557_199890_0:0017fa|STRG.16106.1:978-3587|+   -            870 98332at50557         -            180   1.6e-29  101.7   0.0   1   4   1.2e-09     9e-08   30.8   0.0   118   178    98   160    91   162 0.87 -
84585at50557_199890_0:0017fa|STRG.16106.1:978-3587|+   -            870 98332at50557         -            180   1.6e-29  101.7   0.0   2   4   1.2e-06   8.7e-05   21.0   0.0   130   178   172   225   168   227 0.79 -
84585at50557_199890_0:0017fa|STRG.16106.1:978-3587|+   -            870 98332at50557         -            180   1.6e-29  101.7   0.0   3   4   4.7e-08   3.5e-06   25.6   0.0   131   179   433   485   418   486 0.84 -
84585at50557_199890_0:0017fa|STRG.16106.1:978-3587|+   -            870 98332at50557         -            180   1.6e-29  101.7   0.0   4   4   5.2e-06   0.00039   18.9   0.0   135   177   823   869   806   870 0.79 -
68581at50557_77166_0:002648|STRG.12452.1:3685-4491|+   -            269 98332at50557         -            180   2.2e-29  101.2   0.1   1   3   3.5e-11   2.6e-09   35.8   0.0   132   180     4    53     1    53 0.93 -
68581at50557_77166_0:002648|STRG.12452.1:3685-4491|+   -            269 98332at50557         -            180   2.2e-29  101.2   0.1   2   3   2.5e-07   1.8e-05   23.2   0.0   128   179   128   186   115   187 0.78 -
68581at50557_77166_0:002648|STRG.12452.1:3685-4491|+   -            269 98332at50557         -            180   2.2e-29  101.2   0.1   3   3   4.1e-12   3.1e-10   38.8   0.0   128   179   211   264   193   265 0.89 -
68581at50557_166423_0:000f4f|STRG.13346.1:353-1761|-   -            385 98332at50557         -            180   2.3e-26   91.4   0.5   1   4     5e-08   3.7e-06   25.5   0.1   126   178     6    60     2    62 0.88 -
68581at50557_166423_0:000f4f|STRG.13346.1:353-1761|-   -            385 98332at50557         -            180   2.3e-26   91.4   0.5   2   4   1.4e-05    0.0011   17.5   0.0   133   178   116   163   110   165 0.83 -
68581at50557_166423_0:000f4f|STRG.13346.1:353-1761|-   -            385 98332at50557         -            180   2.3e-26   91.4   0.5   3   4   3.5e-05    0.0026   16.2   0.0   128   177   183   237   177   240 0.80 -
68581at50557_166423_0:000f4f|STRG.13346.1:353-1761|-   -            385 98332at50557         -            180   2.3e-26   91.4   0.5   4   4   3.9e-08   2.9e-06   25.9   0.0    46   117   280   361   274   373 0.80 -
84585at50557_199890_0:0017fa|STRG.16106.4:978-3290|+   -            771 98332at50557         -            180   1.9e-23   81.8   0.0   1   3     1e-09   7.8e-08   31.0   0.0   118   178    98   160    91   162 0.87 -
84585at50557_199890_0:0017fa|STRG.16106.4:978-3290|+   -            771 98332at50557         -            180   1.9e-23   81.8   0.0   2   3     1e-06   7.5e-05   21.3   0.0   130   178   172   225   168   227 0.79 -
84585at50557_199890_0:0017fa|STRG.16106.4:978-3290|+   -            771 98332at50557         -            180   1.9e-23   81.8   0.0   3   3   4.1e-08     3e-06   25.8   0.0   131   179   433   485   418   486 0.84 -
68581at50557_166361_0:00349c|STRG.11560.1:302-928|+    -            209 98332at50557         -            180   5.9e-16   57.4   0.1   1   3   8.1e-08     6e-06   24.8   0.0   134   178     4    50     1    52 0.86 -
68581at50557_166361_0:00349c|STRG.11560.1:302-928|+    -            209 98332at50557         -            180   5.9e-16   57.4   0.1   2   3   0.00065     0.048   12.1   0.0   130   179    86   137    67   138 0.84 -
68581at50557_166361_0:00349c|STRG.11560.1:302-928|+    -            209 98332at50557         -            180   5.9e-16   57.4   0.1   3   3   1.6e-05    0.0012   17.3   0.0   127   178   154   207   143   209 0.77 -
68581at50557_166361_0:00349c|STRG.11560.2:488-1114|+   -            209 98332at50557         -            180   5.9e-16   57.4   0.1   1   3   8.1e-08     6e-06   24.8   0.0   134   178     4    50     1    52 0.86 -
68581at50557_166361_0:00349c|STRG.11560.2:488-1114|+   -            209 98332at50557         -            180   5.9e-16   57.4   0.1   2   3   0.00065     0.048   12.1   0.0   130   179    86   137    67   138 0.84 -
68581at50557_166361_0:00349c|STRG.11560.2:488-1114|+   -            209 98332at50557         -            180   5.9e-16   57.4   0.1   3   3   1.6e-05    0.0012   17.3   0.0   127   178   154   207   143   209 0.77 -
98332at50557_319348_0:002488|STRG.9301.3:1152-1553|+   -            134 98332at50557         -            180   2.2e-14   52.3   0.0   1   2   1.3e-08   9.6e-07   27.4   0.0   131   177    23    71    16    74 0.87 -
98332at50557_319348_0:002488|STRG.9301.3:1152-1553|+   -            134 98332at50557         -            180   2.2e-14   52.3   0.0   2   2   2.6e-07   1.9e-05   23.2   0.0   129   177    84   134    75   134 0.89 -
98332at50557_319348_0:002488|STRG.9301.4:924-1325|+    -            134 98332at50557         -            180   2.2e-14   52.3   0.0   1   2   1.3e-08   9.6e-07   27.4   0.0   131   177    23    71    16    74 0.87 -
98332at50557_319348_0:002488|STRG.9301.4:924-1325|+    -            134 98332at50557         -            180   2.2e-14   52.3   0.0   2   2   2.6e-07   1.9e-05   23.2   0.0   129   177    84   134    75   134 0.89 -
98332at50557_28612_0:0024af|STRG.8796.1:2033-2515|+    -            161 98332at50557         -            180   6.3e-14   50.8   0.0   1   1   1.1e-15     8e-14   50.5   0.0    68   177    38   161    16   161 0.77 -
98332at50557_28612_0:0024af|STRG.8796.2:1588-2070|+    -            161 98332at50557         -            180   6.3e-14   50.8   0.0   1   1   1.1e-15     8e-14   50.5   0.0    68   177    38   161    16   161 0.77 -
98332at50557_28612_0:0024af|STRG.8796.4:1306-1788|+    -            161 98332at50557         -            180   6.3e-14   50.8   0.0   1   1   1.1e-15     8e-14   50.5   0.0    68   177    38   161    16   161 0.77 -
91571at50557_7038_0:00203c|STRG.1583.1:1699-2613|+     -            305 98332at50557         -            180     9e-14   50.3   2.1   1   3    0.0063      0.47    8.9   0.1    55   121    29    98     2   107 0.82 -
91571at50557_7038_0:00203c|STRG.1583.1:1699-2613|+     -            305 98332at50557         -            180     9e-14   50.3   2.1   2   3   2.2e-05    0.0016   16.9   0.0    51   113   134   194   110   204 0.83 -
91571at50557_7038_0:00203c|STRG.1583.1:1699-2613|+     -            305 98332at50557         -            180     9e-14   50.3   2.1   3   3   6.8e-07   5.1e-05   21.8   0.1   128   178   240   293   234   295 0.85 -
98332at50557_133901_0:000b7a|STRG.4785.1:1416-1832|+   -            139 98332at50557         -            180   3.5e-13   48.4   1.1   1   2   8.4e-06   0.00063   18.3   0.2   132   178     2    52     1    54 0.79 -
98332at50557_133901_0:000b7a|STRG.4785.1:1416-1832|+   -            139 98332at50557         -            180   3.5e-13   48.4   1.1   2   2   4.8e-10   3.5e-08   32.1   0.1    31   110    39   138    35   139 0.80 -
