#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
35385at50557_88501_0:000e58|STRG.24363.1:1-930|+       -            310 35385at50557         -            530  5.1e-182  605.3   0.6   1   1  6.8e-184  6.7e-182  604.9   0.6   245   530     1   310     1   310 0.95 -
35385at50557_35570_0:00290c|STRG.10294.1:998-2242|+    -            415 35385at50557         -            530   1.7e-91  306.6   0.0   1   1   2.1e-93   2.1e-91  306.3   0.0   126   495     6   414     3   415 0.87 -
35385at50557_37001_0:001231|STRG.10460.1:335-1669|+    -            445 35385at50557         -            530   5.8e-83  278.4   0.0   1   1   7.7e-85   7.5e-83  278.1   0.0   116   489    32   432    19   442 0.86 -
29312at50557_34720_0:0009c1|STRG.1227.1:0-2300|+       -            767 35385at50557         -            530   1.1e-82  277.5   0.0   1   1   1.6e-84   1.6e-82  277.0   0.0   115   490   236   637   222   650 0.89 -
35385at50557_37001_0:001231|STRG.10460.2:335-2492|+    -            445 35385at50557         -            530   3.3e-82  275.9   0.0   1   1   4.4e-84   4.3e-82  275.6   0.0   116   489    32   432    19   442 0.86 -
35385at50557_37001_0:001231|STRG.10460.3:335-2492|+    -            445 35385at50557         -            530   3.3e-82  275.9   0.0   1   1   4.4e-84   4.3e-82  275.6   0.0   116   489    32   432    19   442 0.86 -
35385at50557_37001_0:001231|STRG.3703.2:296-1630|+     -            445 35385at50557         -            530   1.1e-81  274.2   0.0   1   1   1.5e-83   1.4e-81  273.8   0.0   106   497    30   438    17   443 0.85 -
35385at50557_7375_0:0001af|STRG.3703.1:296-1630|+      -            445 35385at50557         -            530   1.2e-81  274.1   0.0   1   1   1.5e-83   1.5e-81  273.8   0.0   106   496    30   437    17   443 0.85 -
35385at50557_7375_0:0001af|STRG.3703.3:296-2124|+      -            445 35385at50557         -            530   6.7e-81  271.6   0.0   1   1   8.8e-83   8.6e-81  271.3   0.0   106   496    30   437    17   443 0.85 -
35385at50557_7370_0:001aad|STRG.5259.1:36-2126|+       -            697 35385at50557         -            530   1.2e-79  267.4   0.0   1   1   1.7e-81   1.7e-79  267.0   0.0   125   497    96   491    73   508 0.86 -
35385at50557_37001_0:001231|STRG.10459.1:188-1516|+    -            443 35385at50557         -            530   2.1e-79  266.7   0.0   1   1   2.7e-81   2.6e-79  266.4   0.0   112   488    30   433    15   440 0.87 -
35385at50557_37001_0:001231|STRG.20482.1:1294-2523|+   -            410 35385at50557         -            530   1.9e-77  260.2   0.1   1   2   1.3e-40   1.3e-38  132.1   0.0   126   296    16   198     1   203 0.84 -
35385at50557_37001_0:001231|STRG.20482.1:1294-2523|+   -            410 35385at50557         -            530   1.9e-77  260.2   0.1   2   2   6.9e-39   6.8e-37  126.4   0.0   293   470   220   408   207   410 0.85 -
35385at50557_37001_0:001231|STRG.20482.2:1242-2471|+   -            410 35385at50557         -            530   1.9e-77  260.2   0.1   1   2   1.3e-40   1.3e-38  132.1   0.0   126   296    16   198     1   203 0.84 -
35385at50557_37001_0:001231|STRG.20482.2:1242-2471|+   -            410 35385at50557         -            530   1.9e-77  260.2   0.1   2   2   6.9e-39   6.8e-37  126.4   0.0   293   470   220   408   207   410 0.85 -
35385at50557_37001_0:001231|STRG.20482.3:1242-2471|+   -            410 35385at50557         -            530   1.9e-77  260.2   0.1   1   2   1.3e-40   1.3e-38  132.1   0.0   126   296    16   198     1   203 0.84 -
35385at50557_37001_0:001231|STRG.20482.3:1242-2471|+   -            410 35385at50557         -            530   1.9e-77  260.2   0.1   2   2   6.9e-39   6.8e-37  126.4   0.0   293   470   220   408   207   410 0.85 -
35385at50557_37001_0:001231|STRG.20482.4:1242-2471|+   -            410 35385at50557         -            530   1.9e-77  260.2   0.1   1   2   1.3e-40   1.3e-38  132.1   0.0   126   296    16   198     1   203 0.84 -
35385at50557_37001_0:001231|STRG.20482.4:1242-2471|+   -            410 35385at50557         -            530   1.9e-77  260.2   0.1   2   2   6.9e-39   6.8e-37  126.4   0.0   293   470   220   408   207   410 0.85 -
35385at50557_37001_0:001231|STRG.6592.1:1280-2587|+    -            436 35385at50557         -            530   4.4e-76  255.7   0.1   1   1   5.3e-78   5.2e-76  255.5   0.1   127   483    54   432    27   436 0.86 -
35385at50557_37001_0:001231|STRG.6592.2:585-1892|+     -            436 35385at50557         -            530   4.4e-76  255.7   0.1   1   1   5.3e-78   5.2e-76  255.5   0.1   127   483    54   432    27   436 0.86 -
35385at50557_37001_0:001231|STRG.6592.3:872-2179|+     -            436 35385at50557         -            530   4.4e-76  255.7   0.1   1   1   5.3e-78   5.2e-76  255.5   0.1   127   483    54   432    27   436 0.86 -
18450at50557_1155016_0:0026c2|STRG.18869.1:1193-2395|+ -            401 35385at50557         -            530   1.8e-73  247.1   0.0   1   1   2.2e-75   2.2e-73  246.8   0.0   126   483    10   400     2   401 0.85 -
35385at50557_123851_0:00322b|STRG.24364.1:168-779|+    -            204 35385at50557         -            530   2.8e-71  239.9   1.7   1   1   3.7e-73   3.6e-71  239.5   1.7     5   162    17   204    14   204 0.92 -
18450at50557_144034_0:001371|STRG.17485.1:176-3265|+   -           1030 35385at50557         -            530   3.9e-71  239.4   0.0   1   1   7.3e-73   7.1e-71  238.5   0.0   126   489   365   751   338   764 0.85 -
35385at50557_37001_0:001231|STRG.3703.4:296-1375|+     -            360 35385at50557         -            530     3e-60  203.5   0.0   1   1   3.7e-62   3.6e-60  203.2   0.0   106   420    30   360    17   360 0.84 -
35385at50557_37001_0:001231|STRG.3703.5:236-1315|+     -            360 35385at50557         -            530     3e-60  203.5   0.0   1   1   3.7e-62   3.6e-60  203.2   0.0   106   420    30   360    17   360 0.84 -
35385at50557_37001_0:001231|STRG.10459.2:188-1380|+    -            360 35385at50557         -            530     1e-59  201.7   0.0   1   1   1.2e-61   1.2e-59  201.5   0.0   112   420    30   360    15   360 0.85 -
43304at50557_568069_0:003ee6|STRG.17784.1:137-1429|+   -            431 35385at50557         -            530   7.3e-58  195.6   1.1   1   1   9.5e-60   9.2e-58  195.3   1.1   130   472    18   375     8   419 0.86 -
29312at50557_116153_0:001f21|STRG.24001.1:453-1592|+   -            380 35385at50557         -            530   2.3e-57  193.9   0.7   1   1   2.9e-59   2.8e-57  193.7   0.7   130   479     1   369     1   374 0.87 -
46658at50557_28612_0:0048c7|STRG.12210.2:172-1293|+    -            374 35385at50557         -            530   1.4e-55  188.1   0.0   1   1   1.9e-57   1.8e-55  187.7   0.0   130   470     6   364     2   372 0.84 -
46658at50557_28612_0:0048c7|STRG.12210.3:93-1214|+     -            374 35385at50557         -            530   1.4e-55  188.1   0.0   1   1   1.9e-57   1.8e-55  187.7   0.0   130   470     6   364     2   372 0.84 -
46658at50557_1155016_0:0008f1|STRG.17784.2:107-1146|+  -            318 35385at50557         -            530     7e-55  185.7   1.4   1   2   1.4e-39   1.4e-37  128.7   0.1   150   337     2   193     1   215 0.89 -
46658at50557_1155016_0:0008f1|STRG.17784.2:107-1146|+  -            318 35385at50557         -            530     7e-55  185.7   1.4   2   2   1.1e-17   1.1e-15   56.4   0.2   389   472   219   308   205   316 0.86 -
46658at50557_211228_0:001f32|STRG.7643.1:182-1276|+    -            365 35385at50557         -            530   9.8e-52  175.4   1.6   1   1   1.2e-53   1.2e-51  175.1   1.6   131   470     1   355     1   364 0.85 -
46658at50557_211228_0:001f32|STRG.7643.2:182-1276|+    -            365 35385at50557         -            530   9.8e-52  175.4   1.6   1   1   1.2e-53   1.2e-51  175.1   1.6   131   470     1   355     1   364 0.85 -
46658at50557_211228_0:001f32|STRG.7643.3:135-1229|+    -            365 35385at50557         -            530   9.8e-52  175.4   1.6   1   1   1.2e-53   1.2e-51  175.1   1.6   131   470     1   355     1   364 0.85 -
68043at50557_34720_0:001307|STRG.4770.1:0-1676|+       -            559 35385at50557         -            530     1e-50  172.0   0.1   1   1   1.5e-52   1.4e-50  171.5   0.1   111   488   108   516    55   521 0.83 -
46658at50557_1155016_0:0008f1|STRG.12629.1:90-1193|+   -            368 35385at50557         -            530   4.4e-50  169.9   0.8   1   1   5.2e-52   5.1e-50  169.7   0.8   131   470     1   355     1   366 0.86 -
65449at50557_7237_0:000776|STRG.16102.2:15-1172|+      -            386 35385at50557         -            530   3.2e-49  167.1   0.3   1   1   5.1e-51   4.9e-49  166.4   0.3   130   462     2   355     1   366 0.80 -
65449at50557_7274_0:002e60|STRG.19083.1:290-1603|+     -            438 35385at50557         -            530   1.9e-48  164.5   0.0   1   1   2.4e-50   2.3e-48  164.2   0.0   132   449     2   338     1   360 0.85 -
65449at50557_7274_0:002e60|STRG.19083.2:408-1721|+     -            438 35385at50557         -            530   1.9e-48  164.5   0.0   1   1   2.4e-50   2.3e-48  164.2   0.0   132   449     2   338     1   360 0.85 -
46658at50557_83485_0:000f8c|STRG.6283.3:0-1331|+       -            444 35385at50557         -            530   1.1e-46  158.7   1.1   1   1   1.4e-48   1.4e-46  158.4   1.1   124   468    50   407    17   423 0.83 -
46658at50557_219809_0:0017ae|STRG.6283.1:442-1860|+    -            473 35385at50557         -            530   1.3e-46  158.5   1.2   1   1   1.6e-48   1.6e-46  158.2   1.2   123   468    78   436    23   452 0.83 -
