#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
35897at50557_456900_0:001f92|STRG.4160.1:146-1348|+  -            401 35897at50557         -            554  2.6e-142  474.0   8.8   1   1  4.5e-145  3.8e-142  473.5   8.8   212   554     3   386     1   386 0.89 -
35897at50557_136037_0:00227d|STRG.12610.1:777-2447|+ -            557 35897at50557         -            554   4.2e-15   54.1  16.6   1   5   1.6e-05     0.013   12.9   0.3   281   346    25    94     1    99 0.70 -
35897at50557_136037_0:00227d|STRG.12610.1:777-2447|+ -            557 35897at50557         -            554   4.2e-15   54.1  16.6   2   5   2.1e-06    0.0018   15.7   0.5   250   359   118   235   113   242 0.77 -
35897at50557_136037_0:00227d|STRG.12610.1:777-2447|+ -            557 35897at50557         -            554   4.2e-15   54.1  16.6   3   5   0.00051      0.43    7.9   0.8   291   343   242   298   237   304 0.84 -
35897at50557_136037_0:00227d|STRG.12610.1:777-2447|+ -            557 35897at50557         -            554   4.2e-15   54.1  16.6   4   5   5.8e-05     0.049   11.0   0.0   246   308   326   390   319   404 0.74 -
35897at50557_136037_0:00227d|STRG.12610.1:777-2447|+ -            557 35897at50557         -            554   4.2e-15   54.1  16.6   5   5   6.5e-06    0.0055   14.1   0.1   272   346   421   500   392   520 0.82 -
35897at50557_136037_0:00227d|STRG.12610.2:777-2273|+ -            499 35897at50557         -            554   1.1e-14   52.7  17.2   1   5   1.2e-05      0.01   13.2   0.4   281   346    25    94     1   105 0.69 -
35897at50557_136037_0:00227d|STRG.12610.2:777-2273|+ -            499 35897at50557         -            554   1.1e-14   52.7  17.2   2   5   1.7e-06    0.0014   16.0   0.6   250   359   118   235   114   244 0.77 -
35897at50557_136037_0:00227d|STRG.12610.2:777-2273|+ -            499 35897at50557         -            554   1.1e-14   52.7  17.2   3   5   0.00048       0.4    8.0   0.9   291   343   242   298   237   303 0.84 -
35897at50557_136037_0:00227d|STRG.12610.2:777-2273|+ -            499 35897at50557         -            554   1.1e-14   52.7  17.2   4   5   5.6e-05     0.047   11.0   0.0   246   308   326   390   321   398 0.71 -
35897at50557_136037_0:00227d|STRG.12610.2:777-2273|+ -            499 35897at50557         -            554   1.1e-14   52.7  17.2   5   5   1.7e-05     0.014   12.7   0.1   272   344   421   498   391   499 0.78 -
35897at50557_136037_0:00227d|STRG.12610.3:641-2137|+ -            499 35897at50557         -            554   1.1e-14   52.7  17.2   1   5   1.2e-05      0.01   13.2   0.4   281   346    25    94     1   105 0.69 -
35897at50557_136037_0:00227d|STRG.12610.3:641-2137|+ -            499 35897at50557         -            554   1.1e-14   52.7  17.2   2   5   1.7e-06    0.0014   16.0   0.6   250   359   118   235   114   244 0.77 -
35897at50557_136037_0:00227d|STRG.12610.3:641-2137|+ -            499 35897at50557         -            554   1.1e-14   52.7  17.2   3   5   0.00048       0.4    8.0   0.9   291   343   242   298   237   303 0.84 -
35897at50557_136037_0:00227d|STRG.12610.3:641-2137|+ -            499 35897at50557         -            554   1.1e-14   52.7  17.2   4   5   5.6e-05     0.047   11.0   0.0   246   308   326   390   321   398 0.71 -
35897at50557_136037_0:00227d|STRG.12610.3:641-2137|+ -            499 35897at50557         -            554   1.1e-14   52.7  17.2   5   5   1.7e-05     0.014   12.7   0.1   272   344   421   498   391   499 0.78 -
35897at50557_136037_0:00227d|STRG.12610.4:779-2275|+ -            499 35897at50557         -            554   1.1e-14   52.7  17.2   1   5   1.2e-05      0.01   13.2   0.4   281   346    25    94     1   105 0.69 -
35897at50557_136037_0:00227d|STRG.12610.4:779-2275|+ -            499 35897at50557         -            554   1.1e-14   52.7  17.2   2   5   1.7e-06    0.0014   16.0   0.6   250   359   118   235   114   244 0.77 -
35897at50557_136037_0:00227d|STRG.12610.4:779-2275|+ -            499 35897at50557         -            554   1.1e-14   52.7  17.2   3   5   0.00048       0.4    8.0   0.9   291   343   242   298   237   303 0.84 -
35897at50557_136037_0:00227d|STRG.12610.4:779-2275|+ -            499 35897at50557         -            554   1.1e-14   52.7  17.2   4   5   5.6e-05     0.047   11.0   0.0   246   308   326   390   321   398 0.71 -
35897at50557_136037_0:00227d|STRG.12610.4:779-2275|+ -            499 35897at50557         -            554   1.1e-14   52.7  17.2   5   5   1.7e-05     0.014   12.7   0.1   272   344   421   498   391   499 0.78 -
35897at50557_29031_0:00079e|STRG.1969.1:789-2207|+   -            473 35897at50557         -            554   1.9e-13   48.6   0.2   1   3   0.00062      0.52    7.6   0.0   304   357    51   110    35   119 0.52 -
35897at50557_29031_0:00079e|STRG.1969.1:789-2207|+   -            473 35897at50557         -            554   1.9e-13   48.6   0.2   2   3   2.7e-08   2.3e-05   22.0   0.0    48   110   118   181   113   264 0.88 -
35897at50557_29031_0:00079e|STRG.1969.1:789-2207|+   -            473 35897at50557         -            554   1.9e-13   48.6   0.2   3   3   2.1e-06    0.0018   15.7   0.1   258   342   338   431   328   437 0.79 -
35897at50557_29031_0:00079e|STRG.1969.2:789-2207|+   -            473 35897at50557         -            554   1.9e-13   48.6   0.2   1   3   0.00062      0.52    7.6   0.0   304   357    51   110    35   119 0.52 -
35897at50557_29031_0:00079e|STRG.1969.2:789-2207|+   -            473 35897at50557         -            554   1.9e-13   48.6   0.2   2   3   2.7e-08   2.3e-05   22.0   0.0    48   110   118   181   113   264 0.88 -
35897at50557_29031_0:00079e|STRG.1969.2:789-2207|+   -            473 35897at50557         -            554   1.9e-13   48.6   0.2   3   3   2.1e-06    0.0018   15.7   0.1   258   342   338   431   328   437 0.79 -
35897at50557_29031_0:00079e|STRG.1969.3:760-2178|+   -            473 35897at50557         -            554   1.9e-13   48.6   0.2   1   3   0.00062      0.52    7.6   0.0   304   357    51   110    35   119 0.52 -
35897at50557_29031_0:00079e|STRG.1969.3:760-2178|+   -            473 35897at50557         -            554   1.9e-13   48.6   0.2   2   3   2.7e-08   2.3e-05   22.0   0.0    48   110   118   181   113   264 0.88 -
35897at50557_29031_0:00079e|STRG.1969.3:760-2178|+   -            473 35897at50557         -            554   1.9e-13   48.6   0.2   3   3   2.1e-06    0.0018   15.7   0.1   258   342   338   431   328   437 0.79 -
10664at50557_79782_0:00103c|STRG.10143.2:225-1925|+  -            567 35897at50557         -            554    0.0024   15.3   0.2   1   3   6.8e-05     0.057   10.7   0.0   272   341    53   122    44   131 0.91 -
10664at50557_79782_0:00103c|STRG.10143.2:225-1925|+  -            567 35897at50557         -            554    0.0024   15.3   0.2   2   3      0.11        96    0.1   0.0   294   327   162   195   152   217 0.79 -
10664at50557_79782_0:00103c|STRG.10143.2:225-1925|+  -            567 35897at50557         -            554    0.0024   15.3   0.2   3   3      0.15   1.3e+02   -0.3   0.1   411   434   449   472   383   478 0.80 -
55950at50557_307658_0:002463|STRG.18968.1:178-1911|+ -            578 35897at50557         -            554     0.098   10.0   3.8   1   2   0.00018      0.15    9.4   0.9   102   368   170   243   143   250 0.58 -
55950at50557_307658_0:002463|STRG.18968.1:178-1911|+ -            578 35897at50557         -            554     0.098   10.0   3.8   2   2     0.076        63    0.7   0.1   314   364   341   391   329   398 0.67 -
55950at50557_307658_0:002463|STRG.18968.2:152-1896|+ -            578 35897at50557         -            554     0.098   10.0   3.8   1   2   0.00018      0.15    9.4   0.9   102   368   170   243   143   250 0.58 -
55950at50557_307658_0:002463|STRG.18968.2:152-1896|+ -            578 35897at50557         -            554     0.098   10.0   3.8   2   2     0.076        63    0.7   0.1   314   364   341   391   329   398 0.67 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35897at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/35897at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35897at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:05:42 2024
# [ok]
