#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
106025at50557_103372_0:001869|STRG.20015.1:207-854|+  -            216 106025at50557        -            190  2.5e-114  378.5   0.3   1   1  3.3e-117  2.8e-114  378.3   0.3     1   190    21   216    21   216 0.96 -
125000at50557_103372_0:000d42|STRG.3886.2:129-764|+   -            212 106025at50557        -            190   1.6e-16   59.6   0.3   1   1   4.2e-19   3.6e-16   58.4   0.3     2   189    25   210    24   211 0.89 -
125000at50557_103372_0:000d42|STRG.3886.1:130-768|+   -            213 106025at50557        -            190   3.2e-15   55.3   0.3   1   1   8.8e-18   7.3e-15   54.1   0.3     2   189    25   211    24   212 0.87 -
106854at50557_7375_0:001ea6|STRG.20779.1:303-899|+    -            199 106025at50557        -            190   3.8e-13   48.5   0.0   1   1   5.7e-16   4.8e-13   48.2   0.0    58   187    65   198    10   199 0.78 -
106854at50557_7375_0:001ea6|STRG.20779.2:474-1070|+   -            199 106025at50557        -            190   3.8e-13   48.5   0.0   1   1   5.7e-16   4.8e-13   48.2   0.0    58   187    65   198    10   199 0.78 -
106854at50557_7375_0:001ea6|STRG.20779.3:173-769|+    -            199 106025at50557        -            190   3.8e-13   48.5   0.0   1   1   5.7e-16   4.8e-13   48.2   0.0    58   187    65   198    10   199 0.78 -
106854at50557_103372_0:00027f|STRG.18457.1:515-1141|+ -            209 106025at50557        -            190   2.2e-12   46.0   1.5   1   1   8.2e-15   6.9e-12   44.4   1.5     2   186    26   202    25   205 0.82 -
106854at50557_103372_0:00027f|STRG.18457.2:354-980|+  -            209 106025at50557        -            190   2.2e-12   46.0   1.5   1   1   8.2e-15   6.9e-12   44.4   1.5     2   186    26   202    25   205 0.82 -
106854at50557_103372_0:00027f|STRG.18457.3:405-1031|+ -            209 106025at50557        -            190   2.2e-12   46.0   1.5   1   1   8.2e-15   6.9e-12   44.4   1.5     2   186    26   202    25   205 0.82 -
102079at50557_103372_0:0002b6|STRG.8590.1:163-852|+   -            230 106025at50557        -            190    0.0005   18.8   0.8   1   2       1.9   1.6e+03   -2.4   0.0     4    28    42    66    33    84 0.57 -
102079at50557_103372_0:0002b6|STRG.8590.1:163-852|+   -            230 106025at50557        -            190    0.0005   18.8   0.8   2   2   1.2e-06   0.00098   17.8   0.6   118   186   151   220   102   223 0.79 -
149673at50557_104421_0:000bd1|STRG.2192.1:46-438|+    -            131 106025at50557        -            190     0.048   12.3   1.7   1   1   7.5e-05     0.063   11.9   1.7   113   188    10    85     4    87 0.87 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/106025at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/106025at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/106025at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:02:08 2024
# [ok]
