#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
69548at50557_378494_0:000ec9|STRG.13704.1:101-673|-    -            125 69548at50557         -            348   6.2e-56  188.8   2.7   1   1   2.2e-57   6.9e-56  188.7   2.7   188   306     1   125     1   125 0.98 -
40115at50557_103372_0:0021d6|STRG.12708.2:0-1445|+     -            482 69548at50557         -            348     3e-38  130.7   8.9   1   3   4.2e-08   1.3e-06   26.6   0.1   267   337   113   181    88   186 0.82 -
40115at50557_103372_0:0021d6|STRG.12708.2:0-1445|+     -            482 69548at50557         -            348     3e-38  130.7   8.9   2   3   7.4e-14   2.3e-12   45.5   0.5   248   347   180   281   174   282 0.84 -
40115at50557_103372_0:0021d6|STRG.12708.2:0-1445|+     -            482 69548at50557         -            348     3e-38  130.7   8.9   3   3   5.1e-19   1.6e-17   62.5   0.5   156   346   289   481   282   482 0.78 -
80377at50557_30019_0:0008bb|STRG.7095.1:1945-2805|+    -            287 69548at50557         -            348   8.6e-34  116.0   9.6   1   2   0.00014    0.0044   15.0   0.1   152   200     6    59     1    64 0.71 -
80377at50557_30019_0:0008bb|STRG.7095.1:1945-2805|+    -            287 69548at50557         -            348   8.6e-34  116.0   9.6   2   2   3.1e-31   9.7e-30  102.7   6.0    91   305    67   286    59   287 0.88 -
80377at50557_30019_0:0008bb|STRG.7095.2:1343-2203|+    -            287 69548at50557         -            348   8.6e-34  116.0   9.6   1   2   0.00014    0.0044   15.0   0.1   152   200     6    59     1    64 0.71 -
80377at50557_30019_0:0008bb|STRG.7095.2:1343-2203|+    -            287 69548at50557         -            348   8.6e-34  116.0   9.6   2   2   3.1e-31   9.7e-30  102.7   6.0    91   305    67   286    59   287 0.88 -
80377at50557_30019_0:0008bb|STRG.7095.3:1343-2203|+    -            287 69548at50557         -            348   8.6e-34  116.0   9.6   1   2   0.00014    0.0044   15.0   0.1   152   200     6    59     1    64 0.71 -
80377at50557_30019_0:0008bb|STRG.7095.3:1343-2203|+    -            287 69548at50557         -            348   8.6e-34  116.0   9.6   2   2   3.1e-31   9.7e-30  102.7   6.0    91   305    67   286    59   287 0.88 -
80377at50557_30019_0:0008bb|STRG.7095.4:921-1781|+     -            287 69548at50557         -            348   8.6e-34  116.0   9.6   1   2   0.00014    0.0044   15.0   0.1   152   200     6    59     1    64 0.71 -
80377at50557_30019_0:0008bb|STRG.7095.4:921-1781|+     -            287 69548at50557         -            348   8.6e-34  116.0   9.6   2   2   3.1e-31   9.7e-30  102.7   6.0    91   305    67   286    59   287 0.88 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+   -            305 69548at50557         -            348   8.8e-30  102.8  11.4   1   2   1.2e-19   3.9e-18   64.5   4.8   117   296     3   195     1   204 0.80 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+   -            305 69548at50557         -            348   8.8e-30  102.8  11.4   2   2   2.3e-12   7.3e-11   40.6   0.5   246   345   208   304   202   305 0.88 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+    -            289 69548at50557         -            348   2.9e-29  101.1   5.8   1   2   5.1e-18   1.6e-16   59.2   0.8   193   329     1   141     1   146 0.86 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+    -            289 69548at50557         -            348   2.9e-29  101.1   5.8   2   2   7.9e-15   2.5e-13   48.7   0.3   190   338   124   280   122   289 0.79 -
80377at50557_456900_0:000374|STRG.10678.3:0-1046|+     -            349 69548at50557         -            348   3.4e-29  100.9   0.1   1   2     5e-25   1.6e-23   82.2   0.0   151   346    47   254    24   256 0.83 -
80377at50557_456900_0:000374|STRG.10678.3:0-1046|+     -            349 69548at50557         -            348   3.4e-29  100.9   0.1   2   2     5e-05    0.0016   16.5   0.0   281   342   282   342   261   346 0.79 -
40115at50557_28612_0:000941|STRG.21442.2:33-890|+      -            286 69548at50557         -            348   3.4e-29  100.9   1.3   1   2   1.2e-08   3.7e-07   28.4   0.0   271   345     3    76     1    81 0.90 -
40115at50557_28612_0:000941|STRG.21442.2:33-890|+      -            286 69548at50557         -            348   3.4e-29  100.9   1.3   2   2   2.1e-21   6.8e-20   70.3   0.3   158   344    88   285    83   286 0.81 -
40115at50557_108931_0:001d6b|STRG.22478.1:942-1979|+   -            346 69548at50557         -            348   1.4e-28   98.9   7.7   1   3    0.0037      0.12   10.3   0.0   314   346     7    40     1    42 0.85 -
40115at50557_108931_0:001d6b|STRG.22478.1:942-1979|+   -            346 69548at50557         -            348   1.4e-28   98.9   7.7   2   3   4.2e-19   1.3e-17   62.7   4.0   168   328    79   242    63   245 0.91 -
40115at50557_108931_0:001d6b|STRG.22478.1:942-1979|+   -            346 69548at50557         -            348   1.4e-28   98.9   7.7   3   3   7.4e-08   2.3e-06   25.8   0.0   241   309   252   317   248   343 0.80 -
40115at50557_108931_0:001d6b|STRG.22478.2:438-1475|+   -            346 69548at50557         -            348   1.4e-28   98.9   7.7   1   3    0.0037      0.12   10.3   0.0   314   346     7    40     1    42 0.85 -
