#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
19423at50557_197043_0:0028de|STRG.4328.1:110-687|-     -            158 19423at50557         -            535     2e-88  295.7   0.4   1   1   3.2e-90     3e-88  295.1   0.4   134   277     1   158     1   158 0.97 -
33399at50557_6973_0:003af3|STRG.4769.1:1668-2249|+     -            194 19423at50557         -            535   2.3e-21   74.4   0.0   1   1   2.8e-23   2.6e-21   74.2   0.0   264   358     2   105     1   190 0.87 -
82016at50557_7536_0:0000b9|STRG.1597.1:1134-1406|+     -             91 19423at50557         -            535   7.4e-21   72.7   0.2   1   1   7.8e-23   7.4e-21   72.7   0.2   260   318    14    71     2    91 0.84 -
98332at50557_197043_0:002812|STRG.4324.1:651-815|-     -             55 19423at50557         -            535   1.1e-19   68.9   0.1   1   1   1.2e-21   1.2e-19   68.8   0.1   486   534     1    55     1    55 0.89 -
82016at50557_7536_0:0000b9|STRG.14545.1:121-351|+      -             77 19423at50557         -            535   1.9e-16   58.2   0.1   1   1   2.1e-18     2e-16   58.1   0.1   262   328     7    72     1    76 0.89 -
99964at50557_168631_0:001951|STRG.3532.1:87-302|+      -             72 19423at50557         -            535   1.7e-15   55.0   0.1   1   1   1.8e-17   1.7e-15   55.0   0.1   267   327     1    60     1    71 0.90 -
99964at50557_168631_0:001951|STRG.3532.2:264-479|+     -             72 19423at50557         -            535   1.7e-15   55.0   0.1   1   1   1.8e-17   1.7e-15   55.0   0.1   267   327     1    60     1    71 0.90 -
99964at50557_520822_0:000e63|STRG.1842.1:231-1637|+    -            469 19423at50557         -            535   7.6e-14   49.6   0.0   1   1   1.4e-15   1.3e-13   48.8   0.0   257   317    14    73     4   131 0.87 -
99964at50557_520822_0:000e63|STRG.1842.2:0-1601|+      -            534 19423at50557         -            535   8.5e-14   49.4   0.0   1   1   1.5e-15   1.4e-13   48.7   0.0   257   318    14    74     4   152 0.86 -
15573at50557_103372_0:00195a|STRG.998.1:0-2513|+       -            838 19423at50557         -            535   1.9e-13   48.3   2.8   1   2   3.4e-08   3.2e-06   24.4   5.8     8   235   114   367   108   376 0.66 -
15573at50557_103372_0:00195a|STRG.998.1:0-2513|+       -            838 19423at50557         -            535   1.9e-13   48.3   2.8   2   2   1.9e-06   0.00018   18.7   0.0   483   534   783   836   776   837 0.90 -
68581at50557_166361_0:00349c|STRG.7158.1:465-1091|+    -            209 19423at50557         -            535   3.7e-13   47.3   0.0   1   3   9.8e-05    0.0093   13.0   0.0   488   534     4    51     2    52 0.86 -
68581at50557_166361_0:00349c|STRG.7158.1:465-1091|+    -            209 19423at50557         -            535   3.7e-13   47.3   0.0   2   3    0.0031       0.3    8.0   0.0   470   532    69   135    60   137 0.77 -
68581at50557_166361_0:00349c|STRG.7158.1:465-1091|+    -            209 19423at50557         -            535   3.7e-13   47.3   0.0   3   3     1e-07   9.6e-06   22.9   0.0   479   535   150   209   144   209 0.85 -
68581at50557_166361_0:00349c|STRG.7158.2:279-905|+     -            209 19423at50557         -            535   3.7e-13   47.3   0.0   1   3   9.8e-05    0.0093   13.0   0.0   488   534     4    51     2    52 0.86 -
68581at50557_166361_0:00349c|STRG.7158.2:279-905|+     -            209 19423at50557         -            535   3.7e-13   47.3   0.0   2   3    0.0031       0.3    8.0   0.0   470   532    69   135    60   137 0.77 -
68581at50557_166361_0:00349c|STRG.7158.2:279-905|+     -            209 19423at50557         -            535   3.7e-13   47.3   0.0   3   3     1e-07   9.6e-06   22.9   0.0   479   535   150   209   144   209 0.85 -
68581at50557_166361_0:00349c|STRG.7158.3:9-635|+       -            209 19423at50557         -            535   3.7e-13   47.3   0.0   1   3   9.8e-05    0.0093   13.0   0.0   488   534     4    51     2    52 0.86 -
68581at50557_166361_0:00349c|STRG.7158.3:9-635|+       -            209 19423at50557         -            535   3.7e-13   47.3   0.0   2   3    0.0031       0.3    8.0   0.0   470   532    69   135    60   137 0.77 -
68581at50557_166361_0:00349c|STRG.7158.3:9-635|+       -            209 19423at50557         -            535   3.7e-13   47.3   0.0   3   3     1e-07   9.6e-06   22.9   0.0   479   535   150   209   144   209 0.85 -
