#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
66691at50557_456900_0:002b0f|STRG.6704.1:456-1556|+    -            367 66691at50557         -            296  4.4e-145  481.5   9.9   1   1  2.1e-146  1.3e-144  479.9   9.9     1   290    15   355    15   360 0.89 -
78072at50557_34720_0:000cf9|STRG.5437.4:144-1058|+     -            305 66691at50557         -            296   1.5e-18   66.1  19.1   1   3   2.5e-08   1.6e-06   26.6   0.2    20    99     9    89     3    96 0.91 -
78072at50557_34720_0:000cf9|STRG.5437.4:144-1058|+     -            305 66691at50557         -            296   1.5e-18   66.1  19.1   2   3   6.1e-11   3.9e-09   35.2  10.1    24   147   102   225    92   227 0.94 -
78072at50557_34720_0:000cf9|STRG.5437.4:144-1058|+     -            305 66691at50557         -            296   1.5e-18   66.1  19.1   3   3      0.14       9.2    4.4   0.1    14    51   238   277   228   298 0.66 -
78072at50557_34720_0:000cf9|STRG.5437.5:583-1491|+     -            303 66691at50557         -            296   1.9e-18   65.8  19.3   1   4   2.9e-08   1.8e-06   26.4   0.2    20    99     7    87     4    94 0.91 -
78072at50557_34720_0:000cf9|STRG.5437.5:583-1491|+     -            303 66691at50557         -            296   1.9e-18   65.8  19.3   2   4   3.4e-10   2.1e-08   32.8   6.1    24   127   100   203    90   203 0.95 -
78072at50557_34720_0:000cf9|STRG.5437.5:583-1491|+     -            303 66691at50557         -            296   1.9e-18   65.8  19.3   3   4   0.00012    0.0073   14.6   1.5    23    58   189   224   179   231 0.89 -
78072at50557_34720_0:000cf9|STRG.5437.5:583-1491|+     -            303 66691at50557         -            296   1.9e-18   65.8  19.3   4   4      0.16        10    4.2   0.1    25    51   249   275   227   288 0.62 -
40115at50557_108931_0:001d6b|STRG.14427.1:951-1988|+   -            346 66691at50557         -            296   5.8e-18   64.1  10.6   1   4    0.0019      0.12   10.6   0.0    24    71     7    54     4    65 0.90 -
40115at50557_108931_0:001d6b|STRG.14427.1:951-1988|+   -            346 66691at50557         -            296   5.8e-18   64.1  10.6   2   4    0.0067      0.42    8.8   0.0   120   147    68    95    62    99 0.88 -
40115at50557_108931_0:001d6b|STRG.14427.1:951-1988|+   -            346 66691at50557         -            296   5.8e-18   64.1  10.6   3   4     1e-05   0.00065   18.0   0.3    23   103   102   179    95   183 0.87 -
40115at50557_108931_0:001d6b|STRG.14427.1:951-1988|+   -            346 66691at50557         -            296   5.8e-18   64.1  10.6   4   4   2.5e-09   1.6e-07   29.9   2.2    23   184   185   341   182   346 0.83 -
40115at50557_156304_0:001c45|STRG.7719.2:286-1236|+    -            317 66691at50557         -            296   6.3e-15   54.2  11.0   1   3   8.3e-12   5.2e-10   38.0   0.9    26   200    25   186     5   195 0.88 -
40115at50557_156304_0:001c45|STRG.7719.2:286-1236|+    -            317 66691at50557         -            296   6.3e-15   54.2  11.0   2   3     6e-06   0.00038   18.8   0.3    28   201   111   187   100   231 0.59 -
40115at50557_156304_0:001c45|STRG.7719.2:286-1236|+    -            317 66691at50557         -            296   6.3e-15   54.2  11.0   3   3   1.2e-05   0.00075   17.8   0.2    23   183   148   295   145   313 0.81 -
40115at50557_156304_0:001c45|STRG.7719.6:286-1236|+    -            317 66691at50557         -            296   6.3e-15   54.2  11.0   1   3   8.3e-12   5.2e-10   38.0   0.9    26   200    25   186     5   195 0.88 -
40115at50557_156304_0:001c45|STRG.7719.6:286-1236|+    -            317 66691at50557         -            296   6.3e-15   54.2  11.0   2   3     6e-06   0.00038   18.8   0.3    28   201   111   187   100   231 0.59 -
40115at50557_156304_0:001c45|STRG.7719.6:286-1236|+    -            317 66691at50557         -            296   6.3e-15   54.2  11.0   3   3   1.2e-05   0.00075   17.8   0.2    23   183   148   295   145   313 0.81 -
40115at50557_156304_0:001c45|STRG.7719.1:147-1073|+    -            309 66691at50557         -            296   6.6e-15   54.1  10.7   1   3   1.1e-11   6.7e-10   37.7   0.9    27   200    18   178     6   186 0.89 -
40115at50557_156304_0:001c45|STRG.7719.1:147-1073|+    -            309 66691at50557         -            296   6.6e-15   54.1  10.7   2   3   6.6e-06   0.00042   18.7   0.3   119   201   104   179    97   217 0.62 -
