#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
89317at50557_307658_0:00251a|STRG.5227.15:123-929|+   -            269 89317at50557         -            194    3e-113  375.6  14.0   1   1    1e-115  3.5e-113  375.4  14.0     1   194    21   234    21   234 0.95 -
89317at50557_144034_0:0004c3|STRG.5227.13:36-722|+    -            229 89317at50557         -            194  3.3e-112  372.3  13.8   1   1  1.1e-114  3.8e-112  372.1  13.8     1   193    12   224    12   225 0.95 -
89317at50557_144034_0:0004c3|STRG.5227.14:124-837|+   -            238 89317at50557         -            194  3.8e-112  372.1  13.8   1   1  1.3e-114  4.4e-112  371.9  13.8     1   193    21   233    21   234 0.95 -
89317at50557_108931_0:002c91|STRG.5235.1:233-856|+    -            208 89317at50557         -            194   6.6e-35  120.0  14.5   1   1   2.3e-37   7.7e-35  119.8  14.5     1   181     1   203     1   208 0.82 -
89317at50557_7038_0:001f22|STRG.5234.1:272-949|+      -            226 89317at50557         -            194   1.6e-26   92.6   9.3   1   1   5.7e-29   1.9e-26   92.4   9.3     1   183    21   225    21   226 0.80 -
89317at50557_66420_0:0017df|STRG.5231.1:300-851|+     -            184 89317at50557         -            194   6.8e-25   87.3   5.6   1   2   1.4e-23   4.9e-21   74.8   3.0    14   118    32   146    21   155 0.86 -
89317at50557_66420_0:0017df|STRG.5231.1:300-851|+     -            184 89317at50557         -            194   6.8e-25   87.3   5.6   2   2   5.1e-05     0.017   14.2   0.1     3    38   148   184   146   184 0.86 -
89317at50557_108931_0:002c91|STRG.5236.1:325-921|+    -            199 89317at50557         -            194   2.9e-24   85.3  14.2   1   1   9.8e-27   3.3e-24   85.1  14.2     3   181     1   194     1   199 0.83 -
89317at50557_108931_0:002c91|STRG.5236.2:3460-4056|+  -            199 89317at50557         -            194   2.9e-24   85.3  14.2   1   1   9.8e-27   3.3e-24   85.1  14.2     3   181     1   194     1   199 0.83 -
89317at50557_108931_0:002c91|STRG.853.1:222-800|+     -            193 89317at50557         -            194   4.6e-22   78.1  13.4   1   1   6.9e-24   2.3e-21   75.8  13.4     3   181     1   193     1   193 0.83 -
89317at50557_104688_0:0015ad|STRG.5232.1:181-807|+    -            209 89317at50557         -            194   3.8e-19   68.6  11.2   1   1   1.9e-21   6.4e-19   67.8  11.2     3   181    11   208    10   209 0.81 -
89317at50557_54969_0:001249|STRG.2689.1:734-1417|+    -            228 89317at50557         -            194     2e-17   62.9  14.5   1   3    0.0001     0.036   13.2   1.9     3    57     2    58     1    76 0.85 -
89317at50557_54969_0:001249|STRG.2689.1:734-1417|+    -            228 89317at50557         -            194     2e-17   62.9  14.5   2   3   3.1e-08     1e-05   24.7   0.2     2    56    82   137    81   148 0.87 -
89317at50557_54969_0:001249|STRG.2689.1:734-1417|+    -            228 89317at50557         -            194     2e-17   62.9  14.5   3   3   7.2e-11   2.5e-08   33.3   0.9     3    54   169   222   167   228 0.90 -
89317at50557_54969_0:001249|STRG.2689.2:734-1417|+    -            228 89317at50557         -            194     2e-17   62.9  14.5   1   3    0.0001     0.036   13.2   1.9     3    57     2    58     1    76 0.85 -
89317at50557_54969_0:001249|STRG.2689.2:734-1417|+    -            228 89317at50557         -            194     2e-17   62.9  14.5   2   3   3.1e-08     1e-05   24.7   0.2     2    56    82   137    81   148 0.87 -
89317at50557_54969_0:001249|STRG.2689.2:734-1417|+    -            228 89317at50557         -            194     2e-17   62.9  14.5   3   3   7.2e-11   2.5e-08   33.3   0.9     3    54   169   222   167   228 0.90 -
89317at50557_54969_0:001249|STRG.2689.3:662-1345|+    -            228 89317at50557         -            194     2e-17   62.9  14.5   1   3    0.0001     0.036   13.2   1.9     3    57     2    58     1    76 0.85 -
89317at50557_54969_0:001249|STRG.2689.3:662-1345|+    -            228 89317at50557         -            194     2e-17   62.9  14.5   2   3   3.1e-08     1e-05   24.7   0.2     2    56    82   137    81   148 0.87 -
89317at50557_54969_0:001249|STRG.2689.3:662-1345|+    -            228 89317at50557         -            194     2e-17   62.9  14.5   3   3   7.2e-11   2.5e-08   33.3   0.9     3    54   169   222   167   228 0.90 -
89317at50557_54969_0:001249|STRG.2689.4:734-1417|+    -            228 89317at50557         -            194     2e-17   62.9  14.5   1   3    0.0001     0.036   13.2   1.9     3    57     2    58     1    76 0.85 -
89317at50557_54969_0:001249|STRG.2689.4:734-1417|+    -            228 89317at50557         -            194     2e-17   62.9  14.5   2   3   3.1e-08     1e-05   24.7   0.2     2    56    82   137    81   148 0.87 -
89317at50557_54969_0:001249|STRG.2689.4:734-1417|+    -            228 89317at50557         -            194     2e-17   62.9  14.5   3   3   7.2e-11   2.5e-08   33.3   0.9     3    54   169   222   167   228 0.90 -
89317at50557_54969_0:001249|STRG.2689.5:734-1417|+    -            228 89317at50557         -            194     2e-17   62.9  14.5   1   3    0.0001     0.036   13.2   1.9     3    57     2    58     1    76 0.85 -
89317at50557_54969_0:001249|STRG.2689.5:734-1417|+    -            228 89317at50557         -            194     2e-17   62.9  14.5   2   3   3.1e-08     1e-05   24.7   0.2     2    56    82   137    81   148 0.87 -
