#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
98621at50557_7038_0:0003d0|STRG.16457.2:1739-2497|+    -            253 98621at50557         -            140   5.7e-32  109.7   0.2   1   1   1.9e-33   1.6e-31  108.2   0.2    10   138    91   253    84   253 0.75 -
98621at50557_13249_0:0015dd|STRG.2737.1:328-1041|+     -            238 98621at50557         -            140   1.9e-30  104.7   0.8   1   1   4.7e-32   3.9e-30  103.7   0.8     8   138    77   237    72   238 0.82 -
98621at50557_286706_0:000660|STRG.2743.1:292-1011|+    -            240 98621at50557         -            140   5.6e-29  100.0   0.4   1   1   1.9e-30   1.6e-28   98.5   0.4    23   139    96   238    78   239 0.78 -
98621at50557_286706_0:000660|STRG.2743.2:292-1023|+    -            244 98621at50557         -            140     6e-29   99.9   0.4   1   1   2.1e-30   1.7e-28   98.4   0.4    23   139   100   242    85   243 0.78 -
98621at50557_136037_0:0009c4|STRG.18513.1:2050-2781|+  -            244 98621at50557         -            140   1.1e-28   99.0   0.0   1   1   2.9e-30   2.4e-28   97.9   0.0    13   139    81   241    69   242 0.76 -
98621at50557_136037_0:0009c4|STRG.18513.2:2542-3273|+  -            244 98621at50557         -            140   1.1e-28   99.0   0.0   1   1   2.9e-30   2.4e-28   97.9   0.0    13   139    81   241    69   242 0.76 -
107413at50557_108931_0:000e8f|STRG.11715.2:1420-2166|+ -            249 98621at50557         -            140   8.9e-28   96.1   0.3   1   1   3.1e-29   2.6e-27   94.6   0.3    20   139   103   245    86   246 0.78 -
98621at50557_7425_0:001b7b|STRG.6696.1:924-1679|+      -            252 98621at50557         -            140   6.2e-27   93.3   0.1   1   1   1.7e-28   1.4e-26   92.2   0.1    19   139   105   248    81   249 0.78 -
98621at50557_28612_0:00515f|STRG.11715.1:1257-2039|+   -            182 98621at50557         -            140   1.9e-26   91.7   0.6   1   1   7.3e-28   6.1e-26   90.1   0.6    20   139    40   178    23   179 0.75 -
98621at50557_28612_0:00515f|STRG.16478.1:6-581|+       -            192 98621at50557         -            140   4.9e-26   90.4   0.2   1   1   9.4e-28   7.9e-26   89.8   0.2    39   140    75   189    19   189 0.82 -
98621at50557_136037_0:0009c4|STRG.16474.1:3245-4045|+  -            267 98621at50557         -            140   2.1e-25   88.4   0.1   1   1   5.1e-27   4.2e-25   87.4   0.1    23   138   124   267   104   267 0.78 -
98621at50557_136037_0:0009c4|STRG.16474.2:3249-4049|+  -            267 98621at50557         -            140   2.1e-25   88.4   0.1   1   1   5.1e-27   4.2e-25   87.4   0.1    23   138   124   267   104   267 0.78 -
98621at50557_136037_0:0009c4|STRG.16474.3:3372-4172|+  -            267 98621at50557         -            140   2.1e-25   88.4   0.1   1   1   5.1e-27   4.2e-25   87.4   0.1    23   138   124   267   104   267 0.78 -
98621at50557_28612_0:00515f|STRG.2742.1:176-871|+      -            232 98621at50557         -            140   4.8e-24   84.0   0.2   1   1   1.2e-25   9.8e-24   83.0   0.2    16   139    83   228    70   229 0.77 -
98621at50557_79782_0:0026bc|STRG.1918.1:546-1331|+     -            262 98621at50557         -            140     8e-24   83.3   0.8   1   1   3.2e-25   2.6e-23   81.6   0.8     9   139    89   257    81   258 0.76 -
