#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
106896at50557_34720_0:0025d6|STRG.15267.1:527-1954|+    -            476 106896at50557        -             70   2.2e-34  116.3   4.0   1   1   7.7e-36   2.2e-34  116.3   4.0    12    70   376   435   369   435 0.93 -
14133at50557_286706_0:001942|STRG.13577.1:1646-3001|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   1  11     0.079       2.3    7.4   1.9    23    67     5    49     3    52 0.95 -
14133at50557_286706_0:001942|STRG.13577.1:1646-3001|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   2  11     0.011      0.32   10.1   2.6    17    70    27    80    25    80 0.96 -
14133at50557_286706_0:001942|STRG.13577.1:1646-3001|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   3  11   0.00054     0.016   14.3   7.7    17    69    83   135    81   136 0.93 -
14133at50557_286706_0:001942|STRG.13577.1:1646-3001|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   4  11    0.0016     0.045   12.8   7.9    23    68   117   162   116   164 0.96 -
14133at50557_286706_0:001942|STRG.13577.1:1646-3001|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   5  11   0.00041     0.012   14.7   4.3    22    69   172   219   166   220 0.95 -
14133at50557_286706_0:001942|STRG.13577.1:1646-3001|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   6  11     2e-06   5.7e-05   22.1   4.6    22    69   228   275   223   276 0.94 -
14133at50557_286706_0:001942|STRG.13577.1:1646-3001|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   7  11   7.3e-07   2.1e-05   23.5   7.3     3    68   268   330   267   332 0.89 -
14133at50557_286706_0:001942|STRG.13577.1:1646-3001|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   8  11   7.1e-06   0.00021   20.3   8.3    22    68   312   358   307   361 0.94 -
14133at50557_286706_0:001942|STRG.13577.1:1646-3001|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   9  11   0.00015    0.0043   16.1  10.5    22    68   340   386   326   388 0.88 -
14133at50557_286706_0:001942|STRG.13577.1:1646-3001|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9  10  11   0.00039     0.011   14.8   8.2    22    68   368   414   361   416 0.92 -
14133at50557_286706_0:001942|STRG.13577.1:1646-3001|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9  11  11      0.22       6.4    5.9   0.0    18    46   420   448   413   451 0.90 -
14133at50557_286706_0:001942|STRG.13577.2:1671-3026|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   1  11     0.079       2.3    7.4   1.9    23    67     5    49     3    52 0.95 -
14133at50557_286706_0:001942|STRG.13577.2:1671-3026|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   2  11     0.011      0.32   10.1   2.6    17    70    27    80    25    80 0.96 -
14133at50557_286706_0:001942|STRG.13577.2:1671-3026|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   3  11   0.00054     0.016   14.3   7.7    17    69    83   135    81   136 0.93 -
14133at50557_286706_0:001942|STRG.13577.2:1671-3026|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   4  11    0.0016     0.045   12.8   7.9    23    68   117   162   116   164 0.96 -
14133at50557_286706_0:001942|STRG.13577.2:1671-3026|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   5  11   0.00041     0.012   14.7   4.3    22    69   172   219   166   220 0.95 -
