#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
42371at50557_144034_0:001692|STRG.1519.1:0-863|+       -            288 42371at50557         -            451  7.8e-133  442.5   2.4   1   1  3.2e-134  9.1e-133  442.2   2.4   213   451     4   259     2   259 0.95 -
42371at50557_520822_0:00190c|STRG.1520.2:0-962|+       -            314 42371at50557         -            451  1.4e-110  369.1   5.7   1   2   3.8e-83   1.1e-81  273.9   0.8     1   169    62   244    62   254 0.94 -
42371at50557_520822_0:00190c|STRG.1520.2:0-962|+       -            314 42371at50557         -            451  1.4e-110  369.1   5.7   2   2   7.8e-30   2.2e-28   98.2   0.5   160   216   254   314   246   314 0.92 -
42371at50557_520822_0:00190c|STRG.1520.3:0-941|+       -            314 42371at50557         -            451  1.4e-110  369.1   5.7   1   2   3.8e-83   1.1e-81  273.9   0.8     1   169    62   244    62   254 0.94 -
42371at50557_520822_0:00190c|STRG.1520.3:0-941|+       -            314 42371at50557         -            451  1.4e-110  369.1   5.7   2   2   7.8e-30   2.2e-28   98.2   0.5   160   216   254   314   246   314 0.92 -
42371at50557_520822_0:00190c|STRG.1520.1:534-1487|+    -            318 42371at50557         -            451    2e-110  368.6   6.0   1   1  2.2e-109  6.2e-108  360.4   6.0     1   216    67   318    67   318 0.94 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 42371at50557         -            451   2.7e-36  124.3  10.2   1   7     2e-10   5.8e-09   34.2   0.2   181   244    47   113    35   120 0.86 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 42371at50557         -            451   2.7e-36  124.3  10.2   2   7   0.00054     0.015   13.0   0.4   183   235    91   147    87   150 0.82 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 42371at50557         -            451   2.7e-36  124.3  10.2   3   7   8.1e-05    0.0023   15.7   0.2   401   450   115   169   108   170 0.80 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 42371at50557         -            451   2.7e-36  124.3  10.2   4   7     1e-08   2.9e-07   28.6   0.3   394   449   155   209   150   211 0.92 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 42371at50557         -            451   2.7e-36  124.3  10.2   5   7   7.5e-07   2.1e-05   22.4   0.0   390   450   266   327   259   328 0.86 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 42371at50557         -            451   2.7e-36  124.3  10.2   6   7   3.3e-10   9.3e-09   33.5   0.2   191   258   305   373   302   379 0.83 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 42371at50557         -            451   2.7e-36  124.3  10.2   7   7   1.4e-05   0.00038   18.3   0.0   180   210   378   408   374   411 0.88 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 42371at50557         -            451     3e-36  124.1  10.7   1   7   2.6e-10   7.4e-09   33.8   0.2   181   244   116   182   104   189 0.86 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 42371at50557         -            451     3e-36  124.1  10.7   2   7   0.00067     0.019   12.7   0.4   183   235   160   216   156   219 0.82 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 42371at50557         -            451     3e-36  124.1  10.7   3   7    0.0001    0.0029   15.4   0.2   401   450   184   238   177   239 0.80 -
