#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
83323at50557_103372_0:002772|STRG.19754.1:0-1133|+   -            378 83323at50557         -            288  9.8e-146  483.7  15.9   1   1  1.3e-148  3.7e-145  481.8  15.9     1   288    26   357    26   357 0.91 -
83323at50557_35570_0:001053|STRG.18392.1:2314-3393|+ -            360 83323at50557         -            288   8.4e-30  103.2  16.1   1   4    0.0012       3.3    6.1   0.0    17    48     3    34     1    47 0.74 -
83323at50557_35570_0:001053|STRG.18392.1:2314-3393|+ -            360 83323at50557         -            288   8.4e-30  103.2  16.1   2   4   2.9e-14   8.3e-11   40.9  10.1    41   220    58   249    52   254 0.78 -
83323at50557_35570_0:001053|STRG.18392.1:2314-3393|+ -            360 83323at50557         -            288   8.4e-30  103.2  16.1   3   4   5.3e-07    0.0015   17.1   0.0   205   232   253   280   233   287 0.78 -
83323at50557_35570_0:001053|STRG.18392.1:2314-3393|+ -            360 83323at50557         -            288   8.4e-30  103.2  16.1   4   4   3.4e-14   9.6e-11   40.7   0.1   228   281   305   358   295   360 0.93 -
83323at50557_35570_0:001053|STRG.18392.2:60-1076|+   -            339 83323at50557         -            288   7.5e-26   90.3  15.8   1   4    0.0011         3    6.3   0.0    17    48     3    34     1    47 0.74 -
83323at50557_35570_0:001053|STRG.18392.2:60-1076|+   -            339 83323at50557         -            288   7.5e-26   90.3  15.8   2   4   3.9e-14   1.1e-10   40.5  10.7    41   220    58   249    52   253 0.78 -
83323at50557_35570_0:001053|STRG.18392.2:60-1076|+   -            339 83323at50557         -            288   7.5e-26   90.3  15.8   3   4   4.5e-07    0.0013   17.3   0.0   192   232   244   280   232   288 0.78 -
83323at50557_35570_0:001053|STRG.18392.2:60-1076|+   -            339 83323at50557         -            288   7.5e-26   90.3  15.8   4   4   4.9e-10   1.4e-06   27.1   0.1   228   262   305   339   295   339 0.92 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/83323at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/83323at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/83323at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:56:56 2024
# [ok]
