#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
101665at50557_103372_0:00034b|STRG.7320.2:0-731|+     -            244 101665at50557        -            190   7.4e-77  256.3   9.8   1   1   1.4e-76     6e-74  246.8   9.8     1   186     6   236     6   243 0.87 -
101665at50557_535359_0:000567|STRG.7320.1:254-980|+   -            198 101665at50557        -            190   3.9e-63  211.6   3.4   1   1   6.5e-64   2.8e-61  205.5   3.4     1   186     6   192     6   197 0.88 -
101665at50557_7200_0:001c1f|STRG.6164.1:537-749|+     -             71 101665at50557        -            190   1.4e-20   72.8   0.0   1   1   3.4e-23   1.4e-20   72.7   0.0   111   174     3    66     1    71 0.91 -
101665at50557_7200_0:001c1f|STRG.6164.3:537-749|+     -             71 101665at50557        -            190   1.4e-20   72.8   0.0   1   1   3.4e-23   1.4e-20   72.7   0.0   111   174     3    66     1    71 0.91 -
101665at50557_7200_0:001c1f|STRG.6164.4:541-753|+     -             71 101665at50557        -            190   1.4e-20   72.8   0.0   1   1   3.4e-23   1.4e-20   72.7   0.0   111   174     3    66     1    71 0.91 -
101665at50557_7200_0:001c1f|STRG.8896.2:4510-4671|+   -             54 101665at50557        -            190     1e-17   63.5   0.1   1   1   2.7e-20   1.2e-17   63.3   0.1   128   176     1    50     1    53 0.94 -
101665at50557_136037_0:00157e|STRG.8896.1:4403-4693|+ -             97 101665at50557        -            190   1.6e-17   62.8   0.1   1   1   4.7e-20     2e-17   62.5   0.1   127   176    43    93    31    96 0.92 -
101665at50557_136037_0:00157e|STRG.8896.3:4474-4764|+ -             97 101665at50557        -            190   1.6e-17   62.8   0.1   1   1   4.7e-20     2e-17   62.5   0.1   127   176    43    93    31    96 0.92 -
101665at50557_136037_0:00157e|STRG.8896.4:4399-4689|+ -             97 101665at50557        -            190   1.6e-17   62.8   0.1   1   1   4.7e-20     2e-17   62.5   0.1   127   176    43    93    31    96 0.92 -
101665at50557_136037_0:00157e|STRG.8896.5:4388-4678|+ -             97 101665at50557        -            190   1.6e-17   62.8   0.1   1   1   4.7e-20     2e-17   62.5   0.1   127   176    43    93    31    96 0.92 -
101665at50557_39758_0:0041d7|STRG.6164.2:159-395|+    -             79 101665at50557        -            190   8.2e-17   60.5   0.0   1   1   2.2e-19   9.4e-17   60.3   0.0   107   175     7    72     3    76 0.86 -
101665at50557_7200_0:001c1f|STRG.8186.1:464-673|+     -             70 101665at50557        -            190   1.6e-16   59.5   0.2   1   1   4.2e-19   1.8e-16   59.4   0.2   112   176     1    63     1    68 0.87 -
101665at50557_7200_0:001c1f|STRG.8186.2:464-673|+     -             70 101665at50557        -            190   1.6e-16   59.5   0.2   1   1   4.2e-19   1.8e-16   59.4   0.2   112   176     1    63     1    68 0.87 -
101665at50557_7200_0:001c1f|STRG.8186.3:1059-1268|+   -             70 101665at50557        -            190   1.6e-16   59.5   0.2   1   1   4.2e-19   1.8e-16   59.4   0.2   112   176     1    63     1    68 0.87 -
101665at50557_7200_0:001c1f|STRG.8186.4:464-673|+     -             70 101665at50557        -            190   1.6e-16   59.5   0.2   1   1   4.2e-19   1.8e-16   59.4   0.2   112   176     1    63     1    68 0.87 -
56943at50557_67767_0:0011f7|STRG.10813.2:270-2632|+   -            757 101665at50557        -            190   0.00028   19.6   0.0   1   2      0.33   1.4e+02    1.1   0.0   116   165   122   173   109   196 0.78 -
56943at50557_67767_0:0011f7|STRG.10813.2:270-2632|+   -            757 101665at50557        -            190   0.00028   19.6   0.0   2   2   1.3e-05    0.0054   15.4   0.0    78   174   300   405   258   420 0.73 -
56943at50557_103372_0:001dff|STRG.10813.1:264-2432|+  -            723 101665at50557        -            190   0.00054   18.7   0.0   1   2      0.31   1.3e+02    1.1   0.0   116   165   124   175   111   198 0.78 -
56943at50557_103372_0:001dff|STRG.10813.1:264-2432|+  -            723 101665at50557        -            190   0.00054   18.7   0.0   2   2     3e-05     0.013   14.2   0.0    95   174   288   371   271   386 0.79 -
56943at50557_67767_0:0011f7|STRG.10813.4:323-2473|+   -            666 101665at50557        -            190     0.001   17.8   0.0   1   2       6.9   2.9e+03   -3.3   0.0   120   140    86   106    76   115 0.69 -
56943at50557_67767_0:0011f7|STRG.10813.4:323-2473|+   -            666 101665at50557        -            190     0.001   17.8   0.0   2   2   8.1e-06    0.0034   16.1   0.0    77   174   208   314   149   329 0.72 -
150385at50557_103372_0:00036b|STRG.7465.1:149-367|+   -             73 101665at50557        -            190     0.001   17.8   0.0   1   1   2.7e-06    0.0011   17.7   0.0    18    69    18    69     5    72 0.92 -
56943at50557_67767_0:0011f7|STRG.10813.3:119-2072|+   -            604 101665at50557        -            190    0.0012   17.5   0.1   1   1   6.8e-06    0.0029   16.3   0.1    77   174   146   252    86   267 0.72 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/101665at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/101665at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/101665at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:52:07 2024
# [ok]
