#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107413at50557_103372_0:00285a|STRG.12287.1:56-1173|+    -            297 107413at50557        -             88   2.3e-35  119.6   2.4   1   1   1.9e-36   1.4e-34  117.1   2.4     1    88   180   286   180   286 0.85 -
45935at50557_6973_0:001b70|STRG.10176.1:1751-2524|+     -            258 107413at50557        -             88   3.1e-19   67.9   4.9   1   2     0.017       1.3    8.3   0.0     1    36   139   176   139   182 0.77 -
45935at50557_6973_0:001b70|STRG.10176.1:1751-2524|+     -            258 107413at50557        -             88   3.1e-19   67.9   4.9   2   2   3.2e-18   2.4e-16   58.6   4.0    26    88   187   250   172   250 0.84 -
45935at50557_6973_0:001b70|STRG.10176.2:1542-2315|+     -            258 107413at50557        -             88   3.1e-19   67.9   4.9   1   2     0.017       1.3    8.3   0.0     1    36   139   176   139   182 0.77 -
45935at50557_6973_0:001b70|STRG.10176.2:1542-2315|+     -            258 107413at50557        -             88   3.1e-19   67.9   4.9   2   2   3.2e-18   2.4e-16   58.6   4.0    26    88   187   250   172   250 0.84 -
45935at50557_6973_0:001b70|STRG.10176.3:2440-3213|+     -            258 107413at50557        -             88   3.1e-19   67.9   4.9   1   2     0.017       1.3    8.3   0.0     1    36   139   176   139   182 0.77 -
45935at50557_6973_0:001b70|STRG.10176.3:2440-3213|+     -            258 107413at50557        -             88   3.1e-19   67.9   4.9   2   2   3.2e-18   2.4e-16   58.6   4.0    26    88   187   250   172   250 0.84 -
45935at50557_67767_0:003589|STRG.10176.4:2183-3085|+    -            301 107413at50557        -             88   4.5e-19   67.4   4.8   1   2     0.022       1.7    7.9   0.0     1    36   182   219   182   224 0.76 -
45935at50557_67767_0:003589|STRG.10176.4:2183-3085|+    -            301 107413at50557        -             88   4.5e-19   67.4   4.8   2   2   4.1e-18     3e-16   58.3   3.9    26    88   230   293   215   293 0.84 -
45935at50557_67767_0:003589|STRG.10176.5:2295-3197|+    -            301 107413at50557        -             88   4.5e-19   67.4   4.8   1   2     0.022       1.7    7.9   0.0     1    36   182   219   182   224 0.76 -
45935at50557_67767_0:003589|STRG.10176.5:2295-3197|+    -            301 107413at50557        -             88   4.5e-19   67.4   4.8   2   2   4.1e-18     3e-16   58.3   3.9    26    88   230   293   215   293 0.84 -
