#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
65618at50557_103372_0:000ad6|STRG.6475.1:124-1365|+    -            414 65618at50557         -            344  2.1e-154  512.5   2.0   1   1  3.4e-156  7.9e-154  510.6   2.0     2   340     9   404     8   408 0.90 -
65618at50557_520822_0:000026|STRG.6475.2:115-1566|+    -            417 65618at50557         -            344  2.2e-154  512.5   2.0   1   1  3.5e-156  8.1e-154  510.6   2.0     2   340    12   407    11   411 0.90 -
65618at50557_520822_0:000026|STRG.6475.3:115-1630|+    -            409 65618at50557         -            344  2.2e-154  512.5   1.3   1   1  3.4e-156  7.8e-154  510.7   1.3     2   339    12   406    11   409 0.90 -
60961at50557_30025_0:002fae|STRG.5880.4:530-1210|+     -            227 65618at50557         -            344   1.8e-40  137.9   0.1   1   2     6e-21   1.4e-18   65.9   0.0    12    78    31   101    21   123 0.87 -
60961at50557_30025_0:002fae|STRG.5880.4:530-1210|+     -            227 65618at50557         -            344   1.8e-40  137.9   0.1   2   2   3.4e-22   7.8e-20   70.0   0.0     5    77   146   223   143   226 0.86 -
60961at50557_34720_0:0017d0|STRG.7028.1:122-1495|+     -            444 65618at50557         -            344   2.3e-40  137.6   0.0   1   2   2.9e-19   6.7e-17   60.4   0.0    13   103    53   150    37   156 0.86 -
60961at50557_34720_0:0017d0|STRG.7028.1:122-1495|+     -            444 65618at50557         -            344   2.3e-40  137.6   0.0   2   2   9.9e-24   2.3e-21   75.1   0.0     3   109   167   293   165   296 0.79 -
60961at50557_34720_0:0017d0|STRG.7028.2:122-1714|+     -            444 65618at50557         -            344   2.3e-40  137.6   0.0   1   2   2.9e-19   6.7e-17   60.4   0.0    13   103    53   150    37   156 0.86 -
60961at50557_34720_0:0017d0|STRG.7028.2:122-1714|+     -            444 65618at50557         -            344   2.3e-40  137.6   0.0   2   2   9.9e-24   2.3e-21   75.1   0.0     3   109   167   293   165   296 0.79 -
60961at50557_34720_0:0017d0|STRG.7028.3:122-1453|+     -            444 65618at50557         -            344   2.3e-40  137.6   0.0   1   2   2.9e-19   6.7e-17   60.4   0.0    13   103    53   150    37   156 0.86 -
60961at50557_34720_0:0017d0|STRG.7028.3:122-1453|+     -            444 65618at50557         -            344   2.3e-40  137.6   0.0   2   2   9.9e-24   2.3e-21   75.1   0.0     3   109   167   293   165   296 0.79 -
