#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
31374at50557_103372_0:0017b9|STRG.19481.1:100-2055|+   -            652 31374at50557         -            569  3.8e-290  962.0  17.0   1   1  3.4e-290  9.2e-289  957.5  17.0     1   569     4   647     4   647 0.94 -
31374at50557_1155016_0:001371|STRG.10435.2:398-1852|+  -            485 31374at50557         -            569   2.4e-69  233.1   9.3   1   2   5.3e-13   1.5e-11   42.3   1.2    48   163     3   132     1   153 0.87 -
31374at50557_1155016_0:001371|STRG.10435.2:398-1852|+  -            485 31374at50557         -            569   2.4e-69  233.1   9.3   2   2   1.1e-58     3e-57  193.1   1.5   254   532   173   472   168   479 0.83 -
31374at50557_133901_0:001035|STRG.10435.1:150-1769|+   -            540 31374at50557         -            569   1.3e-67  227.3  10.2   1   2   2.5e-12   6.9e-11   40.1   1.3    51   163     1   127     1   144 0.87 -
31374at50557_133901_0:001035|STRG.10435.1:150-1769|+   -            540 31374at50557         -            569   1.3e-67  227.3  10.2   2   2   1.5e-57     4e-56  189.4   2.0   278   532   223   492   215   499 0.86 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+    -            317 31374at50557         -            569     4e-50  169.6   3.2   1   3   1.3e-24   3.6e-23   80.6   0.2   342   472    23   153     7   154 0.93 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+    -            317 31374at50557         -            569     4e-50  169.6   3.2   2   3   2.6e-25     7e-24   83.0   0.1   341   476   148   283   141   284 0.95 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+    -            317 31374at50557         -            569     4e-50  169.6   3.2   3   3    0.0015     0.041   11.1   0.0   503   532   279   308   278   312 0.89 -
33043at50557_103372_0:000263|STRG.15997.1:192-2582|+   -            797 31374at50557         -            569   4.3e-50  169.5  10.8   1   3   2.4e-20   6.6e-19   66.5   0.7   334   486    93   246    79   274 0.81 -
33043at50557_103372_0:000263|STRG.15997.1:192-2582|+   -            797 31374at50557         -            569   4.3e-50  169.5  10.8   2   3   3.7e-14     1e-12   46.1   0.3   336   473   372   525   350   525 0.80 -
33043at50557_103372_0:000263|STRG.15997.1:192-2582|+   -            797 31374at50557         -            569   4.3e-50  169.5  10.8   3   3   3.9e-20   1.1e-18   65.8   0.2   343   464   521   642   513   663 0.94 -
