#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
35385at50557_2015173_0:000073|STRG.309.1:1-1221|+     -            407 35385at50557         -            530  5.2e-224  744.0   0.3   1   1  5.2e-226  6.8e-224  743.6   0.3   164   530     1   407     1   407 0.94 -
35385at50557_35570_0:00290c|STRG.3302.1:884-2128|+    -            415 35385at50557         -            530   1.1e-91  307.3   0.0   1   1   1.1e-93   1.4e-91  306.9   0.0   126   495     6   414     3   415 0.87 -
29312at50557_34720_0:0009c1|STRG.4761.1:0-2303|+      -            768 35385at50557         -            530   3.4e-83  279.3   0.0   1   1   3.6e-85   4.7e-83  278.8   0.0   115   490   236   637   222   650 0.89 -
35385at50557_37001_0:001231|STRG.14120.2:6-1328|+     -            441 35385at50557         -            530   6.4e-83  278.4   0.0   1   1   6.3e-85   8.2e-83  278.0   0.0   117   488    29   427    16   438 0.86 -
35385at50557_37001_0:001231|STRG.14120.1:224-1558|+   -            445 35385at50557         -            530   6.6e-83  278.3   0.0   1   1   6.4e-85   8.3e-83  278.0   0.0   116   488    32   431    19   442 0.86 -
35385at50557_7375_0:0001af|STRG.10700.1:294-1628|+    -            445 35385at50557         -            530   1.2e-81  274.1   0.0   1   1   1.2e-83   1.6e-81  273.7   0.0   106   496    30   437    17   443 0.85 -
35385at50557_7375_0:0001af|STRG.10700.2:294-2122|+    -            445 35385at50557         -            530   7.1e-81  271.6   0.0   1   1     7e-83   9.1e-81  271.2   0.0   106   496    30   437    17   443 0.85 -
35385at50557_7370_0:001aad|STRG.9379.1:679-2733|+     -            685 35385at50557         -            530   9.8e-80  267.8   0.0   1   1     1e-81   1.3e-79  267.4   0.0   125   497    85   480    53   493 0.86 -
35385at50557_7370_0:001aad|STRG.9379.2:679-2733|+     -            685 35385at50557         -            530   9.8e-80  267.8   0.0   1   1     1e-81   1.3e-79  267.4   0.0   125   497    85   480    53   493 0.86 -
35385at50557_7370_0:001aad|STRG.9379.3:342-2396|+     -            685 35385at50557         -            530   9.8e-80  267.8   0.0   1   1     1e-81   1.3e-79  267.4   0.0   125   497    85   480    53   493 0.86 -
35385at50557_37001_0:001231|STRG.14122.1:519-1847|+   -            443 35385at50557         -            530   1.2e-79  267.5   0.0   1   1   1.2e-81   1.6e-79  267.2   0.0   113   488    31   433    15   440 0.87 -
35385at50557_37001_0:001231|STRG.2096.1:1364-2593|+   -            410 35385at50557         -            530     2e-77  260.2   0.1   1   2     1e-40   1.3e-38  132.1   0.0   126   296    16   198     1   203 0.84 -
35385at50557_37001_0:001231|STRG.2096.1:1364-2593|+   -            410 35385at50557         -            530     2e-77  260.2   0.1   2   2   5.4e-39   7.1e-37  126.4   0.0   293   470   220   408   207   410 0.85 -
35385at50557_37001_0:001231|STRG.2096.3:1203-2432|+   -            410 35385at50557         -            530     2e-77  260.2   0.1   1   2     1e-40   1.3e-38  132.1   0.0   126   296    16   198     1   203 0.84 -
35385at50557_37001_0:001231|STRG.2096.3:1203-2432|+   -            410 35385at50557         -            530     2e-77  260.2   0.1   2   2   5.4e-39   7.1e-37  126.4   0.0   293   470   220   408   207   410 0.85 -
35385at50557_7370_0:001aad|STRG.6736.1:1012-2319|+    -            436 35385at50557         -            530   9.1e-77  258.0   0.1   1   1   8.2e-79   1.1e-76  257.8   0.1   127   483    54   432    28   436 0.87 -
35385at50557_7370_0:001aad|STRG.6736.2:1194-2501|+    -            436 35385at50557         -            530   9.1e-77  258.0   0.1   1   1   8.2e-79   1.1e-76  257.8   0.1   127   483    54   432    28   436 0.87 -
35385at50557_7370_0:001aad|STRG.6736.4:567-1874|+     -            436 35385at50557         -            530   9.1e-77  258.0   0.1   1   1   8.2e-79   1.1e-76  257.8   0.1   127   483    54   432    28   436 0.87 -
35385at50557_7370_0:001aad|STRG.6736.3:1322-2602|+    -            427 35385at50557         -            530   1.2e-74  251.1   0.1   1   1   1.1e-76   1.4e-74  250.8   0.1   127   477    54   426    28   427 0.87 -
18450at50557_1155016_0:0026c2|STRG.8105.1:1096-2298|+ -            401 35385at50557         -            530   3.8e-73  246.1   0.0   1   1   3.4e-75   4.5e-73  245.9   0.0   126   483    10   400     2   401 0.85 -
35385at50557_123851_0:00322b|STRG.310.1:157-789|+     -            211 35385at50557         -            530   6.1e-71  238.8   1.9   1   1   6.1e-73     8e-71  238.4   1.9     5   162    24   211    21   211 0.92 -
18450at50557_144034_0:001371|STRG.16149.1:3-2858|+    -            952 35385at50557         -            530   7.3e-71  238.6   0.0   1   1     1e-72   1.3e-70  237.7   0.0   126   489   287   673   254   686 0.84 -
29312at50557_116153_0:001f21|STRG.11241.1:602-1690|+  -            363 35385at50557         -            530   2.2e-57  194.1   0.3   1   1     2e-59   2.6e-57  193.9   0.3   130   455     1   345     1   361 0.87 -
46658at50557_28612_0:0048c7|STRG.7557.1:93-1241|+     -            383 35385at50557         -            530   4.3e-53  179.9   0.0   1   1   4.3e-55   5.6e-53  179.5   0.0   130   471     6   365     2   375 0.84 -
65449at50557_7274_0:002e60|STRG.8836.1:11-1513|+      -            501 35385at50557         -            530   6.3e-53  179.4   0.0   1   1   6.2e-55   8.1e-53  179.0   0.0   133   450    16   352     4   376 0.83 -
46658at50557_211228_0:001f32|STRG.15721.1:185-1279|+  -            365 35385at50557         -            530     1e-51  175.4   1.6   1   1   9.5e-54   1.2e-51  175.1   1.6   131   470     1   355     1   364 0.85 -
46658at50557_211228_0:001f32|STRG.15721.2:185-1279|+  -            365 35385at50557         -            530     1e-51  175.4   1.6   1   1   9.5e-54   1.2e-51  175.1   1.6   131   470     1   355     1   364 0.85 -
46658at50557_211228_0:001f32|STRG.15721.3:177-1271|+  -            365 35385at50557         -            530     1e-51  175.4   1.6   1   1   9.5e-54   1.2e-51  175.1   1.6   131   470     1   355     1   364 0.85 -
68043at50557_34720_0:001307|STRG.9205.2:0-1676|+      -            559 35385at50557         -            530   3.4e-51  173.7   0.1   1   1   3.7e-53   4.9e-51  173.1   0.1   112   488   109   516    56   522 0.83 -
68043at50557_34720_0:001307|STRG.9205.1:0-1676|+      -            559 35385at50557         -            530   3.4e-51  173.7   0.1   1   1   3.7e-53   4.9e-51  173.1   0.1   112   488   109   516    56   522 0.83 -
18450at50557_121845_0:000f40|STRG.2096.2:1343-2287|+  -            315 35385at50557         -            530   2.5e-50  170.8   0.1   1   2   2.9e-41   3.7e-39  133.9   0.0   116   296    10   206     3   211 0.84 -
18450at50557_121845_0:000f40|STRG.2096.2:1343-2287|+  -            315 35385at50557         -            530   2.5e-50  170.8   0.1   2   2   2.7e-11   3.5e-09   35.0   0.0   293   378   228   314   215   315 0.86 -
18450at50557_121845_0:000f40|STRG.2096.4:1176-2120|+  -            315 35385at50557         -            530   2.5e-50  170.8   0.1   1   2   2.9e-41   3.7e-39  133.9   0.0   116   296    10   206     3   211 0.84 -
18450at50557_121845_0:000f40|STRG.2096.4:1176-2120|+  -            315 35385at50557         -            530   2.5e-50  170.8   0.1   2   2   2.7e-11   3.5e-09   35.0   0.0   293   378   228   314   215   315 0.86 -
46658at50557_1155016_0:0008f1|STRG.11029.1:105-1208|+ -            368 35385at50557         -            530   4.6e-50  169.9   0.8   1   1   4.1e-52   5.4e-50  169.7   0.8   131   470     1   355     1   366 0.86 -
65449at50557_42026_0:002fbc|STRG.6856.1:123-1436|+    -            438 35385at50557         -            530   4.6e-49  166.6   0.0   1   1   4.3e-51   5.7e-49  166.3   0.0   132   450     2   339     1   365 0.84 -
65449at50557_7237_0:000776|STRG.9810.1:15-1172|+      -            386 35385at50557         -            530   5.8e-49  166.3   0.4   1   1   6.5e-51   8.4e-49  165.8   0.4   130   464     2   357     1   370 0.80 -
46658at50557_219809_0:0017ae|STRG.18079.1:515-1864|+  -            450 35385at50557         -            530   9.6e-47  159.0   0.8   1   1   9.2e-49   1.2e-46  158.6   0.8   123   468    55   413    19   429 0.83 -
46658at50557_219809_0:0017ae|STRG.18079.3:490-1839|+  -            450 35385at50557         -            530   9.6e-47  159.0   0.8   1   1   9.2e-49   1.2e-46  158.6   0.8   123   468    55   413    19   429 0.83 -
46658at50557_83485_0:000f8c|STRG.18079.4:0-1331|+     -            444 35385at50557         -            530   1.1e-46  158.7   1.1   1   1   1.1e-48   1.4e-46  158.4   1.1   124   468    50   407    17   423 0.83 -
46658at50557_83485_0:000f8c|STRG.18079.2:499-1689|+   -            397 35385at50557         -            530     2e-46  157.9   1.0   1   1   1.9e-48   2.5e-46  157.6   1.0   129   468     8   360     2   376 0.85 -
46658at50557_28612_0:0048c7|STRG.3957.1:218-1402|+    -            395 35385at50557         -            530   4.2e-44  150.3   2.1   1   1     4e-46   5.2e-44  149.9   2.1   129   469    16   375     3   386 0.83 -
46658at50557_28612_0:0048c7|STRG.3957.2:218-1402|+    -            395 35385at50557         -            530   4.2e-44  150.3   2.1   1   1     4e-46   5.2e-44  149.9   2.1   129   469    16   375     3   386 0.83 -
46658at50557_28612_0:0048c7|STRG.3957.3:218-2572|+    -            395 35385at50557         -            530   4.2e-44  150.3   2.1   1   1     4e-46   5.2e-44  149.9   2.1   129   469    16   375     3   386 0.83 -
65449at50557_7220_0:002055|STRG.20007.1:1133-2944|+   -            604 35385at50557         -            530   6.2e-43  146.4   0.3   1   3     7e-29   9.2e-27   93.0   0.0   146   297     2   164     1   170 0.85 -
65449at50557_7220_0:002055|STRG.20007.1:1133-2944|+   -            604 35385at50557         -            530   6.2e-43  146.4   0.3   2   3      0.16        21    2.8   0.0   298   329   272   303   253   314 0.82 -
65449at50557_7220_0:002055|STRG.20007.1:1133-2944|+   -            604 35385at50557         -            530   6.2e-43  146.4   0.3   3   3   6.5e-15   8.5e-13   46.9   0.0   390   477   404   497   391   518 0.78 -
25910at50557_103372_0:001a63|STRG.12973.1:151-2337|+  -            729 35385at50557         -            530   2.6e-41  141.1   0.0   1   3   7.1e-08   9.2e-06   23.7   0.0   129   208     2    81     1    88 0.89 -
25910at50557_103372_0:001a63|STRG.12973.1:151-2337|+  -            729 35385at50557         -            530   2.6e-41  141.1   0.0   2   3   5.1e-19   6.6e-17   60.5   0.0   193   292   276   387   254   433 0.82 -
25910at50557_103372_0:001a63|STRG.12973.1:151-2337|+  -            729 35385at50557         -            530   2.6e-41  141.1   0.0   3   3   8.3e-17   1.1e-14   53.2   0.0   365   464   507   619   474   623 0.85 -
25910at50557_103372_0:001a63|STRG.12973.2:151-2403|+  -            729 35385at50557         -            530   2.6e-41  141.1   0.0   1   3   7.1e-08   9.2e-06   23.7   0.0   129   208     2    81     1    88 0.89 -
25910at50557_103372_0:001a63|STRG.12973.2:151-2403|+  -            729 35385at50557         -            530   2.6e-41  141.1   0.0   2   3   5.1e-19   6.6e-17   60.5   0.0   193   292   276   387   254   433 0.82 -
25910at50557_103372_0:001a63|STRG.12973.2:151-2403|+  -            729 35385at50557         -            530   2.6e-41  141.1   0.0   3   3   8.3e-17   1.1e-14   53.2   0.0   365   464   507   619   474   623 0.85 -
25910at50557_103372_0:001a63|STRG.12973.3:3-2180|+    -            726 35385at50557         -            530   1.4e-40  138.7   0.0   1   3   3.8e-07   4.9e-05   21.3   0.0   137   208     7    78     1    85 0.85 -
25910at50557_103372_0:001a63|STRG.12973.3:3-2180|+    -            726 35385at50557         -            530   1.4e-40  138.7   0.0   2   3     5e-19   6.6e-17   60.5   0.0   193   292   273   384   251   430 0.82 -
25910at50557_103372_0:001a63|STRG.12973.3:3-2180|+    -            726 35385at50557         -            530   1.4e-40  138.7   0.0   3   3   8.3e-17   1.1e-14   53.2   0.0   365   464   504   616   471   620 0.85 -
46658at50557_121225_0:00147e|STRG.15694.1:152-1389|+  -            373 35385at50557         -            530   2.4e-40  137.9   0.3   1   1   2.4e-42   3.2e-40  137.5   0.3   129   466    10   357     3   365 0.82 -
46658at50557_28612_0:0048c7|STRG.15694.2:149-1285|+   -            379 35385at50557         -            530     2e-39  134.8   0.4   1   1     2e-41   2.6e-39  134.4   0.4   129   465    11   369     2   376 0.82 -
43304at50557_34720_0:00174e|STRG.11265.1:0-2216|+     -            739 35385at50557         -            530   1.1e-38  132.4   4.1   1   3   1.1e-10   1.4e-08   33.0   0.0   128   192   138   203   119   216 0.87 -
43304at50557_34720_0:00174e|STRG.11265.1:0-2216|+     -            739 35385at50557         -            530   1.1e-38  132.4   4.1   2   3   6.2e-14   8.1e-12   43.7   0.0   204   310   255   379   236   402 0.77 -
43304at50557_34720_0:00174e|STRG.11265.1:0-2216|+     -            739 35385at50557         -            530   1.1e-38  132.4   4.1   3   3     2e-17   2.6e-15   55.2   0.0   389   458   490   565   443   584 0.78 -
43304at50557_34720_0:00174e|STRG.11265.2:0-2231|+     -            744 35385at50557         -            530   1.3e-38  132.1   4.4   1   3   1.1e-10   1.4e-08   33.0   0.0   128   193   138   204   119   217 0.87 -
43304at50557_34720_0:00174e|STRG.11265.2:0-2231|+     -            744 35385at50557         -            530   1.3e-38  132.1   4.4   2   3     6e-14   7.8e-12   43.8   0.0   204   310   260   384   237   407 0.77 -
43304at50557_34720_0:00174e|STRG.11265.2:0-2231|+     -            744 35385at50557         -            530   1.3e-38  132.1   4.4   3   3     2e-17   2.7e-15   55.2   0.0   389   458   495   570   448   589 0.78 -
123578at50557_7168_0:0013fb|STRG.12862.1:138-1556|+   -            473 35385at50557         -            530   5.1e-30  103.8   0.1   1   1   9.2e-32   1.2e-29  102.5   0.1   124   452    70   431    52   448 0.81 -
29312at50557_28612_0:006022|STRG.10700.3:315-887|+    -            191 35385at50557         -            530   4.9e-27   93.9   0.0   1   1   4.5e-29   5.9e-27   93.7   0.0   106   262    23   182    10   189 0.79 -
46658at50557_174628_0:001983|STRG.18571.1:4-999|+     -            332 35385at50557         -            530   5.3e-25   87.2   1.6   1   1   5.8e-27   7.5e-25   86.7   1.6   168   462     2   314     1   326 0.79 -
46658at50557_174628_0:001983|STRG.18571.3:4-999|+     -            332 35385at50557         -            530   5.3e-25   87.2   1.6   1   1   5.8e-27   7.5e-25   86.7   1.6   168   462     2   314     1   326 0.79 -
57791at50557_34720_0:001e64|STRG.14517.1:233-2176|+   -            648 35385at50557         -            530   6.5e-25   86.9   4.8   1   2   8.4e-12   1.1e-09   36.7   1.6   165   324   224   407     3   415 0.71 -
57791at50557_34720_0:001e64|STRG.14517.1:233-2176|+   -            648 35385at50557         -            530   6.5e-25   86.9   4.8   2   2   5.3e-16     7e-14   50.5   0.1   408   519   519   636   442   646 0.78 -
57791at50557_34720_0:001e64|STRG.14517.2:0-1967|+     -            656 35385at50557         -            530   9.5e-25   86.4   5.3   1   2   1.2e-11   1.5e-09   36.2   2.1   165   324   232   415     9   422 0.70 -
57791at50557_34720_0:001e64|STRG.14517.2:0-1967|+     -            656 35385at50557         -            530   9.5e-25   86.4   5.3   2   2   5.5e-16   7.1e-14   50.5   0.1   408   519   527   644   450   654 0.78 -
41619at50557_34720_0:0004fb|STRG.2499.1:0-1415|+      -            472 35385at50557         -            530   1.2e-24   86.1   0.1   1   2   1.8e-16   2.4e-14   52.0   0.0   204   327    11   146     3   160 0.80 -
41619at50557_34720_0:0004fb|STRG.2499.1:0-1415|+      -            472 35385at50557         -            530   1.2e-24   86.1   0.1   2   2   2.4e-10   3.1e-08   31.9   0.0   417   495   269   355   260   391 0.78 -
65449at50557_34720_0:000b83|STRG.5710.1:1-2237|+      -            421 35385at50557         -            530   5.2e-23   80.6   0.0   1   1     6e-25   7.8e-23   80.1   0.0   271   452     2   195     1   250 0.81 -
46658at50557_7260_0:0034ab|STRG.18571.2:4-1014|+      -            337 35385at50557         -            530   2.2e-22   78.6   1.4   1   1   2.4e-24   3.1e-22   78.1   1.4   168   462     2   319     1   331 0.78 -
35385at50557_1155016_0:002498|STRG.19937.1:5-370|+    -            122 35385at50557         -            530   2.8e-16   58.4   0.0   1   1   2.1e-18   2.8e-16   58.4   0.0   389   461    42   120     1   122 0.82 -
65449at50557_1629725_0:001b14|STRG.20007.2:593-1057|+ -            155 35385at50557         -            530   2.9e-09   35.3   0.0   1   1   2.6e-11   3.4e-09   35.1   0.0   414   484     1    75     1    91 0.80 -
19244at50557_29053_0:002948|STRG.1547.2:1560-2747|+   -            396 35385at50557         -            530   4.3e-06   24.8   0.1   1   2     0.023         3    5.5   0.0   153   188     8    43     3    55 0.89 -
19244at50557_29053_0:002948|STRG.1547.2:1560-2747|+   -            396 35385at50557         -            530   4.3e-06   24.8   0.1   2   2   6.9e-06    0.0009   17.2   0.0   409   494   280   368   250   380 0.79 -
19244at50557_34720_0:002014|STRG.15272.2:134-4588|+   -           1485 35385at50557         -            530   7.7e-06   24.0   0.1   1   2      0.86   1.1e+02    0.3   0.0   156   189   797   830   770   841 0.82 -
19244at50557_34720_0:002014|STRG.15272.2:134-4588|+   -           1485 35385at50557         -            530   7.7e-06   24.0   0.1   2   2   6.2e-07   8.1e-05   20.6   0.0   408   466  1083  1144  1056  1179 0.71 -
19244at50557_34720_0:002014|STRG.15272.1:116-4681|+   -           1522 35385at50557         -            530   8.1e-06   23.9   0.1   1   2      0.89   1.2e+02    0.3   0.0   156   189   834   867   807   878 0.82 -
19244at50557_34720_0:002014|STRG.15272.1:116-4681|+   -           1522 35385at50557         -            530   8.1e-06   23.9   0.1   2   2   6.4e-07   8.4e-05   20.6   0.0   408   466  1120  1181  1093  1216 0.71 -
19244at50557_29053_0:002948|STRG.524.1:660-1889|+     -            410 35385at50557         -            530   1.3e-05   23.2   0.1   1   2    0.0032      0.42    8.3   0.0   148   189    27    68     6    83 0.85 -
19244at50557_29053_0:002948|STRG.524.1:660-1889|+     -            410 35385at50557         -            530   1.3e-05   23.2   0.1   2   2   0.00016     0.021   12.7   0.0   408   454   305   351   281   390 0.86 -
19244at50557_116153_0:001e22|STRG.1195.1:27-1052|+    -            342 35385at50557         -            530   1.8e-05   22.8   0.0   1   2    0.0063      0.82    7.4   0.0   154   190     9    46     6    61 0.79 -
19244at50557_116153_0:001e22|STRG.1195.1:27-1052|+    -            342 35385at50557         -            530   1.8e-05   22.8   0.0   2   2   0.00012     0.015   13.1   0.0   367   451   243   334   236   338 0.79 -
46658at50557_38123_0:00176e|STRG.19938.1:650-838|+    -             63 35385at50557         -            530    0.0049   14.7   0.1   1   1   3.7e-05    0.0049   14.7   0.1   227   263    12    51     4    63 0.78 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35385at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/35385at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35385at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:54:30 2024
# [ok]
