#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
10915at50557_286306_0:002151|STRG.9826.1:1-3933|+      -           1065 10915at50557         -            974  3.9e-231  768.5   3.8   1   1  4.7e-232    2e-230  766.1   3.8   309   913     1   721     1   747 0.87 -
10915at50557_286306_0:003537|STRG.9825.1:2-678|+       -            203 10915at50557         -            974   9.5e-53  178.1   0.2   1   1   2.6e-54   1.1e-52  177.9   0.2   162   302    36   203    26   203 0.89 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 10915at50557         -            974   5.7e-26   89.5   0.8   1   4   2.1e-09     9e-08   29.2   0.1    48   129   115   200    96   219 0.77 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 10915at50557         -            974   5.7e-26   89.5   0.8   2   4    0.0066      0.28    7.7   0.0    34    83   233   281   201   303 0.77 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 10915at50557         -            974   5.7e-26   89.5   0.8   3   4   3.7e-11   1.6e-09   35.0   0.0    13    87   368   444   361   446 0.89 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 10915at50557         -            974   5.7e-26   89.5   0.8   4   4   4.4e-05    0.0019   14.9   0.0    44    81   443   480   439   481 0.92 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 10915at50557         -            974   4.6e-25   86.4   2.7   1   5   3.8e-05    0.0016   15.1   0.0    15   118    52   160     3   166 0.49 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 10915at50557         -            974   4.6e-25   86.4   2.7   2   5   1.2e-08     5e-07   26.7   0.1     8    81   250   324   244   331 0.86 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 10915at50557         -            974   4.6e-25   86.4   2.7   3   5   5.2e-08   2.3e-06   24.6   0.0    40   148   366   491   359   493 0.76 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 10915at50557         -            974   4.6e-25   86.4   2.7   4   5    0.0047       0.2    8.2   0.0    20    70   483   534   477   589 0.74 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 10915at50557         -            974   4.6e-25   86.4   2.7   5   5   0.00021    0.0093   12.6   0.0    29    80   661   712   639   712 0.84 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 10915at50557         -            974   5.2e-24   83.0   0.7   1   3   2.2e-11   9.7e-10   35.7   0.0    13   113     7   110     3   113 0.90 -
