#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
68043at50557_34720_0:001307|STRG.4166.1:61-1737|+      -            559 68043at50557         -            302  2.4e-145  482.2   0.0   1   1  8.8e-147  8.3e-145  480.5   0.0     8   302   144   481   138   481 0.91 -
35385at50557_35570_0:00290c|STRG.8983.1:1004-2248|+    -            415 68043at50557         -            302   2.2e-54  183.6   0.0   1   2   1.2e-17   1.2e-15   56.4   0.1    14    60    25    71    13    73 0.89 -
35385at50557_35570_0:00290c|STRG.8983.1:1004-2248|+    -            415 68043at50557         -            302   2.2e-54  183.6   0.0   2   2   5.4e-38   5.1e-36  123.3   0.0    63   300    96   370    91   372 0.75 -
35385at50557_37001_0:001231|STRG.17541.1:1026-2255|+   -            410 68043at50557         -            302   2.7e-52  176.7   0.0   1   2   3.1e-27     3e-25   87.9   0.0     8   137    29   186    22   198 0.77 -
35385at50557_37001_0:001231|STRG.17541.1:1026-2255|+   -            410 68043at50557         -            302   2.7e-52  176.7   0.0   2   2   3.2e-26     3e-24   84.6   0.0   146   300   230   389   211   391 0.82 -
35385at50557_37001_0:001231|STRG.17541.2:1026-2255|+   -            410 68043at50557         -            302   2.7e-52  176.7   0.0   1   2   3.1e-27     3e-25   87.9   0.0     8   137    29   186    22   198 0.77 -
35385at50557_37001_0:001231|STRG.17541.2:1026-2255|+   -            410 68043at50557         -            302   2.7e-52  176.7   0.0   2   2   3.2e-26     3e-24   84.6   0.0   146   300   230   389   211   391 0.82 -
35385at50557_37001_0:001231|STRG.17541.3:1023-2252|+   -            410 68043at50557         -            302   2.7e-52  176.7   0.0   1   2   3.1e-27     3e-25   87.9   0.0     8   137    29   186    22   198 0.77 -
35385at50557_37001_0:001231|STRG.17541.3:1023-2252|+   -            410 68043at50557         -            302   2.7e-52  176.7   0.0   2   2   3.2e-26     3e-24   84.6   0.0   146   300   230   389   211   391 0.82 -
18450at50557_1155016_0:0026c2|STRG.16192.1:1130-2332|+ -            401 68043at50557         -            302   2.8e-52  176.6   0.7   1   1   8.4e-53   7.9e-51  171.9   0.7    11   302    26   369    18   369 0.76 -
18450at50557_1155016_0:0026c2|STRG.16192.2:1076-2278|+ -            401 68043at50557         -            302   2.8e-52  176.6   0.7   1   1   8.4e-53   7.9e-51  171.9   0.7    11   302    26   369    18   369 0.76 -
18450at50557_1155016_0:0026c2|STRG.16192.3:1022-2224|+ -            401 68043at50557         -            302   2.8e-52  176.6   0.7   1   1   8.4e-53   7.9e-51  171.9   0.7    11   302    26   369    18   369 0.76 -
18450at50557_1155016_0:0026c2|STRG.16192.4:1184-2386|+ -            401 68043at50557         -            302   2.8e-52  176.6   0.7   1   1   8.4e-53   7.9e-51  171.9   0.7    11   302    26   369    18   369 0.76 -
18450at50557_1155016_0:0026c2|STRG.16192.5:1130-2332|+ -            401 68043at50557         -            302   2.8e-52  176.6   0.7   1   1   8.4e-53   7.9e-51  171.9   0.7    11   302    26   369    18   369 0.76 -
35385at50557_326594_0:000491|STRG.20875.1:136-1966|+   -            608 68043at50557         -            302   4.5e-51  172.7   0.6   1   1   3.9e-52   3.7e-50  169.7   0.6    17   300   199   516   190   518 0.78 -
35385at50557_37001_0:001231|STRG.5735.2:1182-2459|+    -            426 68043at50557         -            302   4.6e-51  172.7   0.0   1   1   1.1e-52     1e-50  171.5   0.0     7   301    66   401    61   402 0.81 -
35385at50557_37001_0:001231|STRG.5735.3:872-2149|+     -            426 68043at50557         -            302   4.6e-51  172.7   0.0   1   1   1.1e-52     1e-50  171.5   0.0     7   301    66   401    61   402 0.81 -
35385at50557_37001_0:001231|STRG.5735.1:1182-2489|+    -            436 68043at50557         -            302     5e-51  172.5   0.0   1   1   1.2e-52   1.1e-50  171.4   0.0     7   301    66   401    61   402 0.81 -
29312at50557_34720_0:0009c1|STRG.1112.1:103-2403|+     -            767 68043at50557         -            302   1.7e-50  170.8   0.0   1   1   3.4e-52   3.2e-50  169.9   0.0    10   302   266   600   259   600 0.78 -
46658at50557_211228_0:001f32|STRG.6659.1:227-1321|+    -            365 68043at50557         -            302   3.5e-50  169.8   0.7   1   1   1.8e-51   1.7e-49  167.5   0.7    14   301    15   337     5   338 0.83 -
46658at50557_211228_0:001f32|STRG.6659.2:227-1321|+    -            365 68043at50557         -            302   3.5e-50  169.8   0.7   1   1   1.8e-51   1.7e-49  167.5   0.7    14   301    15   337     5   338 0.83 -
35385at50557_37001_0:001231|STRG.9129.1:538-1866|+     -            443 68043at50557         -            302   4.5e-50  169.4   0.0   1   1     1e-51   9.7e-50  168.3   0.0    14   301    67   397    59   398 0.80 -
35385at50557_7375_0:0001af|STRG.3240.1:299-1633|+      -            445 68043at50557         -            302   1.2e-49  168.0   0.0   1   1   2.7e-51   2.6e-49  166.9   0.0    12   302    63   396    54   396 0.77 -
35385at50557_7375_0:0001af|STRG.3240.4:299-1633|+      -            445 68043at50557         -            302   1.2e-49  168.0   0.0   1   1   2.7e-51   2.6e-49  166.9   0.0    12   302    63   396    54   396 0.77 -
29312at50557_116153_0:001f21|STRG.20560.1:766-1905|+   -            380 68043at50557         -            302   1.6e-49  167.6   0.5   1   1   3.1e-51     3e-49  166.7   0.5    10   300    12   344     5   346 0.82 -
35385at50557_7375_0:0001af|STRG.3240.2:299-2127|+      -            445 68043at50557         -            302   4.8e-49  166.0   0.0   1   1   1.1e-50     1e-48  165.0   0.0    12   302    63   396    54   396 0.77 -
