#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
36552at50557_103372_0:001482|STRG.4610.1:122-1738|+ -            539 36552at50557         -            432  7.1e-237  785.1   0.8   1   1  1.2e-239  2.1e-236  783.5   0.8     1   432     9   489     9   489 0.93 -
100475at50557_62324_0:00109e|STRG.4078.3:412-1790|+ -            458 36552at50557         -            432   7.6e-30  102.9   1.1   1   2   4.7e-11   8.3e-08   30.3   0.1    35   225    37   248    26   267 0.76 -
100475at50557_62324_0:00109e|STRG.4078.3:412-1790|+ -            458 36552at50557         -            432   7.6e-30  102.9   1.1   2   2   1.2e-22   2.1e-19   68.5   0.1   233   373   283   423   261   449 0.81 -
100475at50557_62324_0:00109e|STRG.4078.2:412-1779|+ -            456 36552at50557         -            432   7.9e-30  102.8   1.2   1   2   5.1e-11   8.9e-08   30.2   0.1    35   225    37   248    28   265 0.76 -
100475at50557_62324_0:00109e|STRG.4078.2:412-1779|+ -            456 36552at50557         -            432   7.9e-30  102.8   1.2   2   2   1.1e-22     2e-19   68.5   0.1   233   373   283   423   260   449 0.81 -
100475at50557_62324_0:00109e|STRG.4078.4:412-1779|+ -            456 36552at50557         -            432   7.9e-30  102.8   1.2   1   2   5.1e-11   8.9e-08   30.2   0.1    35   225    37   248    28   265 0.76 -
100475at50557_62324_0:00109e|STRG.4078.4:412-1779|+ -            456 36552at50557         -            432   7.9e-30  102.8   1.2   2   2   1.1e-22     2e-19   68.5   0.1   233   373   283   423   260   449 0.81 -
100475at50557_62324_0:00109e|STRG.4078.1:412-1995|+ -            528 36552at50557         -            432   1.4e-29  102.0   1.2   1   2   6.2e-11   1.1e-07   29.9   0.1    35   227    37   249    26   271 0.76 -
100475at50557_62324_0:00109e|STRG.4078.1:412-1995|+ -            528 36552at50557         -            432   1.4e-29  102.0   1.2   2   2   1.5e-22   2.6e-19   68.2   0.1   233   381   283   433   260   452 0.81 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/36552at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/36552at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/36552at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:26:04 2024
# [ok]
