#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
110270at50557_103372_0:0020da|STRG.12012.1:0-659|+    -            220 110270at50557        -            180   2.5e-68  228.1   1.2   1   1   2.2e-71   3.1e-68  227.8   1.2     1   180    12   216    12   216 0.90 -
109102at50557_103372_0:00272e|STRG.2764.1:1020-1529|+ -            170 110270at50557        -            180   1.8e-18   65.7   0.1   1   2   1.5e-10   2.2e-07   29.5   0.0     1    50    18    71    18    78 0.80 -
109102at50557_103372_0:00272e|STRG.2764.1:1020-1529|+ -            170 110270at50557        -            180   1.8e-18   65.7   0.1   2   2   5.1e-12   7.3e-09   34.3   0.0    60   119    98   156    90   166 0.84 -
109102at50557_103372_0:00272e|STRG.2764.2:661-1476|+  -            272 110270at50557        -            180   7.9e-18   63.5   0.0   1   2   3.6e-10   5.2e-07   28.3   0.0     1    50    22    75    22    81 0.80 -
109102at50557_103372_0:00272e|STRG.2764.2:661-1476|+  -            272 110270at50557        -            180   7.9e-18   63.5   0.0   2   2   1.1e-11   1.6e-08   33.2   0.0    60   120   102   161    94   177 0.85 -
109102at50557_103372_0:00272e|STRG.2764.3:665-1480|+  -            272 110270at50557        -            180   7.9e-18   63.5   0.0   1   2   3.6e-10   5.2e-07   28.3   0.0     1    50    22    75    22    81 0.80 -
109102at50557_103372_0:00272e|STRG.2764.3:665-1480|+  -            272 110270at50557        -            180   7.9e-18   63.5   0.0   2   2   1.1e-11   1.6e-08   33.2   0.0    60   120   102   161    94   177 0.85 -
109102at50557_103372_0:00272e|STRG.2764.4:0-815|+     -            272 110270at50557        -            180   7.9e-18   63.5   0.0   1   2   3.6e-10   5.2e-07   28.3   0.0     1    50    22    75    22    81 0.80 -
109102at50557_103372_0:00272e|STRG.2764.4:0-815|+     -            272 110270at50557        -            180   7.9e-18   63.5   0.0   2   2   1.1e-11   1.6e-08   33.2   0.0    60   120   102   161    94   177 0.85 -
109102at50557_136037_0:0000fd|STRG.17992.1:108-794|+  -            229 110270at50557        -            180   1.2e-13   49.9   0.1   1   1   3.9e-15   5.5e-12   44.5   0.1     2   139    11   167    10   176 0.76 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/110270at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/110270at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/110270at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:52:23 2024
# [ok]
