#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
119132at50557_103372_0:001108|STRG.13750.1:35-1220|+  -            283 119132at50557        -            257   1.6e-88  295.1   3.4   1   1   4.8e-89     2e-87  291.5   3.4    35   256    22   283    17   283 0.87 -
33043at50557_454923_0:001231|STRG.11184.1:4335-5705|+ -            457 119132at50557        -            257   7.4e-21   73.4   6.3   1   3   3.3e-10   1.4e-08   33.2   0.0    49   181    15   158    12   164 0.81 -
33043at50557_454923_0:001231|STRG.11184.1:4335-5705|+ -            457 119132at50557        -            257   7.4e-21   73.4   6.3   2   3   0.00089     0.038   12.1   0.0    84   134   192   249   184   260 0.84 -
33043at50557_454923_0:001231|STRG.11184.1:4335-5705|+ -            457 119132at50557        -            257   7.4e-21   73.4   6.3   3   3   6.2e-06   0.00026   19.2   1.6    13   135   311   457   308   457 0.69 -
33043at50557_454923_0:001231|STRG.11184.2:2811-4181|+ -            457 119132at50557        -            257   7.4e-21   73.4   6.3   1   3   3.3e-10   1.4e-08   33.2   0.0    49   181    15   158    12   164 0.81 -
33043at50557_454923_0:001231|STRG.11184.2:2811-4181|+ -            457 119132at50557        -            257   7.4e-21   73.4   6.3   2   3   0.00089     0.038   12.1   0.0    84   134   192   249   184   260 0.84 -
33043at50557_454923_0:001231|STRG.11184.2:2811-4181|+ -            457 119132at50557        -            257   7.4e-21   73.4   6.3   3   3   6.2e-06   0.00026   19.2   1.6    13   135   311   457   308   457 0.69 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+  -            305 119132at50557        -            257   3.5e-18   64.6   2.7   1   3     4e-07   1.7e-05   23.1   0.1    81   137    16    79    11    89 0.88 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+  -            305 119132at50557        -            257   3.5e-18   64.6   2.7   2   3   5.6e-05    0.0024   16.0   0.1    87   140   107   167   102   182 0.84 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+  -            305 119132at50557        -            257   3.5e-18   64.6   2.7   3   3   2.7e-07   1.1e-05   23.6   0.1    85   147   208   277   205   305 0.90 -
40115at50557_103372_0:0021d6|STRG.12708.2:0-1445|+    -            482 119132at50557        -            257   2.8e-16   58.4   0.8   1   6     0.037       1.6    6.8   0.0   107   139   116   155   104   160 0.71 -
40115at50557_103372_0:0021d6|STRG.12708.2:0-1445|+    -            482 119132at50557        -            257   2.8e-16   58.4   0.8   2   6    0.0091      0.38    8.8   0.0    87   139   138   197   136   203 0.82 -
40115at50557_103372_0:0021d6|STRG.12708.2:0-1445|+    -            482 119132at50557        -            257   2.8e-16   58.4   0.8   3   6   6.5e-05    0.0027   15.8   0.1    88   158   181   264   178   265 0.75 -
40115at50557_103372_0:0021d6|STRG.12708.2:0-1445|+    -            482 119132at50557        -            257   2.8e-16   58.4   0.8   4   6    0.0033      0.14   10.2   0.0    84   120   266   302   264   305 0.94 -
40115at50557_103372_0:0021d6|STRG.12708.2:0-1445|+    -            482 119132at50557        -            257   2.8e-16   58.4   0.8   5   6     0.056       2.4    6.2   0.0    87   147   343   411   338   420 0.77 -
40115at50557_103372_0:0021d6|STRG.12708.2:0-1445|+    -            482 119132at50557        -            257   2.8e-16   58.4   0.8   6   6    0.0055      0.23    9.5   0.0    83   133   424   481   411   482 0.84 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+   -            289 119132at50557        -            257   1.1e-15   56.4   3.9   1   4     4e-09   1.7e-07   29.6   0.0    83   142    60   126    37   133 0.87 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+   -            289 119132at50557        -            257   1.1e-15   56.4   3.9   2   4   6.8e-05    0.0029   15.8   0.0    84   140   103   166   102   172 0.85 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+   -            289 119132at50557        -            257   1.1e-15   56.4   3.9   3   4   1.7e-05   0.00071   17.7   0.2    85   144   189   258   185   261 0.81 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+   -            289 119132at50557        -            257   1.1e-15   56.4   3.9   4   4   0.00017     0.007   14.5   0.1    85   117   234   266   224   274 0.87 -
43121at50557_103372_0:001d6c|STRG.22490.1:761-2358|+  -            510 119132at50557        -            257   1.1e-15   56.4   0.4   1   2   2.1e-11   8.8e-10   37.1   0.1     5   140   217   384   214   390 0.73 -
43121at50557_103372_0:001d6c|STRG.22490.1:761-2358|+  -            510 119132at50557        -            257   1.1e-15   56.4   0.4   2   2   0.00073     0.031   12.4   0.0    84   133   453   509   444   510 0.85 -
43121at50557_103372_0:001d6c|STRG.22490.2:0-1529|+    -            510 119132at50557        -            257   1.5e-15   56.0   0.4   1   2   2.1e-11   8.8e-10   37.1   0.1     5   140   217   384   214   390 0.73 -
43121at50557_103372_0:001d6c|STRG.22490.2:0-1529|+    -            510 119132at50557        -            257   1.5e-15   56.0   0.4   2   2   0.00095      0.04   12.0   0.0    84   133   453   509   444   510 0.85 -
80377at50557_30019_0:0008bb|STRG.7095.1:1945-2805|+   -            287 119132at50557        -            257     4e-15   54.6   8.8   1   4      0.14       6.1    4.9   0.0   106   138     9    47     5    56 0.71 -
80377at50557_30019_0:0008bb|STRG.7095.1:1945-2805|+   -            287 119132at50557        -            257     4e-15   54.6   8.8   2   4   1.1e-05   0.00044   18.4   0.2    84   145    68   134    60   147 0.82 -
80377at50557_30019_0:0008bb|STRG.7095.1:1945-2805|+   -            287 119132at50557        -            257     4e-15   54.6   8.8   3   4   6.9e-05    0.0029   15.7   0.1    84   139   148   208   143   217 0.85 -
80377at50557_30019_0:0008bb|STRG.7095.1:1945-2805|+   -            287 119132at50557        -            257     4e-15   54.6   8.8   4   4   8.5e-06   0.00036   18.7   0.1    82   135   226   287   217   287 0.87 -
80377at50557_30019_0:0008bb|STRG.7095.2:1343-2203|+   -            287 119132at50557        -            257     4e-15   54.6   8.8   1   4      0.14       6.1    4.9   0.0   106   138     9    47     5    56 0.71 -
80377at50557_30019_0:0008bb|STRG.7095.2:1343-2203|+   -            287 119132at50557        -            257     4e-15   54.6   8.8   2   4   1.1e-05   0.00044   18.4   0.2    84   145    68   134    60   147 0.82 -
80377at50557_30019_0:0008bb|STRG.7095.2:1343-2203|+   -            287 119132at50557        -            257     4e-15   54.6   8.8   3   4   6.9e-05    0.0029   15.7   0.1    84   139   148   208   143   217 0.85 -
80377at50557_30019_0:0008bb|STRG.7095.2:1343-2203|+   -            287 119132at50557        -            257     4e-15   54.6   8.8   4   4   8.5e-06   0.00036   18.7   0.1    82   135   226   287   217   287 0.87 -
80377at50557_30019_0:0008bb|STRG.7095.3:1343-2203|+   -            287 119132at50557        -            257     4e-15   54.6   8.8   1   4      0.14       6.1    4.9   0.0   106   138     9    47     5    56 0.71 -
80377at50557_30019_0:0008bb|STRG.7095.3:1343-2203|+   -            287 119132at50557        -            257     4e-15   54.6   8.8   2   4   1.1e-05   0.00044   18.4   0.2    84   145    68   134    60   147 0.82 -
80377at50557_30019_0:0008bb|STRG.7095.3:1343-2203|+   -            287 119132at50557        -            257     4e-15   54.6   8.8   3   4   6.9e-05    0.0029   15.7   0.1    84   139   148   208   143   217 0.85 -
80377at50557_30019_0:0008bb|STRG.7095.3:1343-2203|+   -            287 119132at50557        -            257     4e-15   54.6   8.8   4   4   8.5e-06   0.00036   18.7   0.1    82   135   226   287   217   287 0.87 -
80377at50557_30019_0:0008bb|STRG.7095.4:921-1781|+    -            287 119132at50557        -            257     4e-15   54.6   8.8   1   4      0.14       6.1    4.9   0.0   106   138     9    47     5    56 0.71 -
80377at50557_30019_0:0008bb|STRG.7095.4:921-1781|+    -            287 119132at50557        -            257     4e-15   54.6   8.8   2   4   1.1e-05   0.00044   18.4   0.2    84   145    68   134    60   147 0.82 -
80377at50557_30019_0:0008bb|STRG.7095.4:921-1781|+    -            287 119132at50557        -            257     4e-15   54.6   8.8   3   4   6.9e-05    0.0029   15.7   0.1    84   139   148   208   143   217 0.85 -
80377at50557_30019_0:0008bb|STRG.7095.4:921-1781|+    -            287 119132at50557        -            257     4e-15   54.6   8.8   4   4   8.5e-06   0.00036   18.7   0.1    82   135   226   287   217   287 0.87 -
40115at50557_1629725_0:001335|STRG.17179.1:654-1457|+ -            268 119132at50557        -            257   1.1e-14   53.2  10.5   1   5   2.4e-05     0.001   17.3   0.1    87   143     5    66     2    72 0.90 -
40115at50557_1629725_0:001335|STRG.17179.1:654-1457|+ -            268 119132at50557        -            257   1.1e-14   53.2  10.5   2   5    0.0045      0.19    9.8   0.2   119   187    82   148    59   153 0.70 -
40115at50557_1629725_0:001335|STRG.17179.1:654-1457|+ -            268 119132at50557        -            257   1.1e-14   53.2  10.5   3   5   1.5e-05   0.00065   17.9   0.1    85   134   126   180   117   181 0.90 -
40115at50557_1629725_0:001335|STRG.17179.1:654-1457|+ -            268 119132at50557        -            257   1.1e-14   53.2  10.5   4   5   1.3e-08   5.7e-07   27.9   0.1    84   136   165   222   160   245 0.86 -
40115at50557_1629725_0:001335|STRG.17179.1:654-1457|+ -            268 119132at50557        -            257   1.1e-14   53.2  10.5   5   5       1.3        54    1.8   0.1   117   133   252   268   228   268 0.72 -
40115at50557_1629725_0:001335|STRG.17179.2:621-1424|+ -            268 119132at50557        -            257   1.1e-14   53.2  10.5   1   5   2.4e-05     0.001   17.3   0.1    87   143     5    66     2    72 0.90 -
40115at50557_1629725_0:001335|STRG.17179.2:621-1424|+ -            268 119132at50557        -            257   1.1e-14   53.2  10.5   2   5    0.0045      0.19    9.8   0.2   119   187    82   148    59   153 0.70 -
40115at50557_1629725_0:001335|STRG.17179.2:621-1424|+ -            268 119132at50557        -            257   1.1e-14   53.2  10.5   3   5   1.5e-05   0.00065   17.9   0.1    85   134   126   180   117   181 0.90 -
