#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
118659at50557_143995_0:001dd5|STRG.20286.1:220-708|+ -            163 118659at50557        -            141   1.2e-87  290.0   2.1   1   1   5.5e-90   3.4e-87  288.5   2.1     1   141     8   163     8   163 0.97 -
118659at50557_535359_0:0008a1|STRG.20286.2:220-612|+ -            131 118659at50557        -            141   1.1e-65  218.8   1.5   1   2   3.4e-27   2.1e-24   85.0   0.1     1    48     8    59     8    65 0.93 -
118659at50557_535359_0:0008a1|STRG.20286.2:220-612|+ -            131 118659at50557        -            141   1.1e-65  218.8   1.5   2   2     3e-42   1.9e-39  133.8   0.1    75   141    65   131    60   131 0.97 -
45452at50557_7091_0:000393|STRG.17710.1:463-1587|+   -            375 118659at50557        -            141   3.4e-10   38.9   0.0   1   2     1e-11   6.3e-09   34.8   0.1    32   126    17   118     3   136 0.82 -
45452at50557_7091_0:000393|STRG.17710.1:463-1587|+   -            375 118659at50557        -            141   3.4e-10   38.9   0.0   2   2      0.29   1.8e+02    0.9   0.0    16    52   165   201   151   206 0.80 -
45452at50557_7091_0:000393|STRG.17710.2:370-1494|+   -            375 118659at50557        -            141   3.4e-10   38.9   0.0   1   2     1e-11   6.3e-09   34.8   0.1    32   126    17   118     3   136 0.82 -
45452at50557_7091_0:000393|STRG.17710.2:370-1494|+   -            375 118659at50557        -            141   3.4e-10   38.9   0.0   2   2      0.29   1.8e+02    0.9   0.0    16    52   165   201   151   206 0.80 -
45452at50557_103372_0:00030d|STRG.8559.2:1-1629|+    -            503 118659at50557        -            141   6.8e-08   31.5   0.0   1   2     3e-07   0.00018   20.3   0.0    21    72   118   173   102   190 0.81 -
45452at50557_103372_0:00030d|STRG.8559.2:1-1629|+    -            503 118659at50557        -            141   6.8e-08   31.5   0.0   2   2    0.0012      0.76    8.6   0.0    90   117   211   238   194   253 0.82 -
45452at50557_103372_0:00030d|STRG.8559.1:0-1526|+    -            509 118659at50557        -            141     7e-08   31.4   0.0   1   2     3e-07   0.00018   20.3   0.0    21    72   124   179   108   196 0.81 -
45452at50557_103372_0:00030d|STRG.8559.1:0-1526|+    -            509 118659at50557        -            141     7e-08   31.4   0.0   2   2    0.0013      0.79    8.6   0.0    90   117   217   244   201   259 0.82 -
35377at50557_103372_0:001618|STRG.8165.1:686-2290|+  -            535 118659at50557        -            141   1.3e-07   30.5   0.5   1   2   4.4e-10   2.7e-07   29.5   0.1    54   125   223   297   214   310 0.81 -
35377at50557_103372_0:001618|STRG.8165.1:686-2290|+  -            535 118659at50557        -            141   1.3e-07   30.5   0.5   2   2       5.4   3.3e+03   -3.2   0.0    55    85   452   483   441   515 0.50 -
45452at50557_535359_0:0001d3|STRG.13923.1:344-1417|+ -            358 118659at50557        -            141   1.8e-06   26.9   0.3   1   2   1.6e-08   9.8e-06   24.5   0.1    36   127     1   106     1   115 0.74 -
45452at50557_535359_0:0001d3|STRG.13923.1:344-1417|+ -            358 118659at50557        -            141   1.8e-06   26.9   0.3   2   2         6   3.7e+03   -3.3   0.0    38    63   147   173   139   179 0.68 -
45452at50557_211228_0:001c06|STRG.20650.2:133-1287|+ -            385 118659at50557        -            141   1.2e-05   24.2   1.1   1   2   3.8e-06    0.0024   16.7   0.1     9    74    15    80     8    84 0.88 -
45452at50557_211228_0:001c06|STRG.20650.2:133-1287|+ -            385 118659at50557        -            141   1.2e-05   24.2   1.1   2   2     0.011         7    5.5   0.1   101   125   141   165   100   176 0.84 -
45452at50557_211228_0:001c06|STRG.20650.4:133-1305|+ -            391 118659at50557        -            141   1.2e-05   24.2   1.1   1   2   3.9e-06    0.0024   16.7   0.1     9    74    15    80     8    84 0.88 -
45452at50557_211228_0:001c06|STRG.20650.4:133-1305|+ -            391 118659at50557        -            141   1.2e-05   24.2   1.1   2   2     0.012       7.2    5.4   0.1   101   125   141   165   100   176 0.84 -
45452at50557_211228_0:001c06|STRG.20650.1:193-1329|+ -            379 118659at50557        -            141   1.2e-05   24.2   1.1   1   2   4.1e-06    0.0025   16.7   0.1    12    74    12    74     4    78 0.88 -
45452at50557_211228_0:001c06|STRG.20650.1:193-1329|+ -            379 118659at50557        -            141   1.2e-05   24.2   1.1   2   2     0.011       6.9    5.5   0.1   101   125   135   159    94   170 0.84 -
