#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
106896at50557_34720_0:0025d6|STRG.5420.2:864-2300|+     -            479 106896at50557        -             70   2.1e-34  116.3   4.0   1   1   6.2e-36   2.1e-34  116.3   4.0    12    70   384   443   377   443 0.93 -
106896at50557_103372_0:001755|STRG.5420.1:881-2533|+    -            551 106896at50557        -             70   2.5e-34  116.1   4.0   1   1   7.6e-36   2.5e-34  116.1   4.0    12    70   460   519   453   519 0.93 -
14133at50557_286706_0:001942|STRG.17924.1:2142-3497|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   1  11     0.063       2.1    7.4   1.9    23    67     5    49     3    52 0.95 -
14133at50557_286706_0:001942|STRG.17924.1:2142-3497|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   2  11     0.009       0.3   10.1   2.6    17    70    27    80    25    80 0.96 -
14133at50557_286706_0:001942|STRG.17924.1:2142-3497|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   3  11   0.00044     0.015   14.3   7.7    17    69    83   135    81   136 0.93 -
14133at50557_286706_0:001942|STRG.17924.1:2142-3497|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   4  11    0.0013     0.042   12.8   7.9    23    68   117   162   116   164 0.96 -
14133at50557_286706_0:001942|STRG.17924.1:2142-3497|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   5  11   0.00033     0.011   14.7   4.3    22    69   172   219   166   220 0.95 -
14133at50557_286706_0:001942|STRG.17924.1:2142-3497|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   6  11   1.6e-06   5.3e-05   22.1   4.6    22    69   228   275   223   276 0.94 -
14133at50557_286706_0:001942|STRG.17924.1:2142-3497|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   7  11   5.9e-07     2e-05   23.5   7.3     3    68   268   330   267   332 0.89 -
14133at50557_286706_0:001942|STRG.17924.1:2142-3497|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   8  11   5.7e-06   0.00019   20.3   8.3    22    68   312   358   307   361 0.94 -
14133at50557_286706_0:001942|STRG.17924.1:2142-3497|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   9  11   0.00012     0.004   16.1  10.5    22    68   340   386   326   388 0.88 -
