#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
48331at50557_456900_0:001f7e|STRG.6645.1:0-1430|+   -            477 48331at50557         -            377  9.3e-189  625.9   0.5   1   1  1.2e-188  7.1e-186  616.5   0.5     1   377    40   474    40   474 0.90 -
69102at50557_103372_0:001d18|STRG.1126.1:0-2021|+   -            674 48331at50557         -            377   1.2e-18   66.1   0.0   1   2    0.0045       2.6    5.7   0.0    45    73    49    77    28   110 0.89 -
69102at50557_103372_0:001d18|STRG.1126.1:0-2021|+   -            674 48331at50557         -            377   1.2e-18   66.1   0.0   2   2     2e-18   1.2e-15   56.2   0.0   133   283   447   581   425   590 0.86 -
69102at50557_7168_0:000ab6|STRG.1843.2:588-1538|+   -            317 48331at50557         -            377     1e-17   63.0   2.1   1   2   3.9e-05     0.023   12.5   0.2    48    73    54    79    47    85 0.91 -
69102at50557_7168_0:000ab6|STRG.1843.2:588-1538|+   -            317 48331at50557         -            377     1e-17   63.0   2.1   2   2   1.5e-15   8.9e-13   46.7   0.1   108   279    92   243    84   255 0.87 -
69102at50557_7168_0:000ab6|STRG.1843.1:588-1552|+   -            316 48331at50557         -            377   2.5e-16   58.4   2.2   1   2   3.9e-05     0.023   12.5   0.2    48    73    54    79    47    84 0.91 -
69102at50557_7168_0:000ab6|STRG.1843.1:588-1552|+   -            316 48331at50557         -            377   2.5e-16   58.4   2.2   2   2   3.4e-14     2e-11   42.3   0.1   108   279    92   242    84   254 0.83 -
69102at50557_41427_0:0029ce|STRG.19410.1:0-851|+    -            284 48331at50557         -            377   3.2e-16   58.1   0.0   1   2     0.017       9.7    3.8   0.1    48    73    55    80    48    84 0.86 -
69102at50557_41427_0:0029ce|STRG.19410.1:0-851|+    -            284 48331at50557         -            377   3.2e-16   58.1   0.0   2   2   5.9e-16   3.4e-13   48.1   0.0   105   279    90   247    80   261 0.82 -
69102at50557_41427_0:0029ce|STRG.19410.2:170-1021|+ -            284 48331at50557         -            377   3.2e-16   58.1   0.0   1   2     0.017       9.7    3.8   0.1    48    73    55    80    48    84 0.86 -
69102at50557_41427_0:0029ce|STRG.19410.2:170-1021|+ -            284 48331at50557         -            377   3.2e-16   58.1   0.0   2   2   5.9e-16   3.4e-13   48.1   0.0   105   279    90   247    80   261 0.82 -
69102at50557_41427_0:0029ce|STRG.19410.3:613-1464|+ -            284 48331at50557         -            377   3.2e-16   58.1   0.0   1   2     0.017       9.7    3.8   0.1    48    73    55    80    48    84 0.86 -
69102at50557_41427_0:0029ce|STRG.19410.3:613-1464|+ -            284 48331at50557         -            377   3.2e-16   58.1   0.0   2   2   5.9e-16   3.4e-13   48.1   0.0   105   279    90   247    80   261 0.82 -
69102at50557_41427_0:0029ce|STRG.4901.1:165-956|+   -            264 48331at50557         -            377   5.2e-14   50.8   0.0   1   2   0.00011     0.065   11.0   0.0    45    72    32    59    21    89 0.86 -
69102at50557_41427_0:0029ce|STRG.4901.1:165-956|+   -            264 48331at50557         -            377   5.2e-14   50.8   0.0   2   2   6.6e-12   3.9e-09   34.8   0.0   132   279   105   263    99   264 0.83 -
69102at50557_41427_0:0029ce|STRG.4901.2:165-956|+   -            264 48331at50557         -            377   5.2e-14   50.8   0.0   1   2   0.00011     0.065   11.0   0.0    45    72    32    59    21    89 0.86 -
69102at50557_41427_0:0029ce|STRG.4901.2:165-956|+   -            264 48331at50557         -            377   5.2e-14   50.8   0.0   2   2   6.6e-12   3.9e-09   34.8   0.0   132   279   105   263    99   264 0.83 -
69102at50557_41427_0:0029ce|STRG.13512.2:674-1414|+ -            247 48331at50557         -            377   5.1e-13   47.5   0.2   1   3   0.00061      0.36    8.5   0.2    48    74    28    54    20    59 0.87 -
