#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
63645at50557_34720_0:0006b0|STRG.3326.1:397-1443|+    -            349 63645at50557         -            280  4.3e-181  598.9   1.8   1   1  1.7e-182  1.8e-180  596.9   1.8     1   280    10   326    10   326 0.95 -
69548at50557_116153_0:002191|STRG.14901.1:410-1108|+  -            233 63645at50557         -            280   4.3e-13   47.7   0.5   1   4     0.093       9.8    3.9   0.0   224   260    10    46     4    52 0.90 -
69548at50557_116153_0:002191|STRG.14901.1:410-1108|+  -            233 63645at50557         -            280   4.3e-13   47.7   0.5   2   4   5.7e-06    0.0006   17.7   0.0   215   262    54   101    48   113 0.90 -
69548at50557_116153_0:002191|STRG.14901.1:410-1108|+  -            233 63645at50557         -            280   4.3e-13   47.7   0.5   3   4   8.4e-06   0.00088   17.2   0.2   186   260   120   195   112   200 0.83 -
69548at50557_116153_0:002191|STRG.14901.1:410-1108|+  -            233 63645at50557         -            280   4.3e-13   47.7   0.5   4   4      0.35        37    2.0   0.0   222   254   201   233   195   233 0.90 -
69548at50557_116153_0:002191|STRG.14901.2:585-1283|+  -            233 63645at50557         -            280   4.3e-13   47.7   0.5   1   4     0.093       9.8    3.9   0.0   224   260    10    46     4    52 0.90 -
69548at50557_116153_0:002191|STRG.14901.2:585-1283|+  -            233 63645at50557         -            280   4.3e-13   47.7   0.5   2   4   5.7e-06    0.0006   17.7   0.0   215   262    54   101    48   113 0.90 -
69548at50557_116153_0:002191|STRG.14901.2:585-1283|+  -            233 63645at50557         -            280   4.3e-13   47.7   0.5   3   4   8.4e-06   0.00088   17.2   0.2   186   260   120   195   112   200 0.83 -
69548at50557_116153_0:002191|STRG.14901.2:585-1283|+  -            233 63645at50557         -            280   4.3e-13   47.7   0.5   4   4      0.35        37    2.0   0.0   222   254   201   233   195   233 0.90 -
40115at50557_108931_0:001d6b|STRG.17037.1:531-1466|+  -            312 63645at50557         -            280     1e-11   43.2   6.6   1   3    0.0069      0.72    7.6   0.0   216   271     2    56     1    66 0.80 -
40115at50557_108931_0:001d6b|STRG.17037.1:531-1466|+  -            312 63645at50557         -            280     1e-11   43.2   6.6   2   3   1.8e-05    0.0019   16.1   4.6    89   258    66   222    50   225 0.82 -
40115at50557_108931_0:001d6b|STRG.17037.1:531-1466|+  -            312 63645at50557         -            280     1e-11   43.2   6.6   3   3   2.8e-08   2.9e-06   25.3   0.3    68   206   164   308   148   311 0.69 -
40115at50557_108931_0:001d6b|STRG.17037.2:480-1517|+  -            346 63645at50557         -            280   1.7e-11   42.4   6.9   1   3    0.0084      0.88    7.3   0.0   216   270     2    55     1    64 0.79 -
40115at50557_108931_0:001d6b|STRG.17037.2:480-1517|+  -            346 63645at50557         -            280   1.7e-11   42.4   6.9   2   3   2.2e-05    0.0023   15.8   4.6    89   258    66   222    50   226 0.82 -
40115at50557_108931_0:001d6b|STRG.17037.2:480-1517|+  -            346 63645at50557         -            280   1.7e-11   42.4   6.9   3   3   2.5e-08   2.6e-06   25.4   0.3    59   206   155   308   146   314 0.70 -
80377at50557_456900_0:000374|STRG.1267.1:0-1046|+     -            349 63645at50557         -            280   7.2e-09   33.9   0.0   1   4     0.014       1.5    6.6   0.0   194   258    69   131    48   135 0.88 -
