#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
27737at50557_103372_0:000a01|STRG.8506.1:47-1879|+     -            611 27737at50557         -            506  8.3e-264  874.8  10.1   1   1  3.2e-265    3e-263  872.9  10.1     6   506    27   605    22   605 0.91 -
27737at50557_7004_0:00327f|STRG.8506.2:8-1004|+        -            300 27737at50557         -            506  8.2e-147  488.8   0.4   1   1    1e-148  9.4e-147  488.6   0.4   243   506     1   297     1   297 0.95 -
27737at50557_67767_0:00339d|STRG.11008.1:248-700|+     -            151 27737at50557         -            506   3.4e-42  143.7   0.3   1   1   4.1e-44   3.8e-42  143.5   0.3   376   506     2   145     1   145 0.93 -
120478at50557_103372_0:000c5c|STRG.5979.1:207-689|+    -            161 27737at50557         -            506   4.5e-42  143.3   0.0   1   1   5.5e-44   5.2e-42  143.1   0.0   374   487     3   119     1   138 0.94 -
42193at50557_103372_0:0016db|STRG.12324.1:186-1751|+   -            522 27737at50557         -            506     5e-38  129.9   0.2   1   1   9.3e-40   8.7e-38  129.1   0.2   374   488   285   402   267   430 0.87 -
42193at50557_123851_0:000a5d|STRG.2740.1:87-611|+      -            175 27737at50557         -            506   9.5e-38  129.0   0.0   1   1   1.2e-39   1.1e-37  128.8   0.0   373   488     2   120     1   137 0.93 -
27737at50557_67767_0:00339d|STRG.14029.1:130-621|+     -            164 27737at50557         -            506   2.5e-36  124.3   0.2   1   1   2.9e-38   2.7e-36  124.2   0.2   366   497     8   149     5   164 0.86 -
27737at50557_67767_0:00339d|STRG.7068.1:179-631|+      -            151 27737at50557         -            506   2.7e-35  120.9   0.2   1   1   3.4e-37   3.2e-35  120.6   0.2   380   496    16   142     6   147 0.88 -
27737at50557_67767_0:00339d|STRG.7068.2:482-934|+      -            151 27737at50557         -            506   2.7e-35  120.9   0.2   1   1   3.4e-37   3.2e-35  120.6   0.2   380   496    16   142     6   147 0.88 -
42193at50557_123851_0:000a5d|STRG.4183.1:323-766|+     -            148 27737at50557         -            506     1e-32  112.4   0.2   1   1   1.3e-34   1.2e-32  112.2   0.2   381   496     2   127     1   132 0.87 -
27737at50557_121845_0:000a82|STRG.15156.1:399-996|+    -            165 27737at50557         -            506   2.8e-32  111.0   0.2   1   1   3.8e-34   3.6e-32  110.6   0.2   380   495    13   142     3   152 0.82 -
27737at50557_121845_0:000a82|STRG.15156.2:320-814|+    -            165 27737at50557         -            506   2.8e-32  111.0   0.2   1   1   3.8e-34   3.6e-32  110.6   0.2   380   495    13   142     3   152 0.82 -
27737at50557_67767_0:00339d|STRG.9385.1:513-959|+      -            149 27737at50557         -            506   5.4e-32  110.0   0.1   1   1   6.5e-34   6.1e-32  109.8   0.1   370   487     5   128     1   143 0.87 -
27737at50557_67767_0:00339d|STRG.9385.2:543-989|+      -            149 27737at50557         -            506   5.4e-32  110.0   0.1   1   1   6.5e-34   6.1e-32  109.8   0.1   370   487     5   128     1   143 0.87 -
27737at50557_67767_0:00339d|STRG.9385.3:566-1012|+     -            149 27737at50557         -            506   5.4e-32  110.0   0.1   1   1   6.5e-34   6.1e-32  109.8   0.1   370   487     5   128     1   143 0.87 -
120478at50557_121845_0:00199d|STRG.5941.4:655-1110|+   -            152 27737at50557         -            506     3e-27   94.4   0.1   1   1   3.6e-29   3.4e-27   94.2   0.1   378   487     1   122     1   138 0.85 -
120478at50557_411798_0:003623|STRG.5941.1:647-1102|+   -            152 27737at50557         -            506     3e-27   94.4   0.1   1   1   3.6e-29   3.4e-27   94.2   0.1   378   487     1   122     1   138 0.85 -
92898at50557_62324_0:001787|STRG.15039.1:239-733|+     -            165 27737at50557         -            506   3.7e-26   90.8   0.0   1   1   4.4e-28   4.1e-26   90.6   0.0   374   506     3   156     1   156 0.82 -
92898at50557_62324_0:001787|STRG.15039.2:239-733|+     -            165 27737at50557         -            506   3.7e-26   90.8   0.0   1   1   4.4e-28   4.1e-26   90.6   0.0   374   506     3   156     1   156 0.82 -
27737at50557_121845_0:000a82|STRG.7068.3:494-868|+     -            125 27737at50557         -            506     1e-23   82.7   0.6   1   2   4.4e-09   4.1e-07   27.9   0.0   380   430    12    65     3    68 0.84 -
27737at50557_121845_0:000a82|STRG.7068.3:494-868|+     -            125 27737at50557         -            506     1e-23   82.7   0.6   2   2   4.9e-17   4.6e-15   54.2   0.1   454   496    68   114    64   120 0.89 -
42193at50557_123851_0:000a5d|STRG.4743.1:210-650|+     -            147 27737at50557         -            506   2.7e-22   78.0   0.2   1   1   3.3e-24   3.1e-22   77.8   0.2   381   491     1   129     1   144 0.81 -
42193at50557_123851_0:000a5d|STRG.4743.3:210-650|+     -            147 27737at50557         -            506   2.7e-22   78.0   0.2   1   1   3.3e-24   3.1e-22   77.8   0.2   381   491     1   129     1   144 0.81 -
42193at50557_7539_0:00337e|STRG.9095.1:5-304|+         -            100 27737at50557         -            506   2.9e-20   71.3   0.1   1   1   3.3e-22   3.1e-20   71.2   0.1   428   500     3    81     1    88 0.83 -
42193at50557_7539_0:00337e|STRG.15156.3:2-398|+        -             98 27737at50557         -            506   9.5e-20   69.6   0.1   1   1   1.1e-21     1e-19   69.5   0.1   420   495     2    80     1    90 0.86 -
42193at50557_7539_0:00337e|STRG.4743.2:346-639|+       -             98 27737at50557         -            506   1.1e-13   49.7   0.1   1   1   1.2e-15   1.1e-13   49.6   0.1   420   492     1    81     1    95 0.84 -
42193at50557_123851_0:000a5d|STRG.9748.1:424-888|+     -            155 27737at50557         -            506   1.2e-11   42.9   0.3   1   1   1.4e-13   1.3e-11   42.8   0.3   381   486     2   113     1   140 0.83 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+      -            281 27737at50557         -            506   7.9e-11   40.2   1.2   1   5     0.025       2.4    5.6   0.1    43    95    15    72     2    83 0.66 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+      -            281 27737at50557         -            506   7.9e-11   40.2   1.2   2   5    0.0013      0.12    9.9   0.0   184   225    90   131    75   135 0.87 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+      -            281 27737at50557         -            506   7.9e-11   40.2   1.2   3   5    0.0015      0.14    9.6   0.0   187   229   135   179   129   188 0.84 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+      -            281 27737at50557         -            506   7.9e-11   40.2   1.2   4   5      0.14        14    3.1   0.0    47   102   186   247   176   255 0.55 -
