#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
56099at50557_34720_0:001a91|STRG.22631.1:0-1331|+      -            444 56099at50557         -            397  4.1e-204  676.6   1.9   1   1  1.4e-205  4.9e-204  676.3   1.9     1   397     1   440     1   440 0.95 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+     -            286 56099at50557         -            397   1.6e-30  105.0   1.2   1   4   0.00076     0.026   12.1   0.0    63    97     3    36     1    42 0.93 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+     -            286 56099at50557         -            397   1.6e-30  105.0   1.2   2   4   6.6e-05    0.0023   15.6   0.0   240   272    43    75    37    84 0.87 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+     -            286 56099at50557         -            397   1.6e-30  105.0   1.2   3   4   7.1e-13   2.4e-11   41.8   0.0   239   313    84   161    74   167 0.87 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+     -            286 56099at50557         -            397   1.6e-30  105.0   1.2   4   4     1e-12   3.5e-11   41.3   0.1   143   268   153   279   150   284 0.90 -
40115at50557_28612_0:000941|STRG.21442.2:33-890|+      -            286 56099at50557         -            397   7.4e-28   96.2   0.8   1   4    0.0042      0.14    9.6   0.0    63    97     4    37     1    48 0.70 -
40115at50557_28612_0:000941|STRG.21442.2:33-890|+      -            286 56099at50557         -            397   7.4e-28   96.2   0.8   2   4   4.5e-06   0.00015   19.4   0.0   237   270    42    75    36    87 0.88 -
40115at50557_28612_0:000941|STRG.21442.2:33-890|+      -            286 56099at50557         -            397   7.4e-28   96.2   0.8   3   4   5.6e-11   1.9e-09   35.6   0.0   241   322    88   172    79   183 0.82 -
40115at50557_28612_0:000941|STRG.21442.2:33-890|+      -            286 56099at50557         -            397   7.4e-28   96.2   0.8   4   4   7.4e-09   2.5e-07   28.6   0.0   213   310   185   286   173   286 0.85 -
40115at50557_103372_0:0021d6|STRG.12708.2:0-1445|+     -            482 56099at50557         -            397   1.2e-27   95.5   0.1   1   4   4.2e-09   1.4e-07   29.4   0.0   240   320   117   200   103   211 0.83 -
40115at50557_103372_0:0021d6|STRG.12708.2:0-1445|+     -            482 56099at50557         -            397   1.2e-27   95.5   0.1   2   4   7.2e-05    0.0025   15.4   0.0   178   271   178   279   176   288 0.79 -
40115at50557_103372_0:0021d6|STRG.12708.2:0-1445|+     -            482 56099at50557         -            397   1.2e-27   95.5   0.1   3   4   1.1e-12   3.7e-11   41.2   0.0   233   314   358   442   333   449 0.86 -
40115at50557_103372_0:0021d6|STRG.12708.2:0-1445|+     -            482 56099at50557         -            397   1.2e-27   95.5   0.1   4   4     0.021      0.73    7.3   0.0   242   270   451   479   443   482 0.89 -
40115at50557_28612_0:000941|STRG.21446.1:0-911|+       -            304 56099at50557         -            397   1.4e-25   88.7   1.0   1   4    0.0046      0.16    9.5   0.0    61    97    20    56    17    63 0.85 -
40115at50557_28612_0:000941|STRG.21446.1:0-911|+       -            304 56099at50557         -            397   1.4e-25   88.7   1.0   2   4     0.055       1.9    6.0   0.0   240   272    66    97    56   106 0.79 -
40115at50557_28612_0:000941|STRG.21446.1:0-911|+       -            304 56099at50557         -            397   1.4e-25   88.7   1.0   3   4   1.4e-10   4.7e-09   34.3   0.0   240   316   106   185    99   195 0.83 -
40115at50557_28612_0:000941|STRG.21446.1:0-911|+       -            304 56099at50557         -            397   1.4e-25   88.7   1.0   4   4   7.3e-11   2.5e-09   35.2   0.0   216   309   206   304   192   304 0.84 -
80377at50557_166361_0:002fc1|STRG.21442.2:1270-2037|+  -            256 56099at50557         -            397   2.2e-25   88.1   0.3   1   4   0.00018     0.006   14.2   0.0    60    97    16    52     9    59 0.91 -
80377at50557_166361_0:002fc1|STRG.21442.2:1270-2037|+  -            256 56099at50557         -            397   2.2e-25   88.1   0.3   2   4   5.6e-05    0.0019   15.8   0.0   240   273    59    92    54   101 0.87 -
80377at50557_166361_0:002fc1|STRG.21442.2:1270-2037|+  -            256 56099at50557         -            397   2.2e-25   88.1   0.3   3   4   5.7e-13     2e-11   42.1   0.0   239   313   100   177    90   183 0.87 -
80377at50557_166361_0:002fc1|STRG.21442.2:1270-2037|+  -            256 56099at50557         -            397   2.2e-25   88.1   0.3   4   4   2.3e-06   7.7e-05   20.4   0.0   143   227   169   252   167   255 0.90 -
40115at50557_28612_0:000941|STRG.21446.3:39-890|+      -            284 56099at50557         -            397   2.2e-25   88.0   1.0   1   4    0.0095      0.32    8.5   0.0    63    97     2    36     1    42 0.84 -
40115at50557_28612_0:000941|STRG.21446.3:39-890|+      -            284 56099at50557         -            397   2.2e-25   88.0   1.0   2   4     0.057         2    5.9   0.0   240   272    46    77    38    85 0.79 -
40115at50557_28612_0:000941|STRG.21446.3:39-890|+      -            284 56099at50557         -            397   2.2e-25   88.0   1.0   3   4   1.1e-10   3.7e-09   34.6   0.0   240   318    86   167    80   181 0.83 -
40115at50557_28612_0:000941|STRG.21446.3:39-890|+      -            284 56099at50557         -            397   2.2e-25   88.0   1.0   4   4   6.8e-11   2.3e-09   35.3   0.0   216   309   186   284   176   284 0.84 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+    -            289 56099at50557         -            397   8.1e-24   82.9   1.0   1   5   1.8e-10   6.2e-09   33.9   0.0   242   322     3    86     1    86 0.85 -
