#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
120478at50557_103372_0:000c5c|STRG.1731.1:175-657|+  -            161 120478at50557        -            136   4.7e-71  236.2   0.1   1   1   1.7e-73   5.5e-71  235.9   0.1     1   136     3   160     3   160 0.94 -
42193at50557_103372_0:0016db|STRG.4088.12:181-1752|+ -            524 120478at50557        -            136   9.9e-35  118.6   0.5   1   2      0.67   2.2e+02    0.9   0.0    71   127    94   152    85   157 0.74 -
42193at50557_103372_0:0016db|STRG.4088.12:181-1752|+ -            524 120478at50557        -            136   9.9e-35  118.6   0.5   2   2     3e-36   9.8e-34  115.3   0.1     3   120   287   422   285   437 0.86 -
42193at50557_103372_0:0016db|STRG.4088.13:181-1752|+ -            524 120478at50557        -            136   9.9e-35  118.6   0.5   1   2      0.67   2.2e+02    0.9   0.0    71   127    94   152    85   157 0.74 -
42193at50557_103372_0:0016db|STRG.4088.13:181-1752|+ -            524 120478at50557        -            136   9.9e-35  118.6   0.5   2   2     3e-36   9.8e-34  115.3   0.1     3   120   287   422   285   437 0.86 -
42193at50557_103372_0:0016db|STRG.4088.6:181-1752|+  -            524 120478at50557        -            136   9.9e-35  118.6   0.5   1   2      0.67   2.2e+02    0.9   0.0    71   127    94   152    85   157 0.74 -
42193at50557_103372_0:0016db|STRG.4088.6:181-1752|+  -            524 120478at50557        -            136   9.9e-35  118.6   0.5   2   2     3e-36   9.8e-34  115.3   0.1     3   120   287   422   285   437 0.86 -
27737at50557_103372_0:000a01|STRG.10748.1:104-1936|+ -            611 120478at50557        -            136   9.8e-34  115.3   0.1   1   2         3   9.8e+02   -1.2   0.0    28    62    48    85    33   120 0.65 -
27737at50557_103372_0:000a01|STRG.10748.1:104-1936|+ -            611 120478at50557        -            136   9.8e-34  115.3   0.1   2   2   1.2e-35     4e-33  113.3   0.0     3   129   461   609   459   611 0.87 -
120478at50557_29058_0:003119|STRG.18107.1:212-682|+  -            157 120478at50557        -            136   2.7e-28   97.7   0.0   1   1   9.1e-31     3e-28   97.6   0.0     1   104     1   119     1   156 0.86 -
42193at50557_123851_0:000a5d|STRG.13565.1:240-674|+  -            145 120478at50557        -            136   5.5e-26   90.2   0.0   1   1     2e-28   6.5e-26   90.0   0.0     2   115     3   131     2   143 0.88 -
27737at50557_67767_0:00339d|STRG.4388.1:138-608|+    -            157 120478at50557        -            136   1.4e-22   79.2   0.1   1   1   5.5e-25   1.8e-22   78.9   0.1     6   115    15   142    11   156 0.81 -
27737at50557_67767_0:00339d|STRG.4388.2:454-924|+    -            157 120478at50557        -            136   1.4e-22   79.2   0.1   1   1   5.5e-25   1.8e-22   78.9   0.1     6   115    15   142    11   156 0.81 -
42193at50557_123851_0:000a5d|STRG.4892.1:319-762|+   -            148 120478at50557        -            136   1.2e-21   76.2   0.0   1   1   4.5e-24   1.5e-21   75.9   0.0     7   116     1   128     1   143 0.81 -
27737at50557_67767_0:00339d|STRG.16469.1:131-622|+   -            164 120478at50557        -            136   1.2e-19   69.8   0.0   1   1   4.5e-22   1.5e-19   69.4   0.0     6   122    21   155    17   164 0.79 -
27737at50557_67767_0:00339d|STRG.17980.1:400-876|+   -            159 120478at50557        -            136   1.8e-19   69.2   0.0   1   1   7.8e-22   2.6e-19   68.6   0.0     6   115    24   151    20   156 0.80 -
27737at50557_121845_0:000a82|STRG.11330.1:563-1160|+ -            165 120478at50557        -            136   7.9e-19   67.1   0.3   1   1   4.6e-20   1.5e-17   62.9   0.3     7   117    13   152    10   160 0.76 -
27737at50557_121845_0:000a82|STRG.11330.2:563-1160|+ -            165 120478at50557        -            136   7.9e-19   67.1   0.3   1   1   4.6e-20   1.5e-17   62.9   0.3     7   117    13   152    10   160 0.76 -
27737at50557_121845_0:000a82|STRG.11330.3:419-913|+  -            165 120478at50557        -            136   7.9e-19   67.1   0.3   1   1   4.6e-20   1.5e-17   62.9   0.3     7   117    13   152    10   160 0.76 -
27737at50557_121845_0:000a82|STRG.11330.4:534-1028|+ -            165 120478at50557        -            136   7.9e-19   67.1   0.3   1   1   4.6e-20   1.5e-17   62.9   0.3     7   117    13   152    10   160 0.76 -
92898at50557_62324_0:001787|STRG.13939.1:254-748|+   -            165 120478at50557        -            136   2.5e-18   65.4   0.1   1   1   1.4e-20   4.5e-18   64.6   0.1     1   114     3   139     3   156 0.81 -
