#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
76747at50557_103372_0:001eb5|STRG.9995.1:400-1359|+   -            320 76747at50557         -            260  7.2e-118  391.7   0.7   1   1  1.2e-119  1.1e-117  391.1   0.7     2   260    25   315    24   315 0.89 -
76747at50557_133901_0:0036de|STRG.4940.1:420-1253|+   -            278 76747at50557         -            260   6.8e-45  152.5   0.0   1   1   1.1e-46   1.1e-44  151.8   0.0    13   255     1   264     1   268 0.85 -
76747at50557_133901_0:0036de|STRG.4940.2:605-1438|+   -            278 76747at50557         -            260   6.8e-45  152.5   0.0   1   1   1.1e-46   1.1e-44  151.8   0.0    13   255     1   264     1   268 0.85 -
76747at50557_133901_0:0036de|STRG.4940.3:185-1018|+   -            278 76747at50557         -            260   6.8e-45  152.5   0.0   1   1   1.1e-46   1.1e-44  151.8   0.0    13   255     1   264     1   268 0.85 -
76747at50557_7160_0:0007ff|STRG.3396.1:189-740|+      -            184 76747at50557         -            260   1.4e-29  102.3   0.6   1   1   1.6e-31   1.6e-29  102.2   0.6    13   185     3   184     1   184 0.88 -
76747at50557_7160_0:0007ff|STRG.3396.2:201-752|+      -            184 76747at50557         -            260   1.4e-29  102.3   0.6   1   1   1.6e-31   1.6e-29  102.2   0.6    13   185     3   184     1   184 0.88 -
76747at50557_7160_0:0007ff|STRG.7935.4:125-673|+      -            183 76747at50557         -            260   1.9e-29  101.8   0.3   1   1   2.2e-31   2.1e-29  101.7   0.3    13   183     3   181     1   183 0.89 -
76747at50557_7160_0:0007ff|STRG.7935.5:125-679|+      -            185 76747at50557         -            260   4.3e-29  100.7   0.4   1   1   4.9e-31   4.7e-29  100.6   0.4    13   183     3   183     1   185 0.87 -
76747at50557_7160_0:0007ff|STRG.7935.3:141-722|+      -            184 76747at50557         -            260   5.8e-27   93.7   0.1   1   1   6.6e-29   6.4e-27   93.6   0.1    13   185     3   184     1   184 0.88 -
76747at50557_7160_0:0007ff|STRG.7935.2:141-692|+      -            184 76747at50557         -            260   1.6e-26   92.3   0.1   1   1   1.8e-28   1.8e-26   92.2   0.1    13   185     3   184     1   184 0.88 -
76747at50557_7160_0:0007ff|STRG.7935.1:141-692|+      -            184 76747at50557         -            260     2e-26   92.0   0.1   1   1   2.3e-28   2.2e-26   91.8   0.1    13   183     3   182     1   184 0.88 -
76747at50557_7160_0:0007ff|STRG.7936.1:130-681|+      -            184 76747at50557         -            260   5.8e-25   87.2   0.3   1   1   6.6e-27   6.4e-25   87.0   0.3    14   185     4   184     1   184 0.86 -
76747at50557_7160_0:0007ff|STRG.1780.1:161-712|+      -            184 76747at50557         -            260   8.4e-25   86.6   0.4   1   1   9.5e-27   9.2e-25   86.5   0.4    15   183     5   182     1   184 0.88 -
130558at50557_6973_0:006c0f|STRG.16630.1:518-1219|+   -            234 76747at50557         -            260   1.4e-24   85.9   0.3   1   1   1.8e-26   1.7e-24   85.6   0.3    14   176     3   174     1   228 0.78 -
130558at50557_6973_0:006c0f|STRG.16630.2:324-1025|+   -            234 76747at50557         -            260   1.4e-24   85.9   0.3   1   1   1.8e-26   1.7e-24   85.6   0.3    14   176     3   174     1   228 0.78 -
130558at50557_6973_0:006c0f|STRG.16630.3:445-1146|+   -            234 76747at50557         -            260   1.4e-24   85.9   0.3   1   1   1.8e-26   1.7e-24   85.6   0.3    14   176     3   174     1   228 0.78 -
130558at50557_6973_0:006c0f|STRG.16630.4:345-1046|+   -            234 76747at50557         -            260   1.4e-24   85.9   0.3   1   1   1.8e-26   1.7e-24   85.6   0.3    14   176     3   174     1   228 0.78 -
84237at50557_34720_0:000c53|STRG.5185.2:14-1060|+     -            349 76747at50557         -            260   6.3e-24   83.8   0.0   1   1     1e-25     1e-23   83.1   0.0    11   182    57   246    51   292 0.84 -
84237at50557_136037_0:000039|STRG.608.1:252-1031|+    -            260 76747at50557         -            260     9e-24   83.3   0.1   1   1   1.7e-25   1.6e-23   82.4   0.1     9   191    31   230    23   259 0.81 -
