#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
8280at50557_166423_0:002d2f|STRG.10611.1:452-3613|+    -            868 8280at50557          -           1153         0 1201.9  46.0   1   1         0         0 1201.7  46.0     2   810     2   868     1   868 0.96 -
8280at50557_103372_0:001996|STRG.10611.2:748-2971|+    -            718 8280at50557          -           1153  2.7e-289  961.4  47.4   1   1  4.3e-291    3e-289  961.2  47.4   145   810     1   718     1   718 0.95 -
8280at50557_83485_0:001d33|STRG.19517.1:212-3646|+     -           1145 8280at50557          -           1153    9e-160  532.4  65.5   1   3   6.7e-31   4.8e-29   99.5   0.6    15   247     2   235     1   238 0.89 -
8280at50557_83485_0:001d33|STRG.19517.1:212-3646|+     -           1145 8280at50557          -           1153    9e-160  532.4  65.5   2   3   1.9e-27   1.3e-25   88.1   5.7    43   224   246   427   238   428 0.95 -
8280at50557_83485_0:001d33|STRG.19517.1:212-3646|+     -           1145 8280at50557          -           1153    9e-160  532.4  65.5   3   3  2.6e-109  1.9e-107  359.2  46.8   403  1112   408  1145   402  1145 0.90 -
25718at50557_7160_0:003d21|STRG.6539.1:581-3517|+      -            979 8280at50557          -           1153  9.6e-130  433.0  73.5   1   7   2.9e-30     2e-28   97.4   5.3    65   247     2   184     1   186 0.96 -
25718at50557_7160_0:003d21|STRG.6539.1:581-3517|+      -            979 8280at50557          -           1153  9.6e-130  433.0  73.5   2   7   7.4e-20   5.3e-18   62.9   0.4   483   619    96   230    92   233 0.59 -
25718at50557_7160_0:003d21|STRG.6539.1:581-3517|+      -            979 8280at50557          -           1153  9.6e-130  433.0  73.5   3   7   2.6e-30   1.8e-28   97.6   2.1   427   597   187   352   185   364 0.94 -
25718at50557_7160_0:003d21|STRG.6539.1:581-3517|+      -            979 8280at50557          -           1153  9.6e-130  433.0  73.5   4   7   7.6e-22   5.4e-20   69.5   2.8   457   605   367   512   362   516 0.91 -
25718at50557_7160_0:003d21|STRG.6539.1:581-3517|+      -            979 8280at50557          -           1153  9.6e-130  433.0  73.5   5   7   2.5e-20   1.8e-18   64.5   7.7    92   248   516   670   513   672 0.92 -
25718at50557_7160_0:003d21|STRG.6539.1:581-3517|+      -            979 8280at50557          -           1153  9.6e-130  433.0  73.5   6   7   1.5e-19     1e-17   62.0   6.8   694   846   655   813   652   819 0.90 -
25718at50557_7160_0:003d21|STRG.6539.1:581-3517|+      -            979 8280at50557          -           1153  9.6e-130  433.0  73.5   7   7   6.2e-21   4.4e-19   66.5   3.2   475   604   816   943   813   950 0.95 -
8280at50557_7395_0:001be1|STRG.10612.1:0-1022|+        -            341 8280at50557          -           1153  8.9e-109  363.6  10.7   1   2  9.9e-104    7e-102  340.7   3.9   858  1120     1   287     1   295 0.93 -
8280at50557_7395_0:001be1|STRG.10612.1:0-1022|+        -            341 8280at50557          -           1153  8.9e-109  363.6  10.7   2   2   4.4e-09   3.2e-07   27.2   0.5  1119  1150   310   341   303   341 0.93 -
25718at50557_219809_0:00105d|STRG.14999.1:515-3139|+   -            875 8280at50557          -           1153  2.5e-105  352.1  66.1   1   3   2.2e-22   1.5e-20   71.3   3.5    92   247    77   235     8   236 0.83 -
25718at50557_219809_0:00105d|STRG.14999.1:515-3139|+   -            875 8280at50557          -           1153  2.5e-105  352.1  66.1   2   3   5.8e-53   4.1e-51  172.6  27.1   472   857   184   575   183   576 0.93 -
25718at50557_219809_0:00105d|STRG.14999.1:515-3139|+   -            875 8280at50557          -           1153  2.5e-105  352.1  66.1   3   3   1.7e-42   1.2e-40  137.9  19.6   458   759   528   845   524   849 0.91 -
25718at50557_219809_0:00105d|STRG.14999.2:276-2954|+   -            893 8280at50557          -           1153  8.8e-105  350.3  65.1   1   3   2.4e-22   1.7e-20   71.2   3.6    92   247    95   253    26   254 0.83 -
25718at50557_219809_0:00105d|STRG.14999.2:276-2954|+   -            893 8280at50557          -           1153  8.8e-105  350.3  65.1   2   3   1.4e-52     1e-50  171.3  25.8   473   848   203   584   202   591 0.92 -
