#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
100579at50557_222816_0:000422|STRG.16912.2:480-1273|+ -            261 100579at50557        -            222    6e-121  401.3  11.6   1   1  5.5e-122  4.2e-119  395.3  11.6     1   221     1   256     1   257 0.91 -
100579at50557_103372_0:000367|STRG.16912.1:255-1052|+ -            266 100579at50557        -            222    2e-119  396.4  11.3   1   1  1.8e-120  1.4e-117  390.4  11.3     1   221     1   261     1   262 0.91 -
100579at50557_680683_0:0024b7|STRG.10495.1:330-854|+  -            175 100579at50557        -            222   6.7e-14   51.3   1.5   1   2   7.3e-15   5.6e-12   45.0   0.5    57   153     1    89     1   104 0.87 -
100579at50557_680683_0:0024b7|STRG.10495.1:330-854|+  -            175 100579at50557        -            222   6.7e-14   51.3   1.5   2   2     0.013       9.9    5.0   0.0   157   178   116   137    99   158 0.77 -
100579at50557_39758_0:00344c|STRG.3753.1:278-976|+    -            233 100579at50557        -            222   2.8e-13   49.3   1.9   1   1   2.6e-14     2e-11   43.2   1.9    39   206    13   217     3   229 0.70 -
93160at50557_7213_0:00150a|STRG.3113.2:162-872|+      -            237 100579at50557        -            222   1.6e-12   46.8   1.8   1   1   2.1e-13   1.6e-10   40.3   1.8    31   176    19   185    10   199 0.72 -
93160at50557_116153_0:000574|STRG.3113.1:27-722|+     -            232 100579at50557        -            222   1.7e-12   46.7   1.8   1   1     2e-13   1.5e-10   40.3   1.8    31   176    16   182     8   197 0.72 -
93160at50557_224129_0:001b1d|STRG.5908.2:1073-1717|+  -            215 100579at50557        -            222     7e-10   38.2   0.4   1   2   9.7e-12   7.4e-09   34.8   0.1    35    94     3    62     2    84 0.93 -
93160at50557_224129_0:001b1d|STRG.5908.2:1073-1717|+  -            215 100579at50557        -            222     7e-10   38.2   0.4   2   2      0.12        95    1.7   0.0   153   180   143   172    86   182 0.69 -
93160at50557_224129_0:001b1d|STRG.5908.3:1073-1717|+  -            215 100579at50557        -            222     7e-10   38.2   0.4   1   2   9.7e-12   7.4e-09   34.8   0.1    35    94     3    62     2    84 0.93 -
93160at50557_224129_0:001b1d|STRG.5908.3:1073-1717|+  -            215 100579at50557        -            222     7e-10   38.2   0.4   2   2      0.12        95    1.7   0.0   153   180   143   172    86   182 0.69 -
100579at50557_104688_0:000c00|STRG.3753.2:191-748|+   -            186 100579at50557        -            222   1.2e-09   37.3   1.7   1   1   1.2e-10   9.4e-08   31.2   1.7    57   200     1   180     1   186 0.65 -
93160at50557_224129_0:001b1d|STRG.5908.4:1073-1723|+  -            217 100579at50557        -            222     2e-09   36.6   1.6   1   2     1e-11   7.7e-09   34.7   0.1    35    94     3    62     2    83 0.93 -
93160at50557_224129_0:001b1d|STRG.5908.4:1073-1723|+  -            217 100579at50557        -            222     2e-09   36.6   1.6   2   2      0.26   1.9e+02    0.7   0.1   156   179   148   173   121   180 0.63 -
93160at50557_224129_0:001b1d|STRG.5908.5:1073-1723|+  -            217 100579at50557        -            222     2e-09   36.6   1.6   1   2     1e-11   7.7e-09   34.7   0.1    35    94     3    62     2    83 0.93 -
93160at50557_224129_0:001b1d|STRG.5908.5:1073-1723|+  -            217 100579at50557        -            222     2e-09   36.6   1.6   2   2      0.26   1.9e+02    0.7   0.1   156   179   148   173   121   180 0.63 -
93160at50557_103372_0:002931|STRG.12780.1:152-964|+   -            271 100579at50557        -            222   7.7e-06   24.9   0.1   1   2   4.9e-08   3.7e-05   22.7   0.0     8    94    13   105     7   123 0.75 -
93160at50557_103372_0:002931|STRG.12780.1:152-964|+   -            271 100579at50557        -            222   7.7e-06   24.9   0.1   2   2      0.47   3.5e+02   -0.1   0.0    46    91   176   221   130   228 0.71 -
93160at50557_103372_0:002931|STRG.12780.2:152-1000|+  -            283 100579at50557        -            222     1e-05   24.5   0.1   1   2   4.9e-08   3.7e-05   22.7   0.1     9    95    26   118    21   178 0.78 -
93160at50557_103372_0:002931|STRG.12780.2:152-1000|+  -            283 100579at50557        -            222     1e-05   24.5   0.1   2   2      0.51   3.9e+02   -0.3   0.0    46    91   188   233   143   240 0.71 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/100579at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/100579at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/100579at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:04:58 2024
# [ok]
