#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
57153at50557_520822_0:0002bb|STRG.11625.3:0-1373|+    -            458 57153at50557         -            185   2.6e-82  274.2  13.6   1   1   6.1e-82   2.7e-79  264.4  13.6     1   185   212   439   212   439 0.89 -
57153at50557_34720_0:000896|STRG.11625.2:0-1373|+     -            458 57153at50557         -            185   2.6e-82  274.2  13.6   1   1   6.1e-82   2.7e-79  264.4  13.6     1   185   212   439   212   439 0.89 -
57153at50557_67767_0:00056d|STRG.11625.1:9-2271|+     -            424 57153at50557         -            185   1.5e-69  232.7  14.1   1   1   3.9e-69   1.7e-66  222.7  14.1     1   164   144   350   144   360 0.87 -
57153at50557_39758_0:003c84|STRG.4923.3:473-1009|+    -            179 57153at50557         -            185   3.7e-25   87.9   5.0   1   1   2.7e-27   1.2e-24   86.3   5.0    29   177     2   175     1   179 0.80 -
57153at50557_7244_0:001c0f|STRG.4923.1:306-1430|+     -            375 57153at50557         -            185   7.1e-24   83.7   7.6   1   2      0.97   4.3e+02   -0.3   0.1     1    22    84   105    83   114 0.72 -
57153at50557_7244_0:001c0f|STRG.4923.1:306-1430|+     -            375 57153at50557         -            185   7.1e-24   83.7   7.6   2   2   2.1e-26   9.1e-24   83.4   4.4    24   174   200   375   195   375 0.82 -
119324at50557_93721_0:00259c|STRG.1248.2:427-843|+    -            139 57153at50557         -            185   4.1e-06   25.9   6.5   1   4     0.017       7.5    5.4   0.0   149   173    12    36     6    45 0.65 -
119324at50557_93721_0:00259c|STRG.1248.2:427-843|+    -            139 57153at50557         -            185   4.1e-06   25.9   6.5   2   4     0.022       9.9    5.0   0.1   145   173    44    72    39    78 0.80 -
119324at50557_93721_0:00259c|STRG.1248.2:427-843|+    -            139 57153at50557         -            185   4.1e-06   25.9   6.5   3   4   4.2e-05     0.019   13.9   0.1   144   177    80   113    75   120 0.81 -
119324at50557_93721_0:00259c|STRG.1248.2:427-843|+    -            139 57153at50557         -            185   4.1e-06   25.9   6.5   4   4     0.075        33    3.3   0.1     3    16   123   136   121   139 0.88 -
119324at50557_93721_0:00259c|STRG.1248.1:240-683|+    -            148 57153at50557         -            185     6e-06   25.3   6.6   1   4     0.018       7.7    5.4   0.0   149   174    21    46    12    54 0.68 -
119324at50557_93721_0:00259c|STRG.1248.1:240-683|+    -            148 57153at50557         -            185     6e-06   25.3   6.6   2   4     0.023        10    5.0   0.1   145   173    53    81    47    88 0.80 -
119324at50557_93721_0:00259c|STRG.1248.1:240-683|+    -            148 57153at50557         -            185     6e-06   25.3   6.6   3   4   4.7e-05     0.021   13.8   0.1   144   177    89   122    84   129 0.81 -
119324at50557_93721_0:00259c|STRG.1248.1:240-683|+    -            148 57153at50557         -            185     6e-06   25.3   6.6   4   4     0.081        36    3.2   0.1     3    16   132   145   130   148 0.88 -
119324at50557_609295_0:001eaf|STRG.2587.1:201-710|+   -            170 57153at50557         -            185   1.9e-05   23.7   1.8   1   3    0.0017      0.76    8.7   0.1   143   176    55    88    48    96 0.76 -
119324at50557_609295_0:001eaf|STRG.2587.1:201-710|+   -            170 57153at50557         -            185   1.9e-05   23.7   1.8   2   3     0.003       1.3    7.9   0.1   148   181    97   127    92   134 0.82 -
119324at50557_609295_0:001eaf|STRG.2587.1:201-710|+   -            170 57153at50557         -            185   1.9e-05   23.7   1.8   3   3     0.017       7.3    5.5   0.0   140   169   130   159   126   167 0.79 -
