#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
76908at50557_144034_0:001185|STRG.8727.1:1196-2203|+ -            336 76908at50557         -            265    1e-141  469.5  11.2   1   1  3.7e-143  2.8e-140  464.8  11.2     1   258     8   304     8   310 0.95 -
76908at50557_103372_0:001521|STRG.8727.2:1196-2140|+ -            315 76908at50557         -            265  1.4e-140  465.8  11.3   1   1  5.1e-142  3.9e-139  461.0  11.3     1   258     8   305     8   309 0.95 -
76908at50557_7176_0:001c06|STRG.3203.1:531-1040|+    -            170 76908at50557         -            265   1.3e-28   98.7   0.7   1   1   1.8e-31   1.4e-28   98.7   0.7     9   178     3   169     1   170 0.81 -
76908at50557_7176_0:001c06|STRG.3203.2:531-1040|+    -            170 76908at50557         -            265   1.3e-28   98.7   0.7   1   1   1.8e-31   1.4e-28   98.7   0.7     9   178     3   169     1   170 0.81 -
76908at50557_7176_0:001c06|STRG.3203.3:117-626|+     -            170 76908at50557         -            265   1.3e-28   98.7   0.7   1   1   1.8e-31   1.4e-28   98.7   0.7     9   178     3   169     1   170 0.81 -
87181at50557_103372_0:000c65|STRG.11534.2:139-1916|+ -            570 76908at50557         -            265   1.2e-21   75.9   0.0   1   1   2.5e-24   1.9e-21   75.2   0.0    58   189   150   277   114   295 0.80 -
87181at50557_456900_0:001ac2|STRG.11534.1:139-1992|+ -            618 76908at50557         -            265   1.4e-21   75.7   0.0   1   1   2.9e-24   2.2e-21   75.0   0.0    58   189   198   325   162   343 0.80 -
6416at50557_113334_0:00380e|STRG.8509.1:342-1427|+   -            362 76908at50557         -            265    0.0089   14.0   6.9   1   4     0.039        30    2.5   0.1    85   105     2    22     1    33 0.78 -
6416at50557_113334_0:00380e|STRG.8509.1:342-1427|+   -            362 76908at50557         -            265    0.0089   14.0   6.9   2   4   0.00035      0.27    9.2   0.0    81   126    91   136    87   152 0.86 -
6416at50557_113334_0:00380e|STRG.8509.1:342-1427|+   -            362 76908at50557         -            265    0.0089   14.0   6.9   3   4       1.2   9.5e+02   -2.4   0.1    81   105   195   219   191   224 0.86 -
6416at50557_113334_0:00380e|STRG.8509.1:342-1427|+   -            362 76908at50557         -            265    0.0089   14.0   6.9   4   4    0.0096       7.4    4.5   0.1    81   125   312   356   291   362 0.80 -
6416at50557_7536_0:0038e0|STRG.4917.1:847-1482|+     -            212 76908at50557         -            265     0.038   12.0   0.3   1   2   0.00044      0.34    8.8   0.0    81   113    46    78    12    93 0.76 -
6416at50557_7536_0:0038e0|STRG.4917.1:847-1482|+     -            212 76908at50557         -            265     0.038   12.0   0.3   2   2      0.12        95    0.8   0.0   203   228    97   122    89   138 0.81 -
6416at50557_113334_0:00380e|STRG.4917.2:473-1303|+   -            277 76908at50557         -            265      0.04   11.9   3.9   1   3   0.00044      0.34    8.9   0.0    77   110    64    97     2   113 0.68 -
6416at50557_113334_0:00380e|STRG.4917.2:473-1303|+   -            277 76908at50557         -            265      0.04   11.9   3.9   2   3      0.21   1.6e+02    0.1   0.0   203   228   119   144   111   152 0.80 -
6416at50557_113334_0:00380e|STRG.4917.2:473-1303|+   -            277 76908at50557         -            265      0.04   11.9   3.9   3   3     0.033        26    2.7   0.6    25   107   163   246   140   259 0.80 -
6416at50557_113334_0:00380e|STRG.4917.3:258-1088|+   -            277 76908at50557         -            265      0.04   11.9   3.9   1   3   0.00044      0.34    8.9   0.0    77   110    64    97     2   113 0.68 -
6416at50557_113334_0:00380e|STRG.4917.3:258-1088|+   -            277 76908at50557         -            265      0.04   11.9   3.9   2   3      0.21   1.6e+02    0.1   0.0   203   228   119   144   111   152 0.80 -
6416at50557_113334_0:00380e|STRG.4917.3:258-1088|+   -            277 76908at50557         -            265      0.04   11.9   3.9   3   3     0.033        26    2.7   0.6    25   107   163   246   140   259 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/76908at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/76908at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/76908at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:56:42 2024
# [ok]
