#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
75144at50557_34720_0:000d74|STRG.12326.1:130-1302|+   -            391 75144at50557         -            307  6.7e-148  490.7   1.1   1   1  8.2e-149  3.1e-146  485.2   1.1     1   307     7   381     7   381 0.87 -
75144at50557_28612_0:003734|STRG.3689.1:140-1267|+    -            376 75144at50557         -            307   8.6e-61  204.6   0.0   1   1   2.2e-61   8.4e-59  198.1   0.0     1   307    10   367    10   367 0.81 -
75144at50557_28612_0:003734|STRG.2981.1:138-1265|+    -            376 75144at50557         -            307   1.3e-60  204.1   0.0   1   2   6.7e-56   2.6e-53  180.1   0.0     1   257    10   284    10   290 0.87 -
75144at50557_28612_0:003734|STRG.2981.1:138-1265|+    -            376 75144at50557         -            307   1.3e-60  204.1   0.0   2   2     1e-07     4e-05   21.8   0.0   252   307   295   367   287   367 0.71 -
75144at50557_28612_0:003734|STRG.2981.2:91-1218|+     -            376 75144at50557         -            307   1.3e-60  204.1   0.0   1   2   6.7e-56   2.6e-53  180.1   0.0     1   257    10   284    10   290 0.87 -
75144at50557_28612_0:003734|STRG.2981.2:91-1218|+     -            376 75144at50557         -            307   1.3e-60  204.1   0.0   2   2     1e-07     4e-05   21.8   0.0   252   307   295   367   287   367 0.71 -
75144at50557_28612_0:003734|STRG.3684.1:166-1293|+    -            376 75144at50557         -            307   5.6e-60  202.0   0.0   1   1   1.1e-60   4.1e-58  195.8   0.0     1   307    10   367    10   367 0.80 -
75144at50557_28612_0:003734|STRG.3686.1:115-1242|+    -            376 75144at50557         -            307   5.6e-60  202.0   0.0   1   1   1.1e-60   4.1e-58  195.8   0.0     1   307    10   367    10   367 0.80 -
75144at50557_28612_0:003734|STRG.18941.1:386-1375|+   -            330 75144at50557         -            307   3.8e-56  189.4   0.0   1   1   8.4e-57   3.2e-54  183.0   0.0     1   281    10   321    10   329 0.85 -
75144at50557_28612_0:003734|STRG.2835.1:141-1241|+    -            367 75144at50557         -            307   1.6e-43  147.9   0.0   1   1   5.6e-45   2.1e-42  144.2   0.0     1   297     4   339     4   358 0.79 -
57613at50557_610380_0:00141b|STRG.11538.1:549-1736|+  -            396 75144at50557         -            307     1e-40  138.7   0.1   1   2   1.9e-41   7.3e-39  132.6   0.0    26   279    51   327    12   341 0.78 -
57613at50557_610380_0:00141b|STRG.11538.1:549-1736|+  -            396 75144at50557         -            307     1e-40  138.7   0.1   2   2      0.52     2e+02   -0.2   0.0   293   307   370   384   331   384 0.84 -
57613at50557_610380_0:00141b|STRG.11538.6:468-1655|+  -            396 75144at50557         -            307     1e-40  138.7   0.1   1   2   1.9e-41   7.3e-39  132.6   0.0    26   279    51   327    12   341 0.78 -
57613at50557_610380_0:00141b|STRG.11538.6:468-1655|+  -            396 75144at50557         -            307     1e-40  138.7   0.1   2   2      0.52     2e+02   -0.2   0.0   293   307   370   384   331   384 0.84 -
57613at50557_610380_0:00141b|STRG.11538.3:549-1754|+  -            402 75144at50557         -            307     2e-40  137.7   0.1   1   2   4.2e-41   1.6e-38  131.5   0.0    27   279    58   333    12   345 0.83 -
57613at50557_610380_0:00141b|STRG.11538.3:549-1754|+  -            402 75144at50557         -            307     2e-40  137.7   0.1   2   2      0.58   2.2e+02   -0.3   0.0   294   307   377   390   342   390 0.87 -
57613at50557_610380_0:00141b|STRG.11538.5:469-1674|+  -            402 75144at50557         -            307     2e-40  137.7   0.1   1   2   4.2e-41   1.6e-38  131.5   0.0    27   279    58   333    12   345 0.83 -
57613at50557_610380_0:00141b|STRG.11538.5:469-1674|+  -            402 75144at50557         -            307     2e-40  137.7   0.1   2   2      0.58   2.2e+02   -0.3   0.0   294   307   377   390   342   390 0.87 -
57613at50557_610380_0:00141b|STRG.11538.7:74-1114|+   -            347 75144at50557         -            307     6e-40  136.2   0.1   1   2   1.3e-40     5e-38  129.9   0.0    33   279     9   278     6   292 0.82 -
57613at50557_610380_0:00141b|STRG.11538.7:74-1114|+   -            347 75144at50557         -            307     6e-40  136.2   0.1   2   2      0.43   1.7e+02    0.1   0.0   293   307   321   335   280   335 0.83 -
52703at50557_103372_0:001b91|STRG.13399.1:110-1360|+  -            417 75144at50557         -            307     1e-25   89.5   0.1   1   1   1.3e-26   4.8e-24   83.9   0.1    33   280    61   343    40   353 0.74 -
57613at50557_13037_0:001512|STRG.11538.4:555-1645|+   -            307 75144at50557         -            307   5.5e-25   87.0   0.2   1   3   1.2e-17   4.7e-15   54.4   0.0    26   130    49   160    10   165 0.75 -
57613at50557_13037_0:001512|STRG.11538.4:555-1645|+   -            307 75144at50557         -            307   5.5e-25   87.0   0.2   2   3   1.6e-08   6.2e-06   24.4   0.0   221   279   168   242   166   255 0.79 -
57613at50557_13037_0:001512|STRG.11538.4:555-1645|+   -            307 75144at50557         -            307   5.5e-25   87.0   0.2   3   3      0.56   2.2e+02   -0.3   0.0   294   307   286   299   280   299 0.87 -
75144at50557_28612_0:003734|STRG.2211.1:174-755|+     -            194 75144at50557         -            307   3.6e-20   71.2   0.0   1   1   1.1e-22   4.3e-20   71.0   0.0     1   161     9   193     9   194 0.77 -
75144at50557_7539_0:003503|STRG.19496.1:206-1495|+    -            430 75144at50557         -            307   4.7e-19   67.5   0.1   1   3   3.7e-15   1.4e-12   46.3   0.0    53   145    87   187    78   213 0.86 -
75144at50557_7539_0:003503|STRG.19496.1:206-1495|+    -            430 75144at50557         -            307   4.7e-19   67.5   0.1   2   3    0.0059       2.3    6.2   0.0   225   244   297   316   256   327 0.86 -
75144at50557_7539_0:003503|STRG.19496.1:206-1495|+    -            430 75144at50557         -            307   4.7e-19   67.5   0.1   3   3   0.00018      0.07   11.1   0.0   240   283   334   378   329   422 0.80 -
75144at50557_7539_0:003503|STRG.16321.1:24-1256|+     -            411 75144at50557         -            307   6.9e-18   63.7   0.1   1   2     4e-14   1.5e-11   42.9   0.0    53   161    75   196    59   213 0.82 -
75144at50557_7539_0:003503|STRG.16321.1:24-1256|+     -            411 75144at50557         -            307   6.9e-18   63.7   0.1   2   2   5.7e-06    0.0022   16.1   0.0   239   307   316   405   282   405 0.70 -
57613at50557_7536_0:002bce|STRG.11538.4:1085-1648|+   -            188 75144at50557         -            307     3e-12   45.2   0.0   1   2   2.1e-12   8.1e-10   37.2   0.0   181   279    15   122    10   134 0.78 -
57613at50557_7536_0:002bce|STRG.11538.4:1085-1648|+   -            188 75144at50557         -            307     3e-12   45.2   0.0   2   2      0.19        73    1.2   0.1   293   307   165   179   126   179 0.83 -
52703at50557_1155016_0:00193c|STRG.19882.1:192-1199|+ -            336 75144at50557         -            307   4.2e-12   44.7   0.0   1   2   9.5e-10   3.7e-07   28.5   0.0     2   188     2   187     1   198 0.69 -
52703at50557_1155016_0:00193c|STRG.19882.1:192-1199|+ -            336 75144at50557         -            307   4.2e-12   44.7   0.0   2   2   5.4e-05     0.021   12.9   0.0   252   281   258   287   238   311 0.88 -
57613at50557_7536_0:002bce|STRG.2211.1:1638-1994|+    -            119 75144at50557         -            307   2.8e-11   42.0   0.0   1   1   9.8e-12   3.8e-09   35.0   0.0   223   286     2    81     1   119 0.66 -
