#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
53261at50557_520822_0:0000dd|STRG.7626.1:26-1987|+    -            654 53261at50557         -            444  1.1e-223  741.9   7.0   1   1  8.6e-222    5e-219  726.5   7.0     7   439    16   531    11   536 0.88 -
60951at50557_29031_0:002586|STRG.11081.1:247-1533|+   -            429 53261at50557         -            444   1.5e-58  197.7   2.2   1   2   3.2e-50   1.9e-47  161.1   0.0     9   184    37   224    31   227 0.90 -
60951at50557_29031_0:002586|STRG.11081.1:247-1533|+   -            429 53261at50557         -            444   1.5e-58  197.7   2.2   2   2   3.4e-12     2e-09   35.8   0.8   277   436   237   423   231   428 0.65 -
60951at50557_29031_0:002586|STRG.11081.2:150-1436|+   -            429 53261at50557         -            444   1.5e-58  197.7   2.2   1   2   3.2e-50   1.9e-47  161.1   0.0     9   184    37   224    31   227 0.90 -
60951at50557_29031_0:002586|STRG.11081.2:150-1436|+   -            429 53261at50557         -            444   1.5e-58  197.7   2.2   2   2   3.4e-12     2e-09   35.8   0.8   277   436   237   423   231   428 0.65 -
60951at50557_29031_0:002586|STRG.11081.3:214-1500|+   -            429 53261at50557         -            444   1.5e-58  197.7   2.2   1   2   3.2e-50   1.9e-47  161.1   0.0     9   184    37   224    31   227 0.90 -
60951at50557_29031_0:002586|STRG.11081.3:214-1500|+   -            429 53261at50557         -            444   1.5e-58  197.7   2.2   2   2   3.4e-12     2e-09   35.8   0.8   277   436   237   423   231   428 0.65 -
60951at50557_29031_0:002586|STRG.11081.4:329-1615|+   -            429 53261at50557         -            444   1.5e-58  197.7   2.2   1   2   3.2e-50   1.9e-47  161.1   0.0     9   184    37   224    31   227 0.90 -
60951at50557_29031_0:002586|STRG.11081.4:329-1615|+   -            429 53261at50557         -            444   1.5e-58  197.7   2.2   2   2   3.4e-12     2e-09   35.8   0.8   277   436   237   423   231   428 0.65 -
53261at50557_34740_0:000601|STRG.10285.1:2105-3718|+  -            538 53261at50557         -            444   4.6e-56  189.5   1.5   1   4   1.6e-42   9.4e-40  135.7   0.1    11   195    13   204     4   219 0.91 -
53261at50557_34740_0:000601|STRG.10285.1:2105-3718|+  -            538 53261at50557         -            444   4.6e-56  189.5   1.5   2   4         2   1.2e+03   -3.1   0.1   168   187   239   258   234   264 0.79 -
53261at50557_34740_0:000601|STRG.10285.1:2105-3718|+  -            538 53261at50557         -            444   4.6e-56  189.5   1.5   3   4   0.00069       0.4    8.4   0.0   275   302   295   322   292   329 0.91 -
53261at50557_34740_0:000601|STRG.10285.1:2105-3718|+  -            538 53261at50557         -            444   4.6e-56  189.5   1.5   4   4   3.4e-14     2e-11   42.4   0.0   277   333   396   453   379   465 0.87 -
90208at50557_83485_0:0007ad|STRG.16835.2:122-934|+    -            271 53261at50557         -            444   6.2e-22   77.0   0.0   1   1   1.4e-24   8.4e-22   76.6   0.0     6   154    53   199    49   213 0.93 -
90208at50557_83485_0:0007ad|STRG.16835.1:335-991|+    -            219 53261at50557         -            444   6.3e-22   77.0   0.0   1   1   1.2e-24   7.2e-22   76.8   0.0     8   154     3   147     1   162 0.93 -
90208at50557_103372_0:00186f|STRG.8256.1:294-1475|+   -            394 53261at50557         -            444     1e-15   56.5   0.4   1   1   3.1e-18   1.8e-15   55.7   0.4     6   156    63   224    58   232 0.89 -
39392at50557_7070_0:000e0a|STRG.2737.2:225-1827|+     -            532 53261at50557         -            444   2.5e-14   51.9   0.0   1   1   7.8e-17   4.6e-14   51.1   0.0    10   144    35   170    29   184 0.84 -
39392at50557_103372_0:000839|STRG.2737.1:362-1975|+   -            538 53261at50557         -            444   2.6e-14   51.9   0.0   1   1     8e-17   4.7e-14   51.0   0.0    10   144    35   170    29   184 0.84 -
39392at50557_103372_0:000839|STRG.2737.3:396-2027|+   -            538 53261at50557         -            444   2.6e-14   51.9   0.0   1   1     8e-17   4.7e-14   51.0   0.0    10   144    35   170    29   184 0.84 -
39392at50557_103372_0:000839|STRG.2737.4:159-1772|+   -            538 53261at50557         -            444   2.6e-14   51.9   0.0   1   1     8e-17   4.7e-14   51.0   0.0    10   144    35   170    29   184 0.84 -
101448at50557_456900_0:0024dd|STRG.16538.1:87-1085|+  -            333 53261at50557         -            444   3.9e-14   51.3   0.1   1   1     9e-17   5.3e-14   50.9   0.1     8   129    33   152    27   183 0.86 -
101448at50557_568069_0:002eb6|STRG.10285.1:887-2020|+ -            378 53261at50557         -            444   8.3e-14   50.2   0.4   1   2   2.6e-16   1.5e-13   49.3   0.1     5   141    20   151    17   164 0.95 -
101448at50557_568069_0:002eb6|STRG.10285.1:887-2020|+ -            378 53261at50557         -            444   8.3e-14   50.2   0.4   2   2       1.5     9e+02   -2.6   0.1   309   336   338   364   334   367 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/53261at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/53261at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/53261at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:28:14 2024
# [ok]
