#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
53123at50557_520822_0:001c5a|STRG.17863.1:0-653|+     -            218 53123at50557         -            221     2e-72  239.0   1.8   1   1   9.6e-75   2.6e-72  238.7   1.8   101   221     3   135     1   135 0.95 -
53123at50557_1049336_0:00205f|STRG.19647.1:520-1359|+ -            280 53123at50557         -            221   4.7e-06   22.0   0.2   1   3   2.2e-05     0.006   11.9   0.1     5    47     8    50     5    74 0.85 -
53123at50557_1049336_0:00205f|STRG.19647.1:520-1359|+ -            280 53123at50557         -            221   4.7e-06   22.0   0.2   2   3      0.84   2.3e+02   -3.1   0.0    73    90   106   123   104   153 0.68 -
53123at50557_1049336_0:00205f|STRG.19647.1:520-1359|+ -            280 53123at50557         -            221   4.7e-06   22.0   0.2   3   3   0.00038       0.1    7.8   0.0   121   210   188   280   173   280 0.81 -
53123at50557_1049336_0:00205f|STRG.19647.3:619-1416|+ -            266 53123at50557         -            221   0.00015   17.1   0.1   1   3   2.1e-05    0.0056   12.0   0.1     5    47     8    50     5    74 0.84 -
53123at50557_1049336_0:00205f|STRG.19647.3:619-1416|+ -            266 53123at50557         -            221   0.00015   17.1   0.1   2   3      0.78   2.1e+02   -3.0   0.0    73    90   106   123   104   153 0.68 -
53123at50557_1049336_0:00205f|STRG.19647.3:619-1416|+ -            266 53123at50557         -            221   0.00015   17.1   0.1   3   3     0.014       3.9    2.7   0.0   121   180   188   252   174   266 0.73 -
53123at50557_1049336_0:00205f|STRG.19647.4:449-1246|+ -            266 53123at50557         -            221   0.00015   17.1   0.1   1   3   2.1e-05    0.0056   12.0   0.1     5    47     8    50     5    74 0.84 -
53123at50557_1049336_0:00205f|STRG.19647.4:449-1246|+ -            266 53123at50557         -            221   0.00015   17.1   0.1   2   3      0.78   2.1e+02   -3.0   0.0    73    90   106   123   104   153 0.68 -
53123at50557_1049336_0:00205f|STRG.19647.4:449-1246|+ -            266 53123at50557         -            221   0.00015   17.1   0.1   3   3     0.014       3.9    2.7   0.0   121   180   188   252   174   266 0.73 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/53123at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/rerun_results/53123at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/53123at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 14:17:43 2024
# [ok]
