#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
101665at50557_103372_0:00034b|STRG.6251.1:240-971|+   -            244 101665at50557        -            190   8.6e-77  256.3   9.8   1   1   1.6e-76   6.9e-74  246.8   9.8     1   186     6   236     6   243 0.87 -
101665at50557_7200_0:001c1f|STRG.5273.10:557-769|+    -             71 101665at50557        -            190   1.7e-20   72.8   0.0   1   1   3.9e-23   1.7e-20   72.7   0.0   111   174     3    66     1    71 0.91 -
101665at50557_7200_0:001c1f|STRG.5273.11:623-835|+    -             71 101665at50557        -            190   1.7e-20   72.8   0.0   1   1   3.9e-23   1.7e-20   72.7   0.0   111   174     3    66     1    71 0.91 -
101665at50557_7200_0:001c1f|STRG.5273.2:726-938|+     -             71 101665at50557        -            190   1.7e-20   72.8   0.0   1   1   3.9e-23   1.7e-20   72.7   0.0   111   174     3    66     1    71 0.91 -
101665at50557_7200_0:001c1f|STRG.5273.3:726-938|+     -             71 101665at50557        -            190   1.7e-20   72.8   0.0   1   1   3.9e-23   1.7e-20   72.7   0.0   111   174     3    66     1    71 0.91 -
101665at50557_7200_0:001c1f|STRG.5273.5:720-932|+     -             71 101665at50557        -            190   1.7e-20   72.8   0.0   1   1   3.9e-23   1.7e-20   72.7   0.0   111   174     3    66     1    71 0.91 -
101665at50557_7200_0:001c1f|STRG.5273.6:720-932|+     -             71 101665at50557        -            190   1.7e-20   72.8   0.0   1   1   3.9e-23   1.7e-20   72.7   0.0   111   174     3    66     1    71 0.91 -
101665at50557_7200_0:001c1f|STRG.5273.7:720-932|+     -             71 101665at50557        -            190   1.7e-20   72.8   0.0   1   1   3.9e-23   1.7e-20   72.7   0.0   111   174     3    66     1    71 0.91 -
101665at50557_7200_0:001c1f|STRG.5273.8:720-932|+     -             71 101665at50557        -            190   1.7e-20   72.8   0.0   1   1   3.9e-23   1.7e-20   72.7   0.0   111   174     3    66     1    71 0.91 -
101665at50557_7200_0:001c1f|STRG.7586.2:4510-4671|+   -             54 101665at50557        -            190   1.2e-17   63.5   0.1   1   1   3.1e-20   1.3e-17   63.3   0.1   128   176     1    50     1    53 0.94 -
101665at50557_136037_0:00157e|STRG.7586.1:4399-4689|+ -             97 101665at50557        -            190   1.9e-17   62.8   0.1   1   1   5.4e-20   2.3e-17   62.5   0.1   127   176    43    93    31    96 0.92 -
101665at50557_136037_0:00157e|STRG.7586.3:4384-4674|+ -             97 101665at50557        -            190   1.9e-17   62.8   0.1   1   1   5.4e-20   2.3e-17   62.5   0.1   127   176    43    93    31    96 0.92 -
101665at50557_136037_0:00157e|STRG.7586.4:4478-4768|+ -             97 101665at50557        -            190   1.9e-17   62.8   0.1   1   1   5.4e-20   2.3e-17   62.5   0.1   127   176    43    93    31    96 0.92 -
101665at50557_136037_0:00157e|STRG.7586.5:4492-4782|+ -             97 101665at50557        -            190   1.9e-17   62.8   0.1   1   1   5.4e-20   2.3e-17   62.5   0.1   127   176    43    93    31    96 0.92 -
101665at50557_39758_0:0041d7|STRG.5273.1:279-515|+    -             79 101665at50557        -            190   9.6e-17   60.5   0.0   1   1   2.5e-19   1.1e-16   60.3   0.0   107   175     7    72     3    76 0.86 -
101665at50557_1507135_0:00108d|STRG.5273.4:306-1024|+ -             94 101665at50557        -            190   1.2e-16   60.2   0.1   1   1   3.4e-19   1.4e-16   59.9   0.1   107   174    21    85    16    92 0.85 -
101665at50557_7200_0:001c1f|STRG.6998.1:27-236|+      -             70 101665at50557        -            190   1.9e-16   59.5   0.2   1   1   4.9e-19   2.1e-16   59.4   0.2   112   176     1    63     1    68 0.87 -
101665at50557_7200_0:001c1f|STRG.6998.2:27-236|+      -             70 101665at50557        -            190   1.9e-16   59.5   0.2   1   1   4.9e-19   2.1e-16   59.4   0.2   112   176     1    63     1    68 0.87 -
101665at50557_7200_0:001c1f|STRG.6998.3:27-236|+      -             70 101665at50557        -            190   1.9e-16   59.5   0.2   1   1   4.9e-19   2.1e-16   59.4   0.2   112   176     1    63     1    68 0.87 -
101665at50557_1507135_0:00108d|STRG.5273.9:143-388|+  -             82 101665at50557        -            190   3.4e-16   58.7   0.1   1   1     9e-19   3.9e-16   58.5   0.1   107   173    19    82    14    82 0.87 -
56943at50557_103372_0:001dff|STRG.9209.2:279-2636|+   -            786 101665at50557        -            190   0.00078   18.4   0.0   1   2       0.4   1.7e+02    1.0   0.0   116   165   124   175   112   198 0.77 -
56943at50557_103372_0:001dff|STRG.9209.2:279-2636|+   -            786 101665at50557        -            190   0.00078   18.4   0.0   2   2     4e-05     0.017   14.0   0.0    95   174   288   371   272   386 0.79 -
150385at50557_103372_0:00036b|STRG.6375.1:159-377|+   -             73 101665at50557        -            190    0.0012   17.8   0.0   1   1   3.1e-06    0.0013   17.7   0.0    18    69    18    69     5    72 0.92 -
56943at50557_67767_0:0011f7|STRG.9209.1:119-2371|+    -            667 101665at50557        -            190    0.0017   17.3   0.1   1   1   1.5e-05    0.0066   15.4   0.0    95   174   169   252   131   267 0.73 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/101665at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/101665at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/101665at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:05:02 2024
# [ok]
