#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107413at50557_103372_0:00285a|STRG.7846.1:151-1050|+   -            300 107413at50557        -             88     3e-35  119.5   2.5   1   1   2.3e-36   1.9e-34  116.9   2.5     1    88   182   288   182   288 0.85 -
98621at50557_286706_0:000660|STRG.2743.1:292-1011|+    -            240 107413at50557        -             88   8.1e-19   66.8   0.6   1   1     1e-19   8.4e-18   63.6   0.6    23    88   169   237   131   237 0.73 -
45935at50557_6973_0:001b70|STRG.16365.1:2804-3577|+    -            258 107413at50557        -             88     9e-19   66.7   6.1   1   2     0.029       2.3    7.7   0.0     1    36   139   176   139   184 0.76 -
45935at50557_6973_0:001b70|STRG.16365.1:2804-3577|+    -            258 107413at50557        -             88     9e-19   66.7   6.1   2   2   2.9e-18   2.4e-16   58.9   3.4    28    88   189   250   174   250 0.89 -
45935at50557_6973_0:001b70|STRG.16365.2:1745-2518|+    -            258 107413at50557        -             88     9e-19   66.7   6.1   1   2     0.029       2.3    7.7   0.0     1    36   139   176   139   184 0.76 -
45935at50557_6973_0:001b70|STRG.16365.2:1745-2518|+    -            258 107413at50557        -             88     9e-19   66.7   6.1   2   2   2.9e-18   2.4e-16   58.9   3.4    28    88   189   250   174   250 0.89 -
98621at50557_286706_0:000660|STRG.2743.2:292-1023|+    -            244 107413at50557        -             88   9.7e-19   66.6   0.6   1   1   1.1e-19   8.7e-18   63.5   0.6    23    88   173   241   135   241 0.73 -
45935at50557_67767_0:003589|STRG.16365.3:2393-3298|+   -            302 107413at50557        -             88   1.9e-18   65.7   6.4   1   2     0.036       2.9    7.3   0.0     1    36   183   220   183   228 0.76 -
45935at50557_67767_0:003589|STRG.16365.3:2393-3298|+   -            302 107413at50557        -             88   1.9e-18   65.7   6.4   2   2   3.8e-18   3.1e-16   58.5   3.4    28    88   233   294   218   294 0.89 -
45935at50557_67767_0:003589|STRG.16365.4:2288-3193|+   -            302 107413at50557        -             88   1.9e-18   65.7   6.4   1   2     0.036       2.9    7.3   0.0     1    36   183   220   183   228 0.76 -
45935at50557_67767_0:003589|STRG.16365.4:2288-3193|+   -            302 107413at50557        -             88   1.9e-18   65.7   6.4   2   2   3.8e-18   3.1e-16   58.5   3.4    28    88   233   294   218   294 0.89 -
98621at50557_28612_0:00515f|STRG.16478.1:6-581|+       -            192 107413at50557        -             88     1e-17   63.3   0.3   1   1   5.6e-18   4.6e-16   58.0   0.3    15    88   110   187    77   187 0.67 -
98621at50557_136037_0:0009c4|STRG.16474.1:3245-4045|+  -            267 107413at50557        -             88   1.4e-17   62.8   0.5   1   1   1.5e-17   1.2e-15   56.7   0.5    11    88   187   267   158   267 0.80 -
98621at50557_136037_0:0009c4|STRG.16474.2:3249-4049|+  -            267 107413at50557        -             88   1.4e-17   62.8   0.5   1   1   1.5e-17   1.2e-15   56.7   0.5    11    88   187   267   158   267 0.80 -
98621at50557_136037_0:0009c4|STRG.16474.3:3372-4172|+  -            267 107413at50557        -             88   1.4e-17   62.8   0.5   1   1   1.5e-17   1.2e-15   56.7   0.5    11    88   187   267   158   267 0.80 -
17536at50557_116153_0:000f8b|STRG.7537.1:3965-5740|+   -            592 107413at50557        -             88     2e-17   62.4   0.4   1   1   3.5e-17   2.8e-15   55.5   0.4    21    88   513   584   474   584 0.73 -
98621at50557_7245_0:001f09|STRG.13915.2:358-1193|+     -            222 107413at50557        -             88   3.6e-17   61.5   1.3   1   1     8e-19   6.5e-17   60.7   1.3     1    88   120   222   120   222 0.81 -
98621at50557_219809_0:001395|STRG.13915.1:358-1062|+   -            235 107413at50557        -             88   4.1e-17   61.4   1.3   1   1   9.2e-19   7.5e-17   60.5   1.3     1    88   131   233   131   233 0.81 -
98621at50557_136037_0:0009c4|STRG.18513.1:2050-2781|+  -            244 107413at50557        -             88   4.3e-17   61.3   3.2   1   1   4.5e-17   3.7e-15   55.1   1.7     3    88   133   240   131   240 0.69 -
98621at50557_136037_0:0009c4|STRG.18513.2:2542-3273|+  -            244 107413at50557        -             88   4.3e-17   61.3   3.2   1   1   4.5e-17   3.7e-15   55.1   1.7     3    88   133   240   131   240 0.69 -
98621at50557_7425_0:001b7b|STRG.6696.1:924-1679|+      -            252 107413at50557        -             88   5.5e-17   61.0   3.0   1   1   2.9e-18   2.3e-16   58.9   3.0    28    88   188   247   143   247 0.90 -
107413at50557_79782_0:001336|STRG.12110.2:1292-2044|+  -            251 107413at50557        -             88   7.2e-17   60.6   0.5   1   1   5.2e-18   4.3e-16   58.1   0.5     1    88   142   251   142   251 0.76 -
98621at50557_13249_0:0015dd|STRG.2737.1:328-1041|+     -            238 107413at50557        -             88   7.2e-17   60.6   2.2   1   1   2.5e-17     2e-15   56.0   2.2    17    88   164   237   132   237 0.78 -
