#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
76908at50557_103372_0:001521|STRG.4087.5:1127-2068|+ -            314 76908at50557         -            265  7.4e-142  470.0  10.7   1   1  3.8e-143  2.1e-140  465.3  10.7     1   258     8   304     8   308 0.95 -
76908at50557_144034_0:001185|STRG.4087.2:1127-2134|+ -            336 76908at50557         -            265  1.3e-141  469.2  11.2   1   1  6.6e-143  3.6e-140  464.5  11.2     1   258     8   304     8   310 0.95 -
76908at50557_144034_0:001185|STRG.4087.4:1127-2137|+ -            337 76908at50557         -            265  1.6e-140  465.6  10.9   1   1  7.9e-142  4.4e-139  460.9  10.9     1   258     8   305     8   311 0.95 -
76908at50557_144034_0:001185|STRG.4087.1:1264-8855|+ -            335 76908at50557         -            265    4e-140  464.3  11.0   1   1    2e-141  1.1e-138  459.6  11.0     1   258     8   303     8   309 0.95 -
76908at50557_144034_0:001185|STRG.4087.3:1127-2131|+ -            335 76908at50557         -            265    4e-140  464.3  11.0   1   1    2e-141  1.1e-138  459.6  11.0     1   258     8   303     8   309 0.95 -
76908at50557_7176_0:001c06|STRG.1282.1:524-1033|+    -            170 76908at50557         -            265   2.2e-28   98.0   0.7   1   1   4.2e-31   2.3e-28   98.0   0.7     8   178     2   169     1   170 0.82 -
76908at50557_7176_0:001c06|STRG.1282.2:140-649|+     -            170 76908at50557         -            265   2.2e-28   98.0   0.7   1   1   4.2e-31   2.3e-28   98.0   0.7     8   178     2   169     1   170 0.82 -
76908at50557_7176_0:001c06|STRG.1282.3:140-649|+     -            170 76908at50557         -            265   2.2e-28   98.0   0.7   1   1   4.2e-31   2.3e-28   98.0   0.7     8   178     2   169     1   170 0.82 -
76908at50557_7176_0:001c06|STRG.1282.4:117-626|+     -            170 76908at50557         -            265   2.2e-28   98.0   0.7   1   1   4.2e-31   2.3e-28   98.0   0.7     8   178     2   169     1   170 0.82 -
87181at50557_103372_0:000c65|STRG.9560.1:36-1573|+   -            501 76908at50557         -            265   1.1e-21   76.1   0.0   1   1   2.6e-24   1.4e-21   75.7   0.0    58   189    81   208    45   227 0.80 -
87181at50557_103372_0:000c65|STRG.9560.2:220-1997|+  -            570 76908at50557         -            265   1.3e-21   75.9   0.0   1   1   3.6e-24     2e-21   75.2   0.0    58   189   150   277   114   295 0.80 -
6416at50557_113334_0:00380e|STRG.14339.1:607-1695|+  -            363 76908at50557         -            265    0.0068   14.5   6.4   1   4     0.056        31    2.5   0.1    85   105     2    22     1    33 0.78 -
6416at50557_113334_0:00380e|STRG.14339.1:607-1695|+  -            363 76908at50557         -            265    0.0068   14.5   6.4   2   4    0.0005      0.27    9.2   0.0    81   126    92   137    87   153 0.86 -
6416at50557_113334_0:00380e|STRG.14339.1:607-1695|+  -            363 76908at50557         -            265    0.0068   14.5   6.4   3   4       1.8   9.9e+02   -2.4   0.1    81   105   196   220   192   225 0.86 -
6416at50557_113334_0:00380e|STRG.14339.1:607-1695|+  -            363 76908at50557         -            265    0.0068   14.5   6.4   4   4     0.014       7.9    4.4   0.1    81   125   313   357   294   363 0.80 -
6416at50557_113334_0:00380e|STRG.14339.2:607-1695|+  -            363 76908at50557         -            265    0.0068   14.5   6.4   1   4     0.056        31    2.5   0.1    85   105     2    22     1    33 0.78 -
6416at50557_113334_0:00380e|STRG.14339.2:607-1695|+  -            363 76908at50557         -            265    0.0068   14.5   6.4   2   4    0.0005      0.27    9.2   0.0    81   126    92   137    87   153 0.86 -
6416at50557_113334_0:00380e|STRG.14339.2:607-1695|+  -            363 76908at50557         -            265    0.0068   14.5   6.4   3   4       1.8   9.9e+02   -2.4   0.1    81   105   196   220   192   225 0.86 -
6416at50557_113334_0:00380e|STRG.14339.2:607-1695|+  -            363 76908at50557         -            265    0.0068   14.5   6.4   4   4     0.014       7.9    4.4   0.1    81   125   313   357   294   363 0.80 -
6416at50557_113334_0:00380e|STRG.14339.3:607-1695|+  -            363 76908at50557         -            265    0.0068   14.5   6.4   1   4     0.056        31    2.5   0.1    85   105     2    22     1    33 0.78 -
6416at50557_113334_0:00380e|STRG.14339.3:607-1695|+  -            363 76908at50557         -            265    0.0068   14.5   6.4   2   4    0.0005      0.27    9.2   0.0    81   126    92   137    87   153 0.86 -
6416at50557_113334_0:00380e|STRG.14339.3:607-1695|+  -            363 76908at50557         -            265    0.0068   14.5   6.4   3   4       1.8   9.9e+02   -2.4   0.1    81   105   196   220   192   225 0.86 -
6416at50557_113334_0:00380e|STRG.14339.3:607-1695|+  -            363 76908at50557         -            265    0.0068   14.5   6.4   4   4     0.014       7.9    4.4   0.1    81   125   313   357   294   363 0.80 -
6416at50557_113334_0:00380e|STRG.3069.1:479-1309|+   -            277 76908at50557         -            265     0.028   12.5   3.8   1   3   0.00056      0.31    9.0   0.1    77   116    64   103     3   118 0.70 -
6416at50557_113334_0:00380e|STRG.3069.1:479-1309|+   -            277 76908at50557         -            265     0.028   12.5   3.8   2   3      0.21   1.2e+02    0.6   0.0   203   228   119   144   112   153 0.80 -
6416at50557_113334_0:00380e|STRG.3069.1:479-1309|+   -            277 76908at50557         -            265     0.028   12.5   3.8   3   3     0.048        27    2.7   0.6    25   107   163   246   140   260 0.80 -
6416at50557_7536_0:0038e0|STRG.3069.2:842-1477|+     -            212 76908at50557         -            265      0.03   12.4   0.5   1   2   0.00061      0.34    8.9   0.0    81   116    46    81    15    95 0.75 -
6416at50557_7536_0:0038e0|STRG.3069.2:842-1477|+     -            212 76908at50557         -            265      0.03   12.4   0.5   2   2      0.16        85    1.0   0.0   203   228    97   122    91   131 0.81 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/76908at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/76908at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/76908at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:30:21 2024
# [ok]
