#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
98887at50557_222816_0:001359|STRG.14095.1:493-801|+  -            103 98887at50557         -            176   4.3e-42  142.6   0.0   1   1   3.1e-45   4.8e-42  142.5   0.0     1    94     1   103     1   103 0.93 -
98887at50557_103372_0:002690|STRG.14094.1:0-1103|+   -            368 98887at50557         -            176   1.9e-14   52.6   5.9   1   6       1.5   2.3e+03   -3.0   0.0    87   109    24    46    20    51 0.73 -
98887at50557_103372_0:002690|STRG.14094.1:0-1103|+   -            368 98887at50557         -            176   1.9e-14   52.6   5.9   2   6      0.12   1.9e+02    0.5   0.0    87   140   124   183   118   191 0.60 -
98887at50557_103372_0:002690|STRG.14094.1:0-1103|+   -            368 98887at50557         -            176   1.9e-14   52.6   5.9   3   6     0.075   1.1e+02    1.2   0.0    85   118   183   215   177   225 0.79 -
98887at50557_103372_0:002690|STRG.14094.1:0-1103|+   -            368 98887at50557         -            176   1.9e-14   52.6   5.9   4   6      0.29   4.4e+02   -0.7   0.0   117   128   245   256   236   259 0.89 -
98887at50557_103372_0:002690|STRG.14094.1:0-1103|+   -            368 98887at50557         -            176   1.9e-14   52.6   5.9   5   6   0.00097       1.5    7.4   0.1   125   140   284   299   279   308 0.82 -
98887at50557_103372_0:002690|STRG.14094.1:0-1103|+   -            368 98887at50557         -            176   1.9e-14   52.6   5.9   6   6   2.3e-14   3.6e-11   42.0   0.1   137   176   315   360   304   360 0.81 -
69725at50557_103372_0:001c81|STRG.11917.2:78-1795|+  -            534 98887at50557         -            176   6.1e-09   34.7   0.3   1   1   2.2e-11   3.4e-08   32.3   0.3    33    93   140   200    98   219 0.72 -
69725at50557_103372_0:001c81|STRG.11917.1:723-2409|+ -            558 98887at50557         -            176   7.1e-09   34.5   0.3   1   1   2.4e-11   3.7e-08   32.1   0.3    33    93   164   224   122   243 0.72 -
69725at50557_103372_0:001c81|STRG.11917.3:0-1673|+   -            558 98887at50557         -            176   7.1e-09   34.5   0.3   1   1   2.4e-11   3.7e-08   32.1   0.3    33    93   164   224   122   243 0.72 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/98887at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/98887at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/98887at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:37:13 2024
# [ok]
