#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
52703at50557_174628_0:00214a|STRG.12046.1:26-1214|- -            347 52703at50557         -            352  6.3e-155  513.8   0.1   1   1  8.8e-157    2e-154  512.1   0.1    62   352     2   345     1   345 0.91 -
75144at50557_28612_0:003734|STRG.18240.1:0-1127|+   -            376 52703at50557         -            352   1.7e-69  232.8   0.0   1   1   8.8e-72     2e-69  232.5   0.0     2   332     8   350     7   373 0.89 -
75144at50557_28612_0:003734|STRG.5109.1:0-1127|+    -            376 52703at50557         -            352     3e-69  232.0   0.0   1   1   1.6e-71   3.6e-69  231.7   0.0     2   332     8   350     7   374 0.89 -
75144at50557_28612_0:003734|STRG.5016.1:310-1428|+  -            373 52703at50557         -            352   3.5e-69  231.8   0.0   1   1   1.9e-71   4.5e-69  231.4   0.0     2   332     8   347     7   360 0.90 -
75144at50557_28612_0:003734|STRG.5016.2:9-986|+     -            326 52703at50557         -            352   1.2e-63  213.6   0.0   1   1   6.3e-66   1.5e-63  213.3   0.0    46   332     4   300     1   313 0.90 -
52703at50557_13249_0:002cd0|STRG.12046.1:891-1211|- -            107 52703at50557         -            352   1.8e-60  203.1   0.1   1   1   1.1e-62   2.6e-60  202.6   0.1    63   159     2   107     1   107 0.97 -
75144at50557_28612_0:003734|STRG.13307.1:1-1080|+   -            360 52703at50557         -            352   1.5e-59  200.1   0.0   1   1   7.7e-62   1.8e-59  199.9   0.0     9   330     2   332     1   347 0.88 -
57613at50557_610380_0:00141b|STRG.881.2:0-1181|+    -            394 52703at50557         -            352   3.9e-57  192.2   0.1   1   1   2.3e-59   5.2e-57  191.7   0.1     4   311    10   331     7   356 0.88 -
75144at50557_28612_0:003734|STRG.13307.2:21-986|+   -            322 52703at50557         -            352   5.2e-56  188.5   0.0   1   1   2.7e-58   6.2e-56  188.2   0.0    47   330     1   294     1   309 0.88 -
57613at50557_610380_0:00141b|STRG.881.1:164-1300|+  -            356 52703at50557         -            352   9.1e-50  167.9   0.1   1   1   5.6e-52   1.3e-49  167.4   0.1    46   311    15   293     8   318 0.88 -
75144at50557_7539_0:003503|STRG.10954.1:24-1256|+   -            411 52703at50557         -            352   5.4e-38  129.2   0.0   1   2   1.4e-31   3.3e-29  100.3   0.0     2   208     5   218     4   227 0.86 -
75144at50557_7539_0:003503|STRG.10954.1:24-1256|+   -            411 52703at50557         -            352   5.4e-38  129.2   0.0   2   2   3.1e-09   7.1e-07   26.9   0.0   229   329   279   385   262   401 0.77 -
75144at50557_7539_0:003503|STRG.6067.1:232-1521|+   -            430 52703at50557         -            352   1.1e-36  124.9   0.0   1   2   1.2e-28   2.9e-26   90.6   0.0     3   213     6   235     4   275 0.78 -
75144at50557_7539_0:003503|STRG.6067.1:232-1521|+   -            430 52703at50557         -            352   1.1e-36  124.9   0.0   2   2   3.9e-10     9e-08   29.8   0.0   229   329   292   402   275   416 0.80 -
75144at50557_7539_0:003503|STRG.6067.2:27-1316|+    -            430 52703at50557         -            352   1.1e-36  124.9   0.0   1   2   1.2e-28   2.9e-26   90.6   0.0     3   213     6   235     4   275 0.78 -
75144at50557_7539_0:003503|STRG.6067.2:27-1316|+    -            430 52703at50557         -            352   1.1e-36  124.9   0.0   2   2   3.9e-10     9e-08   29.8   0.0   229   329   292   402   275   416 0.80 -
57613at50557_38123_0:002cba|STRG.92.1:0-368|+       -            123 52703at50557         -            352   5.5e-29   99.6   0.0   1   1   2.6e-31     6e-29   99.5   0.0    10   131     2   123     1   123 0.93 -
52703at50557_116153_0:001375|STRG.2954.1:51-1052|+  -            334 52703at50557         -            352   2.8e-22   77.5   0.1   1   2   0.00011     0.025   11.9   0.0     4    46     1    47     1    51 0.82 -
52703at50557_116153_0:001375|STRG.2954.1:51-1052|+  -            334 52703at50557         -            352   2.8e-22   77.5   0.1   2   2   5.6e-20   1.3e-17   62.2   0.0    71   316    44   296    38   317 0.80 -
57613at50557_38123_0:002cba|STRG.7515.1:102-500|+   -            133 52703at50557         -            352   4.1e-19   67.1   0.0   1   1     2e-21   4.6e-19   67.0   0.0     3   122     9   131     7   133 0.91 -
75144at50557_34720_0:000d74|STRG.9690.1:0-1172|+    -            391 52703at50557         -            352   1.7e-18   65.1   0.1   1   2   7.1e-12   1.6e-09   35.5   0.5    49   220    42   220     5   233 0.77 -
75144at50557_34720_0:000d74|STRG.9690.1:0-1172|+    -            391 52703at50557         -            352   1.7e-18   65.1   0.1   2   2   1.4e-09   3.2e-07   28.0   0.0   199   328   228   360   216   378 0.83 -
75144at50557_30025_0:002475|STRG.419.2:281-2081|+   -            381 52703at50557         -            352   2.8e-18   64.3   0.0   1   2   3.8e-15   8.8e-13   46.3   0.1     4   189     2   189     1   231 0.86 -
75144at50557_30025_0:002475|STRG.419.2:281-2081|+   -            381 52703at50557         -            352   2.8e-18   64.3   0.0   2   2   5.2e-06    0.0012   16.2   0.0   228   304   260   335   236   359 0.87 -
75144at50557_30025_0:002475|STRG.419.4:281-2152|+   -            381 52703at50557         -            352   2.8e-18   64.3   0.0   1   2   3.8e-15   8.8e-13   46.3   0.1     4   189     2   189     1   231 0.86 -
75144at50557_30025_0:002475|STRG.419.4:281-2152|+   -            381 52703at50557         -            352   2.8e-18   64.3   0.0   2   2   5.2e-06    0.0012   16.2   0.0   228   304   260   335   236   359 0.87 -
75144at50557_30025_0:002475|STRG.419.5:281-2153|+   -            381 52703at50557         -            352   2.8e-18   64.3   0.0   1   2   3.8e-15   8.8e-13   46.3   0.1     4   189     2   189     1   231 0.86 -
75144at50557_30025_0:002475|STRG.419.5:281-2153|+   -            381 52703at50557         -            352   2.8e-18   64.3   0.0   2   2   5.2e-06    0.0012   16.2   0.0   228   304   260   335   236   359 0.87 -
57613at50557_38123_0:002cba|STRG.7515.3:102-628|+   -            126 52703at50557         -            352   2.8e-16   57.8   0.0   1   1   1.3e-18   3.1e-16   57.6   0.0     3   116     9   125     7   126 0.90 -
57613at50557_38123_0:002cba|STRG.7515.4:102-497|+   -            132 52703at50557         -            352   4.7e-15   53.8   0.0   1   1   2.3e-17   5.2e-15   53.6   0.0     3   116     9   131     7   132 0.89 -
57613at50557_6973_0:0030bf|STRG.7516.1:1-444|+      -            148 52703at50557         -            352     5e-14   50.4   0.0   1   1   2.4e-16   5.5e-14   50.2   0.0   230   312     8    89     2   122 0.88 -
75144at50557_28612_0:003734|STRG.419.1:186-767|+    -            194 52703at50557         -            352   3.5e-13   47.6   0.0   1   1   1.7e-15     4e-13   47.4   0.0     4   187     9   194     6   194 0.87 -
75144at50557_28612_0:003734|STRG.419.3:260-841|+    -            194 52703at50557         -            352   3.5e-13   47.6   0.0   1   1   1.7e-15     4e-13   47.4   0.0     4   187     9   194     6   194 0.87 -
