#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+     -            602 25500at50557         -            513  2.6e-292  968.8   7.5   1   1    3e-291  1.3e-289  959.9   7.5     1   513     6   599     6   599 0.91 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 25500at50557         -            513   1.3e-20   72.4   7.2   1   8       8.8   3.9e+02   -1.8   0.0   142   172     5    33     3    39 0.82 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 25500at50557         -            513   1.3e-20   72.4   7.2   2   8     0.021      0.93    6.9   0.0   222   261    47    87    21    92 0.66 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 25500at50557         -            513   1.3e-20   72.4   7.2   3   8   3.6e-06   0.00016   19.3   0.0    55   112    94   150    88   172 0.86 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 25500at50557         -            513   1.3e-20   72.4   7.2   4   8     0.061       2.7    5.4   0.0    46    80   247   282   241   285 0.81 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 25500at50557         -            513   1.3e-20   72.4   7.2   5   8   0.00083     0.036   11.5   0.0   294   338   286   329   280   339 0.87 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 25500at50557         -            513   1.3e-20   72.4   7.2   6   8     0.065       2.9    5.3   0.0   222   264   377   419   361   436 0.78 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 25500at50557         -            513   1.3e-20   72.4   7.2   7   8   8.6e-06   0.00038   18.1   0.1   184   285   433   541   427   564 0.63 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 25500at50557         -            513   1.3e-20   72.4   7.2   8   8       1.4        61    0.9   0.0   441   468   684   712   589   712 0.68 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 25500at50557         -            513   1.7e-19   68.7   6.4   1   5   7.4e-05    0.0033   15.0   0.0   438   476   117   155    86   160 0.85 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 25500at50557         -            513   1.7e-19   68.7   6.4   2   5   9.5e-08   4.2e-06   24.5   0.8   222   354   160   301   155   323 0.80 -
