#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108452at50557_144034_0:001560|STRG.7105.1:75-920|+    -            282 108452at50557        -            212  1.8e-113  376.3   1.1   1   1  6.9e-116  2.4e-113  375.9   1.1     1   201    16   229    16   235 0.95 -
108452at50557_7224_0:00009b|STRG.15963.1:1994-2524|+  -            177 108452at50557        -            212   4.5e-26   90.7   4.9   1   1   1.4e-28   4.9e-26   90.6   4.9    30   198     3   176     1   177 0.84 -
108452at50557_7224_0:00009b|STRG.15963.2:1763-2293|+  -            177 108452at50557        -            212   4.5e-26   90.7   4.9   1   1   1.4e-28   4.9e-26   90.6   4.9    30   198     3   176     1   177 0.84 -
108452at50557_7224_0:00009b|STRG.15963.3:1604-2134|+  -            177 108452at50557        -            212   4.5e-26   90.7   4.9   1   1   1.4e-28   4.9e-26   90.6   4.9    30   198     3   176     1   177 0.84 -
108452at50557_7224_0:00009b|STRG.15963.4:1762-2292|+  -            177 108452at50557        -            212   4.5e-26   90.7   4.9   1   1   1.4e-28   4.9e-26   90.6   4.9    30   198     3   176     1   177 0.84 -
108452at50557_121845_0:000f76|STRG.10070.1:62-352|+   -             97 108452at50557        -            212   2.2e-21   75.4   9.2   1   1   7.6e-24   2.6e-21   75.1   9.2   136   201    22    89     9    93 0.91 -
23788at50557_520822_0:00115e|STRG.2621.1:37-3735|+    -           1233 108452at50557        -            212   2.1e-20   72.2   5.9   1   2       1.6   5.4e+02   -1.1   0.1    82   120   564   602   544   617 0.82 -
23788at50557_520822_0:00115e|STRG.2621.1:37-3735|+    -           1233 108452at50557        -            212   2.1e-20   72.2   5.9   2   2   6.1e-23   2.1e-20   72.2   5.9   132   197  1150  1218  1137  1225 0.88 -
43010at50557_411798_0:00301e|STRG.2732.2:0-2153|+     -            718 108452at50557        -            212   1.4e-16   59.7   5.8   1   1   1.3e-18   4.6e-16   58.0   5.8   138   199   648   710   623   715 0.82 -
43010at50557_246812_0:0014c3|STRG.2732.1:147-824|+    -            226 108452at50557        -            212   3.7e-16   58.3   6.2   1   2       6.8   2.3e+03   -3.1   0.0   107   130    83   106    79   113 0.71 -
43010at50557_246812_0:0014c3|STRG.2732.1:147-824|+    -            226 108452at50557        -            212   3.7e-16   58.3   6.2   2   2   1.1e-18   3.7e-16   58.3   6.2   128   196   156   226   140   226 0.83 -
108452at50557_7536_0:002ce9|STRG.15880.1:399-839|+    -            147 108452at50557        -            212   1.2e-15   56.7   6.6   1   1   4.7e-18   1.6e-15   56.2   6.6   137   201    80   144    68   147 0.83 -
108452at50557_7536_0:002ce9|STRG.15880.2:399-839|+    -            147 108452at50557        -            212   1.2e-15   56.7   6.6   1   1   4.7e-18   1.6e-15   56.2   6.6   137   201    80   144    68   147 0.83 -
108452at50557_13249_0:002762|STRG.12424.1:2389-2634|+ -             82 108452at50557        -            212   1.9e-15   56.0  12.1   1   1   6.2e-18   2.1e-15   55.8  12.1   140   197     1    62     1    74 0.87 -
108452at50557_13249_0:002762|STRG.12424.2:2389-2634|+ -             82 108452at50557        -            212   1.9e-15   56.0  12.1   1   1   6.2e-18   2.1e-15   55.8  12.1   140   197     1    62     1    74 0.87 -
48864at50557_520822_0:000d82|STRG.2155.1:313-1845|+   -            511 108452at50557        -            212   5.9e-11   41.3   2.7   1   2     8e-13   2.7e-10   39.1   0.7   110   179   110   180    97   196 0.77 -
48864at50557_520822_0:000d82|STRG.2155.1:313-1845|+   -            511 108452at50557        -            212   5.9e-11   41.3   2.7   2   2      0.26        89    1.5   0.1   186   203   247   264   244   272 0.73 -
28503at50557_69004_0:0020b1|STRG.13841.1:782-4135|+   -           1118 108452at50557        -            212   1.3e-10   40.2   6.4   1   1   8.6e-13   2.9e-10   39.0   6.4   145   200  1057  1115  1052  1117 0.84 -
60694at50557_315563_0:000bf8|STRG.19257.1:149-6172|+  -           2008 108452at50557        -            212     3e-10   39.0   8.9   1   1   2.2e-12   7.6e-10   37.7   8.9   133   200   114   184    93   195 0.79 -
28503at50557_69004_0:0020b1|STRG.13841.2:1984-5322|+  -           1113 108452at50557        -            212     2e-09   36.3   7.9   1   1   1.3e-11   4.3e-09   35.2   7.9   145   197  1057  1112  1052  1113 0.84 -
23788at50557_378494_0:0029c0|STRG.19219.1:6575-6718|+ -             48 108452at50557        -            212   7.2e-09   34.5   8.9   1   1   2.2e-11   7.5e-09   34.4   8.9   156   196     4    48     1    48 0.83 -
23788at50557_378494_0:0029c0|STRG.19219.2:6634-6777|+ -             48 108452at50557        -            212   7.2e-09   34.5   8.9   1   1   2.2e-11   7.5e-09   34.4   8.9   156   196     4    48     1    48 0.83 -
