#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
15573at50557_103372_0:00195a|STRG.6019.1:0-1781|+      -            594 15573at50557         -            318  8.8e-140  464.3  11.3   1   1  1.7e-139  3.1e-137  456.0  11.3     1   318   126   527   126   527 0.88 -
15573at50557_121845_0:003574|STRG.1281.1:3812-4435|+   -            208 15573at50557         -            318   5.2e-28   97.1   0.0   1   1   3.9e-30     7e-28   96.7   0.0   160   314    36   208    27   208 0.84 -
15573at50557_121845_0:003574|STRG.1281.2:3812-4435|+   -            208 15573at50557         -            318   5.2e-28   97.1   0.0   1   1   3.9e-30     7e-28   96.7   0.0   160   314    36   208    27   208 0.84 -
15573at50557_121845_0:003574|STRG.1281.4:3902-4525|+   -            208 15573at50557         -            318   5.2e-28   97.1   0.0   1   1   3.9e-30     7e-28   96.7   0.0   160   314    36   208    27   208 0.84 -
15573at50557_121845_0:003574|STRG.1281.5:1298-1921|+   -            208 15573at50557         -            318   5.2e-28   97.1   0.0   1   1   3.9e-30     7e-28   96.7   0.0   160   314    36   208    27   208 0.84 -
15573at50557_121845_0:003574|STRG.1281.6:3923-4546|+   -            208 15573at50557         -            318   5.2e-28   97.1   0.0   1   1   3.9e-30     7e-28   96.7   0.0   160   314    36   208    27   208 0.84 -
15573at50557_1155016_0:00335e|STRG.16236.1:813-1250|+  -            146 15573at50557         -            318   3.7e-25   87.7   0.0   1   1   2.6e-27   4.7e-25   87.4   0.0   162   288     2   142     1   146 0.83 -
15573at50557_1155016_0:00335e|STRG.20035.1:1714-2061|+ -            116 15573at50557         -            318   4.1e-21   74.4   0.0   1   1   2.6e-23   4.6e-21   74.3   0.0   161   263     3   116     1   116 0.83 -
15573at50557_1155016_0:00335e|STRG.20035.2:1191-1538|+ -            116 15573at50557         -            318   4.1e-21   74.4   0.0   1   1   2.6e-23   4.6e-21   74.3   0.0   161   263     3   116     1   116 0.83 -
20997at50557_319348_0:0039e8|STRG.13000.2:993-1370|+   -            126 15573at50557         -            318   2.1e-20   72.1   0.0   1   1   1.2e-22   2.1e-20   72.1   0.0   208   289    40   126     3   126 0.90 -
80623at50557_13249_0:0031ec|STRG.3790.1:409-915|+      -            169 15573at50557         -            318   7.8e-20   70.2   0.0   1   1   5.2e-22   9.5e-20   69.9   0.0   175   318     6   158     2   158 0.88 -
15573at50557_1155016_0:00335e|STRG.1293.1:1117-1491|+  -            125 15573at50557         -            318   2.1e-19   68.8   0.0   1   1   1.7e-21   3.2e-19   68.2   0.0   164   269     1   120     1   124 0.84 -
15573at50557_1155016_0:00335e|STRG.1293.2:906-1280|+   -            125 15573at50557         -            318   2.1e-19   68.8   0.0   1   1   1.7e-21   3.2e-19   68.2   0.0   164   269     1   120     1   124 0.84 -
139741at50557_307491_0:004a73|STRG.14440.1:4258-5217|+ -            320 15573at50557         -            318     2e-17   62.3   0.0   1   1   1.8e-19   3.3e-17   61.6   0.0   164   292    32   172    16   179 0.80 -
139741at50557_307491_0:004a73|STRG.14440.2:1593-2555|+ -            321 15573at50557         -            318   2.1e-17   62.2   0.0   1   1   1.9e-19   3.4e-17   61.6   0.0   164   292    32   172    16   179 0.80 -
80623at50557_13249_0:0031ec|STRG.9213.1:6049-6564|+    -            172 15573at50557         -            318   2.7e-17   61.9   0.0   1   1   2.1e-19   3.8e-17   61.4   0.0   160   294    17   165     3   168 0.82 -
80623at50557_13249_0:0031ec|STRG.9213.2:2445-2960|+    -            172 15573at50557         -            318   2.7e-17   61.9   0.0   1   1   2.1e-19   3.8e-17   61.4   0.0   160   294    17   165     3   168 0.82 -
80623at50557_13249_0:0031ec|STRG.9213.3:801-1316|+     -            172 15573at50557         -            318   2.7e-17   61.9   0.0   1   1   2.1e-19   3.8e-17   61.4   0.0   160   294    17   165     3   168 0.82 -
15573at50557_121845_0:003574|STRG.19425.1:4788-5432|+  -            215 15573at50557         -            318   2.5e-13   48.8   0.0   1   2   4.8e-07   8.8e-05   20.8   0.0   160   193    32    65    19   101 0.89 -
15573at50557_121845_0:003574|STRG.19425.1:4788-5432|+  -            215 15573at50557         -            318   2.5e-13   48.8   0.0   2   2   1.1e-08   1.9e-06   26.2   0.0   237   289   135   188   130   204 0.89 -
15573at50557_121845_0:003574|STRG.19425.2:4770-5414|+  -            215 15573at50557         -            318   2.5e-13   48.8   0.0   1   2   4.8e-07   8.8e-05   20.8   0.0   160   193    32    65    19   101 0.89 -
15573at50557_121845_0:003574|STRG.19425.2:4770-5414|+  -            215 15573at50557         -            318   2.5e-13   48.8   0.0   2   2   1.1e-08   1.9e-06   26.2   0.0   237   289   135   188   130   204 0.89 -
15573at50557_42026_0:0003ae|STRG.19054.1:1646-2014|+   -            123 15573at50557         -            318   2.6e-13   48.8   0.1   1   1     2e-15   3.7e-13   48.3   0.1   161   265     3   120     1   123 0.78 -
15573at50557_42026_0:0003ae|STRG.19054.2:2443-2811|+   -            123 15573at50557         -            318   2.6e-13   48.8   0.1   1   1     2e-15   3.7e-13   48.3   0.1   161   265     3   120     1   123 0.78 -
15573at50557_42026_0:0003ae|STRG.19054.3:1705-2073|+   -            123 15573at50557         -            318   2.6e-13   48.8   0.1   1   1     2e-15   3.7e-13   48.3   0.1   161   265     3   120     1   123 0.78 -
15573at50557_42026_0:0003ae|STRG.19054.4:1705-2073|+   -            123 15573at50557         -            318   2.6e-13   48.8   0.1   1   1     2e-15   3.7e-13   48.3   0.1   161   265     3   120     1   123 0.78 -
15573at50557_42026_0:0003ae|STRG.19054.5:2443-2811|+   -            123 15573at50557         -            318   2.6e-13   48.8   0.1   1   1     2e-15   3.7e-13   48.3   0.1   161   265     3   120     1   123 0.78 -
15573at50557_42026_0:0003ae|STRG.19054.6:1800-2168|+   -            123 15573at50557         -            318   2.6e-13   48.8   0.1   1   1     2e-15   3.7e-13   48.3   0.1   161   265     3   120     1   123 0.78 -
15573at50557_1155016_0:00335e|STRG.8335.1:549-896|+    -            116 15573at50557         -            318   7.5e-13   47.3   0.0   1   1   4.7e-15   8.4e-13   47.1   0.0   161   265     1   116     1   116 0.83 -
