#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
83902at50557_13686_0:0017a1|STRG.8777.1:0-851|+        -            284 83902at50557         -            211  2.4e-106  352.7  11.0   1   1  1.3e-107    1e-105  350.6  11.0     1   211    15   256    15   256 0.93 -
54603at50557_103372_0:00290d|STRG.8711.1:0-1844|+      -            615 83902at50557         -            211   7.1e-48  161.7  27.5   1   6   6.6e-07   5.3e-05   21.6   0.0   143   184   138   179   123   181 0.87 -
54603at50557_103372_0:00290d|STRG.8711.1:0-1844|+      -            615 83902at50557         -            211   7.1e-48  161.7  27.5   2   6   1.7e-06   0.00014   20.2   0.4   138   183   179   224   177   227 0.92 -
54603at50557_103372_0:00290d|STRG.8711.1:0-1844|+      -            615 83902at50557         -            211   7.1e-48  161.7  27.5   3   6   1.5e-15   1.2e-13   49.8   4.4    82   183   190   293   188   300 0.93 -
54603at50557_103372_0:00290d|STRG.8711.1:0-1844|+      -            615 83902at50557         -            211   7.1e-48  161.7  27.5   4   6   6.3e-06   0.00051   18.4   0.1   141   188   297   344   293   361 0.73 -
54603at50557_103372_0:00290d|STRG.8711.1:0-1844|+      -            615 83902at50557         -            211   7.1e-48  161.7  27.5   5   6   1.8e-18   1.5e-16   59.3   7.0    32   184   364   527   359   528 0.87 -
54603at50557_103372_0:00290d|STRG.8711.1:0-1844|+      -            615 83902at50557         -            211   7.1e-48  161.7  27.5   6   6    0.0043      0.35    9.1   0.0   118   159   550   595   549   598 0.87 -
54603at50557_217634_0:0030bb|STRG.19126.1:566-1666|+   -            367 83902at50557         -            211   7.6e-44  148.5  21.9   1   5   3.6e-07   2.9e-05   22.4   0.2   102   145    32    74    23    77 0.79 -
54603at50557_217634_0:0030bb|STRG.19126.1:566-1666|+   -            367 83902at50557         -            211   7.6e-44  148.5  21.9   2   5     6e-23   4.8e-21   74.0   5.3    31   185    69   232    68   235 0.89 -
54603at50557_217634_0:0030bb|STRG.19126.1:566-1666|+   -            367 83902at50557         -            211   7.6e-44  148.5  21.9   3   5   6.8e-06   0.00055   18.3   0.1   140   183   233   276   230   278 0.89 -
54603at50557_217634_0:0030bb|STRG.19126.1:566-1666|+   -            367 83902at50557         -            211   7.6e-44  148.5  21.9   4   5     1e-08   8.1e-07   27.5   0.8   139   185   278   324   275   325 0.96 -
54603at50557_217634_0:0030bb|STRG.19126.1:566-1666|+   -            367 83902at50557         -            211   7.6e-44  148.5  21.9   5   5   2.2e-07   1.8e-05   23.1   0.0   137   179   322   364   321   367 0.95 -
54603at50557_217634_0:0030bb|STRG.19126.2:136-1236|+   -            367 83902at50557         -            211   7.6e-44  148.5  21.9   1   5   3.6e-07   2.9e-05   22.4   0.2   102   145    32    74    23    77 0.79 -
54603at50557_217634_0:0030bb|STRG.19126.2:136-1236|+   -            367 83902at50557         -            211   7.6e-44  148.5  21.9   2   5     6e-23   4.8e-21   74.0   5.3    31   185    69   232    68   235 0.89 -
54603at50557_217634_0:0030bb|STRG.19126.2:136-1236|+   -            367 83902at50557         -            211   7.6e-44  148.5  21.9   3   5   6.8e-06   0.00055   18.3   0.1   140   183   233   276   230   278 0.89 -
54603at50557_217634_0:0030bb|STRG.19126.2:136-1236|+   -            367 83902at50557         -            211   7.6e-44  148.5  21.9   4   5     1e-08   8.1e-07   27.5   0.8   139   185   278   324   275   325 0.96 -
54603at50557_217634_0:0030bb|STRG.19126.2:136-1236|+   -            367 83902at50557         -            211   7.6e-44  148.5  21.9   5   5   2.2e-07   1.8e-05   23.1   0.0   137   179   322   364   321   367 0.95 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 83902at50557         -            211   1.5e-35  121.4  35.9   1   4   2.1e-15   1.7e-13   49.3   9.0    64   184     6   128     1   129 0.85 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 83902at50557         -            211   1.5e-35  121.4  35.9   2   4     1e-11   8.1e-10   37.3   6.4    40   183   113   264   112   285 0.83 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 83902at50557         -            211   1.5e-35  121.4  35.9   3   4   7.4e-07     6e-05   21.4   1.6    34    84   198   248   188   331 0.94 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 83902at50557         -            211   1.5e-35  121.4  35.9   4   4   3.2e-16   2.6e-14   52.0   5.6    33   172   332   482   320   482 0.87 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 83902at50557         -            211   2.5e-30  104.3  65.3   1  10      0.19        16    3.7   0.1    94   126   103   135    47   144 0.59 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 83902at50557         -            211   2.5e-30  104.3  65.3   2  10     0.019       1.5    7.0   0.5    92   172   101   185    87   186 0.64 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 83902at50557         -            211   2.5e-30  104.3  65.3   3  10   2.9e-07   2.3e-05   22.8   3.4    36   177   155   306   147   312 0.82 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 83902at50557         -            211   2.5e-30  104.3  65.3   4  10     2e-06   0.00016   20.0   3.2    34   177   292   451   286   454 0.79 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 83902at50557         -            211   2.5e-30  104.3  65.3   5  10     9e-06   0.00073   17.9   1.9    33   158   388   529   357   538 0.74 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 83902at50557         -            211   2.5e-30  104.3  65.3   6  10   0.00024      0.02   13.2   0.5    82   178   520   624   518   646 0.81 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 83902at50557         -            211   2.5e-30  104.3  65.3   7  10   2.7e-15   2.2e-13   49.0   4.3    38   179   638   790   637   799 0.82 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 83902at50557         -            211   2.5e-30  104.3  65.3   8  10   2.4e-05     0.002   16.5   4.4    38   135   778   885   776   893 0.77 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 83902at50557         -            211   2.5e-30  104.3  65.3   9  10    0.0004     0.032   12.5   2.6    97   170   892   967   887   979 0.84 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 83902at50557         -            211   2.5e-30  104.3  65.3  10  10       2.6   2.1e+02    0.0   0.2   120   156  1034  1075  1013  1114 0.48 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 83902at50557         -            211   2.5e-30  104.3  65.3   1  10      0.19        16    3.7   0.1    94   126   103   135    47   144 0.59 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 83902at50557         -            211   2.5e-30  104.3  65.3   2  10     0.019       1.5    7.0   0.5    92   172   101   185    87   186 0.64 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 83902at50557         -            211   2.5e-30  104.3  65.3   3  10   2.9e-07   2.3e-05   22.8   3.4    36   177   155   306   147   312 0.82 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 83902at50557         -            211   2.5e-30  104.3  65.3   4  10     2e-06   0.00016   20.0   3.2    34   177   292   451   286   454 0.79 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 83902at50557         -            211   2.5e-30  104.3  65.3   5  10     9e-06   0.00073   17.9   1.9    33   158   388   529   357   538 0.74 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 83902at50557         -            211   2.5e-30  104.3  65.3   6  10   0.00024      0.02   13.2   0.5    82   178   520   624   518   646 0.81 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 83902at50557         -            211   2.5e-30  104.3  65.3   7  10   2.7e-15   2.2e-13   49.0   4.3    38   179   638   790   637   799 0.82 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 83902at50557         -            211   2.5e-30  104.3  65.3   8  10   2.4e-05     0.002   16.5   4.4    38   135   778   885   776   893 0.77 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 83902at50557         -            211   2.5e-30  104.3  65.3   9  10    0.0004     0.032   12.5   2.6    97   170   892   967   887   979 0.84 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 83902at50557         -            211   2.5e-30  104.3  65.3  10  10       2.6   2.1e+02    0.0   0.2   120   156  1034  1075  1013  1114 0.48 -
54603at50557_224129_0:0029b4|STRG.15062.1:867-1997|+   -            377 83902at50557         -            211   4.1e-28   97.1  40.8   1   4   8.1e-05    0.0066   14.8   0.2   140   185     9    54     4    73 0.81 -
54603at50557_224129_0:0029b4|STRG.15062.1:867-1997|+   -            377 83902at50557         -            211   4.1e-28   97.1  40.8   2   4     3e-07   2.4e-05   22.7   1.4    23    75    69   121    57   129 0.87 -
54603at50557_224129_0:0029b4|STRG.15062.1:867-1997|+   -            377 83902at50557         -            211   4.1e-28   97.1  40.8   3   4   4.6e-14   3.7e-12   45.0  12.7    33   174   126   279   120   281 0.83 -
54603at50557_224129_0:0029b4|STRG.15062.1:867-1997|+   -            377 83902at50557         -            211   4.1e-28   97.1  40.8   4   4   2.6e-16   2.1e-14   52.3   6.0    45   184   187   337   185   348 0.86 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 83902at50557         -            211   9.4e-28   95.9  33.7   1   6   2.9e-06   0.00024   19.5   1.6    91   174    19   107     8   121 0.81 -
