#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
84764at50557_13686_0:002310|STRG.13516.1:140-1153|+    -            338 84764at50557         -            287    5e-160  530.2   4.0   1   1  2.9e-160  4.7e-159  527.0   4.0     1   286     7   324     7   325 0.93 -
84764at50557_108931_0:001940|STRG.10609.1:153-1001|+   -            283 84764at50557         -            287   7.4e-68  227.7   0.1   1   1   5.5e-69   8.7e-68  227.5   0.1     4   230     1   232     1   269 0.88 -
84764at50557_441921_0:00052c|STRG.7537.1:185-1069|+    -            295 84764at50557         -            287   2.6e-66  222.6   0.0   1   1   1.9e-67   3.1e-66  222.4   0.0     1   252     7   267     7   281 0.88 -
84764at50557_123851_0:00190f|STRG.14209.1:1973-2890|+  -            306 84764at50557         -            287   1.6e-63  213.5   0.0   1   1   1.2e-64   1.9e-63  213.3   0.0     6   251     5   265     1   289 0.86 -
84764at50557_123851_0:00190f|STRG.14209.3:1565-2482|+  -            306 84764at50557         -            287   1.6e-63  213.5   0.0   1   1   1.2e-64   1.9e-63  213.3   0.0     6   251     5   265     1   289 0.86 -
84764at50557_123851_0:00190f|STRG.14209.4:1719-2636|+  -            306 84764at50557         -            287   1.6e-63  213.5   0.0   1   1   1.2e-64   1.9e-63  213.3   0.0     6   251     5   265     1   289 0.86 -
84764at50557_123851_0:00190f|STRG.14209.5:2090-3007|+  -            306 84764at50557         -            287   1.6e-63  213.5   0.0   1   1   1.2e-64   1.9e-63  213.3   0.0     6   251     5   265     1   289 0.86 -
84764at50557_123851_0:00190f|STRG.14209.6:2006-2923|+  -            306 84764at50557         -            287   1.6e-63  213.5   0.0   1   1   1.2e-64   1.9e-63  213.3   0.0     6   251     5   265     1   289 0.86 -
84764at50557_64459_0:000601|STRG.14209.2:155-1187|+    -            275 84764at50557         -            287   1.6e-63  213.4   0.0   1   1   1.2e-64     2e-63  213.2   0.0     5   251     9   270     5   274 0.86 -
84764at50557_441921_0:00052c|STRG.7537.2:460-1296|+    -            279 84764at50557         -            287   3.2e-62  209.2   0.0   1   1   2.4e-63   3.8e-62  209.0   0.0    11   252     1   251     1   265 0.87 -
84764at50557_326594_0:0017ea|STRG.7912.2:172-942|+     -            257 84764at50557         -            287   6.2e-61  205.0   0.0   1   1   4.5e-62   7.1e-61  204.8   0.0    39   262     1   229     1   244 0.92 -
84764at50557_286706_0:000034|STRG.7912.1:172-1088|+    -            245 84764at50557         -            287   2.4e-60  203.1   0.0   1   1   1.7e-61   2.7e-60  202.9   0.0    39   261     1   227     1   242 0.91 -
84764at50557_326594_0:0017ea|STRG.7912.3:172-1029|+    -            256 84764at50557         -            287   2.7e-60  202.9   0.0   1   1   1.9e-61     3e-60  202.7   0.0    39   262     1   228     1   243 0.91 -
84764at50557_7493_0:00284f|STRG.8417.1:311-1183|+      -            291 84764at50557         -            287     3e-59  199.4   0.0   1   1   2.2e-60   3.4e-59  199.3   0.0     2   244     1   251     1   289 0.86 -
84764at50557_326594_0:0017ea|STRG.9898.1:359-1243|+    -            295 84764at50557         -            287   1.3e-58  197.3   0.0   1   1   1.1e-59   1.7e-58  197.0   0.0     2   226     5   233     4   247 0.92 -
84764at50557_326594_0:0017ea|STRG.9898.2:1255-2139|+   -            295 84764at50557         -            287   1.3e-58  197.3   0.0   1   1   1.1e-59   1.7e-58  197.0   0.0     2   226     5   233     4   247 0.92 -
84764at50557_326594_0:0017ea|STRG.9898.3:935-1819|+    -            295 84764at50557         -            287   1.3e-58  197.3   0.0   1   1   1.1e-59   1.7e-58  197.0   0.0     2   226     5   233     4   247 0.92 -
84764at50557_326594_0:0017ea|STRG.9898.4:331-1215|+    -            295 84764at50557         -            287   1.3e-58  197.3   0.0   1   1   1.1e-59   1.7e-58  197.0   0.0     2   226     5   233     4   247 0.92 -
84764at50557_326594_0:0017ea|STRG.9898.5:2289-3173|+   -            295 84764at50557         -            287   1.3e-58  197.3   0.0   1   1   1.1e-59   1.7e-58  197.0   0.0     2   226     5   233     4   247 0.92 -
84764at50557_326594_0:0017ea|STRG.9898.6:625-1509|+    -            295 84764at50557         -            287   1.3e-58  197.3   0.0   1   1   1.1e-59   1.7e-58  197.0   0.0     2   226     5   233     4   247 0.92 -
84764at50557_7493_0:00284f|STRG.8588.1:136-1077|+      -            314 84764at50557         -            287   5.1e-57  192.1   0.1   1   1     4e-58   6.4e-57  191.8   0.1     1   226     5   244     5   261 0.89 -
84764at50557_378494_0:0062f9|STRG.3391.1:90-1127|+     -            274 84764at50557         -            287   7.7e-56  188.3   0.0   1   1   5.9e-57   9.4e-56  188.0   0.0    23   259    12   249     1   274 0.88 -
84764at50557_121225_0:001830|STRG.2963.1:3248-4246|+   -            333 84764at50557         -            287   8.4e-52  175.0   0.0   1   1   7.4e-53   1.2e-51  174.5   0.0     3   227     2   240     1   277 0.85 -
84764at50557_121225_0:001830|STRG.2963.2:3248-4246|+   -            333 84764at50557         -            287   8.4e-52  175.0   0.0   1   1   7.4e-53   1.2e-51  174.5   0.0     3   227     2   240     1   277 0.85 -
84764at50557_121225_0:001830|STRG.2963.3:3023-4021|+   -            333 84764at50557         -            287   8.4e-52  175.0   0.0   1   1   7.4e-53   1.2e-51  174.5   0.0     3   227     2   240     1   277 0.85 -
84764at50557_121225_0:001830|STRG.2963.4:3119-4117|+   -            333 84764at50557         -            287   8.4e-52  175.0   0.0   1   1   7.4e-53   1.2e-51  174.5   0.0     3   227     2   240     1   277 0.85 -
84764at50557_441921_0:00052c|STRG.6347.2:75-944|+      -            290 84764at50557         -            287   1.1e-51  174.7   0.0   1   1   8.4e-53   1.3e-51  174.4   0.0     1   216     3   219     3   252 0.88 -
84764at50557_441921_0:00052c|STRG.6347.1:71-949|+      -            293 84764at50557         -            287   1.1e-51  174.6   0.0   1   1   8.7e-53   1.4e-51  174.3   0.0     1   216     6   222     6   255 0.88 -
84764at50557_7159_0:002468|STRG.11689.1:786-1697|+     -            304 84764at50557         -            287   1.6e-51  174.1   0.0   1   1   2.5e-51   3.9e-50  169.5   0.0     3   254     2   280     1   299 0.80 -
84764at50557_7159_0:002468|STRG.11689.2:943-1854|+     -            304 84764at50557         -            287   1.6e-51  174.1   0.0   1   1   2.5e-51   3.9e-50  169.5   0.0     3   254     2   280     1   299 0.80 -
84764at50557_7159_0:002468|STRG.11689.3:820-1731|+     -            304 84764at50557         -            287   1.6e-51  174.1   0.0   1   1   2.5e-51   3.9e-50  169.5   0.0     3   254     2   280     1   299 0.80 -
84764at50557_7159_0:002468|STRG.11689.4:552-1463|+     -            304 84764at50557         -            287   1.6e-51  174.1   0.0   1   1   2.5e-51   3.9e-50  169.5   0.0     3   254     2   280     1   299 0.80 -
84764at50557_7539_0:000ea4|STRG.8170.1:358-1248|+      -            297 84764at50557         -            287   4.8e-51  172.5   0.0   1   1   3.5e-52   5.6e-51  172.3   0.0     1   254     1   266     1   288 0.83 -
84764at50557_7539_0:000ea4|STRG.8170.2:350-1240|+      -            297 84764at50557         -            287   4.8e-51  172.5   0.0   1   1   3.5e-52   5.6e-51  172.3   0.0     1   254     1   266     1   288 0.83 -
63395at50557_219809_0:002247|STRG.15629.1:63-1451|+    -            463 84764at50557         -            287   1.1e-48  164.8   0.0   1   1     2e-49   3.1e-48  163.3   0.0     8   226    37   290    32   295 0.80 -
