#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
80758at50557_307658_0:001056|STRG.1078.1:251-1204|+   -            318 80758at50557         -            282  3.3e-171  567.0   0.0   1   1  2.9e-174  3.8e-171  566.8   0.0     1   282    19   316    19   316 0.96 -
80758at50557_66420_0:000fa5|STRG.12464.1:12-830|+     -            273 80758at50557         -            282   1.4e-15   56.4   1.9   1   1   5.2e-18   6.8e-15   54.2   1.9    13   261    16   257     7   260 0.84 -
80758at50557_66420_0:000fa5|STRG.12464.3:185-1003|+   -            273 80758at50557         -            282   1.4e-15   56.4   1.9   1   1   5.2e-18   6.8e-15   54.2   1.9    13   261    16   257     7   260 0.84 -
100579at50557_39758_0:00344c|STRG.18677.2:238-936|+   -            233 80758at50557         -            282    0.0046   15.4   0.1   1   2   0.00018      0.24    9.8   0.0   104   157    24    77     6    96 0.86 -
100579at50557_39758_0:00344c|STRG.18677.2:238-936|+   -            233 80758at50557         -            282    0.0046   15.4   0.1   2   2     0.013        17    3.7   0.0   132   150   169   187   142   214 0.75 -
100579at50557_104688_0:000c00|STRG.18677.1:566-1123|+ -            186 80758at50557         -            282     0.022   13.1   0.1   1   2    0.0011       1.4    7.2   0.1   116   157     6    47     2    83 0.90 -
100579at50557_104688_0:000c00|STRG.18677.1:566-1123|+ -            186 80758at50557         -            282     0.022   13.1   0.1   2   2    0.0085        11    4.3   0.0   131   150   138   157   111   184 0.74 -
100579at50557_104688_0:000c00|STRG.18677.3:208-765|+  -            186 80758at50557         -            282     0.022   13.1   0.1   1   2    0.0011       1.4    7.2   0.1   116   157     6    47     2    83 0.90 -
100579at50557_104688_0:000c00|STRG.18677.3:208-765|+  -            186 80758at50557         -            282     0.022   13.1   0.1   2   2    0.0085        11    4.3   0.0   131   150   138   157   111   184 0.74 -
93160at50557_224129_0:001b1d|STRG.17071.4:371-1006|+  -            212 80758at50557         -            282     0.083   11.3   0.3   1   2   0.00012      0.16   10.3   0.1    93   159     7    72     4    79 0.90 -
93160at50557_224129_0:001b1d|STRG.17071.4:371-1006|+  -            212 80758at50557         -            282     0.083   11.3   0.3   2   2       2.2   2.9e+03   -3.6   0.0   178   236   129   142   111   151 0.52 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/80758at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/80758at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/80758at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:09:54 2024
# [ok]
