#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
126036at50557_610380_0:002482|STRG.18678.2:30-524|+  -            165 126036at50557        -            141   1.1e-82  274.2   2.1   1   1     1e-85   1.3e-82  274.0   2.1     1   141     3   153     3   153 0.95 -
126036at50557_104421_0:000bd6|STRG.18678.1:155-718|+ -            188 126036at50557        -            141   1.7e-82  273.6   2.1   1   1   1.7e-85     2e-82  273.4   2.1     1   141    26   176    26   176 0.95 -
91691at50557_103372_0:00006a|STRG.18903.1:0-914|+    -            305 126036at50557        -            141   9.4e-09   34.6   0.0   1   2   0.00045      0.55    9.4   0.0     7    59    95   148    89   163 0.85 -
91691at50557_103372_0:00006a|STRG.18903.1:0-914|+    -            305 126036at50557        -            141   9.4e-09   34.6   0.0   2   2   3.1e-08   3.8e-05   22.9   0.0    64   126   174   243   158   256 0.75 -
126036at50557_7282_0:002e63|STRG.3632.1:1539-1964|+  -            142 126036at50557        -            141   2.4e-07   30.1   0.1   1   2      0.68   8.2e+02   -0.8   0.1    69    81    41    53    19    72 0.76 -
126036at50557_7282_0:002e63|STRG.3632.1:1539-1964|+  -            142 126036at50557        -            141   2.4e-07   30.1   0.1   2   2   3.1e-10   3.8e-07   29.4   0.1    62   131    64   133    30   142 0.79 -
126036at50557_13249_0:002126|STRG.3956.2:738-1067|+  -            110 126036at50557        -            141   0.00013   21.2   0.4   1   1   1.3e-07   0.00015   21.0   0.4    42   125     3    96     1   108 0.75 -
126036at50557_13249_0:002126|STRG.3956.3:429-758|+   -            110 126036at50557        -            141   0.00013   21.2   0.4   1   1   1.3e-07   0.00015   21.0   0.4    42   125     3    96     1   108 0.75 -
126036at50557_13249_0:002126|STRG.3956.1:738-1025|+  -             96 126036at50557        -            141   0.00023   20.4   0.5   1   1   2.1e-07   0.00025   20.3   0.5    42   116     3    87     1    96 0.75 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/126036at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/126036at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/126036at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:52:45 2024
# [ok]
