#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
50572at50557_103372_0:001cd5|STRG.17429.1:0-1274|+    -            425 50572at50557         -            342  1.5e-192  637.5   0.0   1   1  1.5e-194  2.1e-192  637.1   0.0     2   335    10   371     9   374 0.96 -
50572at50557_1629725_0:001c2e|STRG.17429.2:0-614|+    -            181 50572at50557         -            342   6.2e-96  319.9   1.4   1   1   4.8e-98   6.9e-96  319.7   1.4    30   200     1   181     1   181 0.97 -
50585at50557_7394_0:002547|STRG.15934.1:160-2511|+    -            784 50572at50557         -            342   7.4e-25   86.2   0.0   1   2   3.4e-13   4.9e-11   40.7   0.0   203   322   287   417   276   431 0.77 -
50585at50557_7394_0:002547|STRG.15934.1:160-2511|+    -            784 50572at50557         -            342   7.4e-25   86.2   0.0   2   2   7.4e-14   1.1e-11   42.9   0.0   196   326   553   697   547   709 0.77 -
58203at50557_1049336_0:002c09|STRG.7178.1:224-1099|+  -            292 50572at50557         -            342   4.3e-16   57.4   0.0   1   1   4.6e-18   6.6e-16   56.7   0.0   193   321   101   242    91   249 0.79 -
58203at50557_6973_0:002101|STRG.5999.1:1467-2102|+    -            212 50572at50557         -            342   1.8e-15   55.3   0.0   1   1   1.7e-17   2.5e-15   54.8   0.0   194   320    15   154     9   162 0.81 -
58203at50557_103372_0:00224b|STRG.15487.1:237-1169|+  -            311 50572at50557         -            342   1.8e-15   55.3   0.0   1   1   1.8e-17   2.5e-15   54.8   0.0   195   321    95   234    73   237 0.76 -
58203at50557_28612_0:005bfb|STRG.6513.1:210-1133|+    -            308 50572at50557         -            342   7.4e-15   53.3   0.0   1   1   7.2e-17     1e-14   52.8   0.0   190   324    88   235    69   249 0.74 -
58203at50557_28612_0:0055dd|STRG.8673.1:955-1779|+    -            275 50572at50557         -            342   1.6e-14   52.2   0.0   1   1   1.4e-16     2e-14   51.9   0.0   194   332    34   186    13   195 0.81 -
58203at50557_103372_0:00224b|STRG.1649.1:348-1403|+   -            352 50572at50557         -            342   1.8e-12   45.4   0.0   1   1   2.1e-14     3e-12   44.7   0.0   191   321   133   276   115   295 0.76 -
58203at50557_103372_0:00224b|STRG.1649.2:150-1205|+   -            352 50572at50557         -            342   1.8e-12   45.4   0.0   1   1   2.1e-14     3e-12   44.7   0.0   191   321   133   276   115   295 0.76 -
58203at50557_103372_0:00224b|STRG.12244.1:4-1194|+    -            397 50572at50557         -            342   1.2e-11   42.8   0.0   1   1   1.2e-13   1.7e-11   42.3   0.0   191   321   161   304   143   316 0.76 -
58203at50557_1049336_0:002c09|STRG.17002.1:387-1079|+ -            231 50572at50557         -            342   2.1e-11   41.9   0.0   1   1   2.6e-13   3.7e-11   41.1   0.0   203   333    39   184    27   192 0.79 -
