#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
98332at50557_103372_0:00196c|STRG.1008.1:0-632|+       -            211 98332at50557         -            180   3.9e-99  328.4   0.4   1   1  2.6e-100   1.9e-98  326.2   0.4     1   180     1   209     1   209 0.94 -
68581at50557_680683_0:0014ea|STRG.11293.1:3673-4479|+  -            269 98332at50557         -            180   1.6e-29  101.6   0.2   1   3   2.4e-11   1.8e-09   36.2   0.0   132   180     4    53     1    53 0.93 -
68581at50557_680683_0:0014ea|STRG.11293.1:3673-4479|+  -            269 98332at50557         -            180   1.6e-29  101.6   0.2   2   3   2.4e-07   1.7e-05   23.2   0.0   128   179   128   186   115   187 0.78 -
68581at50557_680683_0:0014ea|STRG.11293.1:3673-4479|+  -            269 98332at50557         -            180   1.6e-29  101.6   0.2   3   3     4e-12   2.9e-10   38.8   0.0   128   179   211   264   193   265 0.89 -
98332at50557_1218281_0:000683|STRG.1008.2:42-209|+     -             56 98332at50557         -            180   9.8e-26   89.2   0.0   1   1   1.5e-27   1.1e-25   89.1   0.0   129   180     1    54     1    54 0.96 -
68581at50557_166423_0:000f4f|STRG.7529.1:0-863|+       -            288 98332at50557         -            180   5.9e-19   67.1   0.0   1   3   8.9e-06   0.00064   18.1   0.0   133   178    19    66    13    68 0.83 -
68581at50557_166423_0:000f4f|STRG.7529.1:0-863|+       -            288 98332at50557         -            180   5.9e-19   67.1   0.0   2   3   2.1e-05    0.0015   16.9   0.0   128   177    86   140    79   143 0.80 -
68581at50557_166423_0:000f4f|STRG.7529.1:0-863|+       -            288 98332at50557         -            180   5.9e-19   67.1   0.0   3   3   1.9e-08   1.4e-06   26.8   0.0    46   117   183   264   177   276 0.80 -
68581at50557_166361_0:00349c|STRG.7158.1:465-1091|+    -            209 98332at50557         -            180   2.6e-16   58.5   0.0   1   3   7.8e-08   5.7e-06   24.8   0.0   134   178     4    50     1    52 0.86 -
68581at50557_166361_0:00349c|STRG.7158.1:465-1091|+    -            209 98332at50557         -            180   2.6e-16   58.5   0.0   2   3   0.00049     0.036   12.4   0.0   130   179    86   137    65   138 0.82 -
68581at50557_166361_0:00349c|STRG.7158.1:465-1091|+    -            209 98332at50557         -            180   2.6e-16   58.5   0.0   3   3     9e-06   0.00065   18.1   0.0   127   178   154   207   143   209 0.77 -
68581at50557_166361_0:00349c|STRG.7158.2:279-905|+     -            209 98332at50557         -            180   2.6e-16   58.5   0.0   1   3   7.8e-08   5.7e-06   24.8   0.0   134   178     4    50     1    52 0.86 -
68581at50557_166361_0:00349c|STRG.7158.2:279-905|+     -            209 98332at50557         -            180   2.6e-16   58.5   0.0   2   3   0.00049     0.036   12.4   0.0   130   179    86   137    65   138 0.82 -
68581at50557_166361_0:00349c|STRG.7158.2:279-905|+     -            209 98332at50557         -            180   2.6e-16   58.5   0.0   3   3     9e-06   0.00065   18.1   0.0   127   178   154   207   143   209 0.77 -
68581at50557_166361_0:00349c|STRG.7158.3:9-635|+       -            209 98332at50557         -            180   2.6e-16   58.5   0.0   1   3   7.8e-08   5.7e-06   24.8   0.0   134   178     4    50     1    52 0.86 -
68581at50557_166361_0:00349c|STRG.7158.3:9-635|+       -            209 98332at50557         -            180   2.6e-16   58.5   0.0   2   3   0.00049     0.036   12.4   0.0   130   179    86   137    65   138 0.82 -
68581at50557_166361_0:00349c|STRG.7158.3:9-635|+       -            209 98332at50557         -            180   2.6e-16   58.5   0.0   3   3     9e-06   0.00065   18.1   0.0   127   178   154   207   143   209 0.77 -
91571at50557_2015173_0:000792|STRG.12457.2:0-860|+     -            287 98332at50557         -            180   1.1e-15   56.5   0.5   1   2     5e-14   3.6e-12   45.0   0.2    42   180     8   165     3   165 0.80 -
91571at50557_2015173_0:000792|STRG.12457.2:0-860|+     -            287 98332at50557         -            180   1.1e-15   56.5   0.5   2   2     0.015       1.1    7.6   0.0   140   178   234   274   205   276 0.80 -
15817at50557_38123_0:0022d3|STRG.18297.1:290-856|+     -            189 98332at50557         -            180   2.7e-15   55.2   0.0   1   2   1.9e-07   1.4e-05   23.5   0.0    55   112    20    77    16    86 0.84 -
15817at50557_38123_0:0022d3|STRG.18297.1:290-856|+     -            189 98332at50557         -            180   2.7e-15   55.2   0.0   2   2   4.8e-09   3.5e-07   28.8   0.0    56   114   127   185    89   189 0.84 -
15817at50557_38123_0:0022d3|STRG.18297.2:104-670|+     -            189 98332at50557         -            180   2.7e-15   55.2   0.0   1   2   1.9e-07   1.4e-05   23.5   0.0    55   112    20    77    16    86 0.84 -
15817at50557_38123_0:0022d3|STRG.18297.2:104-670|+     -            189 98332at50557         -            180   2.7e-15   55.2   0.0   2   2   4.8e-09   3.5e-07   28.8   0.0    56   114   127   185    89   189 0.84 -
91571at50557_2015173_0:000792|STRG.12457.1:887-1714|+  -            276 98332at50557         -            180   4.5e-15   54.5   0.3   1   2   2.1e-13   1.5e-11   43.0   0.1    47   180     2   154     1   154 0.79 -
