#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
96662at50557_286306_0:0043a3|STRG.14947.2:250-1760|+    -            401 96662at50557         -            445  1.2e-168  560.7   1.0   1   1  3.2e-170  1.3e-168  560.6   1.0    38   411     1   400     1   401 0.99 -
96662at50557_103372_0:0000f8|STRG.14947.3:174-941|+     -            256 96662at50557         -            445  6.1e-125  416.6   0.2   1   1  1.7e-126  6.8e-125  416.5   0.2     1   232    21   255    21   256 0.96 -
2648at50557_7539_0:00235a|STRG.6579.10:649-2922|+       -            758 96662at50557         -            445     2e-66  223.8  17.1   1  10   1.6e-12   6.4e-11   40.8   0.1   340   444    18   122     9   123 0.92 -
2648at50557_7539_0:00235a|STRG.6579.10:649-2922|+       -            758 96662at50557         -            445     2e-66  223.8  17.1   2  10   4.4e-08   1.8e-06   26.2   0.0   371   444    81   155    80   156 0.95 -
2648at50557_7539_0:00235a|STRG.6579.10:649-2922|+       -            758 96662at50557         -            445     2e-66  223.8  17.1   3  10   1.4e-06   5.7e-05   21.2   0.1   366   444   171   250   155   251 0.88 -
2648at50557_7539_0:00235a|STRG.6579.10:649-2922|+       -            758 96662at50557         -            445     2e-66  223.8  17.1   4  10   1.4e-06   5.6e-05   21.2   0.0   372   431   243   302   239   307 0.94 -
2648at50557_7539_0:00235a|STRG.6579.10:649-2922|+       -            758 96662at50557         -            445     2e-66  223.8  17.1   5  10   9.1e-09   3.7e-07   28.4   0.0   368   443   305   381   301   382 0.91 -
2648at50557_7539_0:00235a|STRG.6579.10:649-2922|+       -            758 96662at50557         -            445     2e-66  223.8  17.1   6  10   2.2e-05   0.00091   17.3   0.0   368   429   371   432   364   434 0.90 -
2648at50557_7539_0:00235a|STRG.6579.10:649-2922|+       -            758 96662at50557         -            445     2e-66  223.8  17.1   7  10   8.5e-08   3.4e-06   25.2   0.0   372   444   441   514   435   515 0.92 -
2648at50557_7539_0:00235a|STRG.6579.10:649-2922|+       -            758 96662at50557         -            445     2e-66  223.8  17.1   8  10   6.6e-09   2.7e-07   28.9   0.0   345   430   513   598   504   609 0.85 -
2648at50557_7539_0:00235a|STRG.6579.10:649-2922|+       -            758 96662at50557         -            445     2e-66  223.8  17.1   9  10   3.5e-06   0.00014   19.9   0.0   369   430   603   664   598   668 0.93 -
2648at50557_7539_0:00235a|STRG.6579.10:649-2922|+       -            758 96662at50557         -            445     2e-66  223.8  17.1  10  10   1.2e-10   4.8e-09   34.6   0.0   357   444   657   745   655   746 0.93 -
2648at50557_7539_0:00235a|STRG.6579.1:970-3243|+        -            758 96662at50557         -            445     2e-66  223.8  17.1   1  10   1.6e-12   6.4e-11   40.8   0.1   340   444    18   122     9   123 0.92 -
2648at50557_7539_0:00235a|STRG.6579.1:970-3243|+        -            758 96662at50557         -            445     2e-66  223.8  17.1   2  10   4.4e-08   1.8e-06   26.2   0.0   371   444    81   155    80   156 0.95 -
2648at50557_7539_0:00235a|STRG.6579.1:970-3243|+        -            758 96662at50557         -            445     2e-66  223.8  17.1   3  10   1.4e-06   5.7e-05   21.2   0.1   366   444   171   250   155   251 0.88 -
2648at50557_7539_0:00235a|STRG.6579.1:970-3243|+        -            758 96662at50557         -            445     2e-66  223.8  17.1   4  10   1.4e-06   5.6e-05   21.2   0.0   372   431   243   302   239   307 0.94 -
2648at50557_7539_0:00235a|STRG.6579.1:970-3243|+        -            758 96662at50557         -            445     2e-66  223.8  17.1   5  10   9.1e-09   3.7e-07   28.4   0.0   368   443   305   381   301   382 0.91 -
2648at50557_7539_0:00235a|STRG.6579.1:970-3243|+        -            758 96662at50557         -            445     2e-66  223.8  17.1   6  10   2.2e-05   0.00091   17.3   0.0   368   429   371   432   364   434 0.90 -
2648at50557_7539_0:00235a|STRG.6579.1:970-3243|+        -            758 96662at50557         -            445     2e-66  223.8  17.1   7  10   8.5e-08   3.4e-06   25.2   0.0   372   444   441   514   435   515 0.92 -
2648at50557_7539_0:00235a|STRG.6579.1:970-3243|+        -            758 96662at50557         -            445     2e-66  223.8  17.1   8  10   6.6e-09   2.7e-07   28.9   0.0   345   430   513   598   504   609 0.85 -
2648at50557_7539_0:00235a|STRG.6579.1:970-3243|+        -            758 96662at50557         -            445     2e-66  223.8  17.1   9  10   3.5e-06   0.00014   19.9   0.0   369   430   603   664   598   668 0.93 -
2648at50557_7539_0:00235a|STRG.6579.1:970-3243|+        -            758 96662at50557         -            445     2e-66  223.8  17.1  10  10   1.2e-10   4.8e-09   34.6   0.0   357   444   657   745   655   746 0.93 -
2648at50557_7539_0:00235a|STRG.6579.2:1012-3285|+       -            758 96662at50557         -            445     2e-66  223.8  17.1   1  10   1.6e-12   6.4e-11   40.8   0.1   340   444    18   122     9   123 0.92 -
2648at50557_7539_0:00235a|STRG.6579.2:1012-3285|+       -            758 96662at50557         -            445     2e-66  223.8  17.1   2  10   4.4e-08   1.8e-06   26.2   0.0   371   444    81   155    80   156 0.95 -
2648at50557_7539_0:00235a|STRG.6579.2:1012-3285|+       -            758 96662at50557         -            445     2e-66  223.8  17.1   3  10   1.4e-06   5.7e-05   21.2   0.1   366   444   171   250   155   251 0.88 -
2648at50557_7539_0:00235a|STRG.6579.2:1012-3285|+       -            758 96662at50557         -            445     2e-66  223.8  17.1   4  10   1.4e-06   5.6e-05   21.2   0.0   372   431   243   302   239   307 0.94 -
2648at50557_7539_0:00235a|STRG.6579.2:1012-3285|+       -            758 96662at50557         -            445     2e-66  223.8  17.1   5  10   9.1e-09   3.7e-07   28.4   0.0   368   443   305   381   301   382 0.91 -
2648at50557_7539_0:00235a|STRG.6579.2:1012-3285|+       -            758 96662at50557         -            445     2e-66  223.8  17.1   6  10   2.2e-05   0.00091   17.3   0.0   368   429   371   432   364   434 0.90 -
2648at50557_7539_0:00235a|STRG.6579.2:1012-3285|+       -            758 96662at50557         -            445     2e-66  223.8  17.1   7  10   8.5e-08   3.4e-06   25.2   0.0   372   444   441   514   435   515 0.92 -
2648at50557_7539_0:00235a|STRG.6579.2:1012-3285|+       -            758 96662at50557         -            445     2e-66  223.8  17.1   8  10   6.6e-09   2.7e-07   28.9   0.0   345   430   513   598   504   609 0.85 -
2648at50557_7539_0:00235a|STRG.6579.2:1012-3285|+       -            758 96662at50557         -            445     2e-66  223.8  17.1   9  10   3.5e-06   0.00014   19.9   0.0   369   430   603   664   598   668 0.93 -
2648at50557_7539_0:00235a|STRG.6579.2:1012-3285|+       -            758 96662at50557         -            445     2e-66  223.8  17.1  10  10   1.2e-10   4.8e-09   34.6   0.0   357   444   657   745   655   746 0.93 -
2648at50557_7539_0:00235a|STRG.6579.4:650-2923|+        -            758 96662at50557         -            445     2e-66  223.8  17.1   1  10   1.6e-12   6.4e-11   40.8   0.1   340   444    18   122     9   123 0.92 -
2648at50557_7539_0:00235a|STRG.6579.4:650-2923|+        -            758 96662at50557         -            445     2e-66  223.8  17.1   2  10   4.4e-08   1.8e-06   26.2   0.0   371   444    81   155    80   156 0.95 -
2648at50557_7539_0:00235a|STRG.6579.4:650-2923|+        -            758 96662at50557         -            445     2e-66  223.8  17.1   3  10   1.4e-06   5.7e-05   21.2   0.1   366   444   171   250   155   251 0.88 -
