#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
68076at50557_103372_0:002437|STRG.14076.1:191-1186|+ -            332 68076at50557         -            281  1.9e-150  498.6   0.3   1   1  2.4e-153  2.2e-150  498.4   0.3     2   280    17   324    16   325 0.93 -
68076at50557_13686_0:000925|STRG.14076.3:200-730|+   -            177 68076at50557         -            281   3.2e-85  284.6   0.1   1   1   3.9e-88   3.6e-85  284.4   0.1   129   280     3   169     1   170 0.92 -
68076at50557_13686_0:000925|STRG.14076.4:104-634|+   -            177 68076at50557         -            281   3.2e-85  284.6   0.1   1   1   3.9e-88   3.6e-85  284.4   0.1   129   280     3   169     1   170 0.92 -
68076at50557_67767_0:003716|STRG.14076.2:171-635|+   -            155 68076at50557         -            281   7.6e-59  198.1   0.3   1   1   9.6e-62   8.8e-59  197.9   0.3     2   126    17   155    16   155 0.92 -
68076at50557_7091_0:000218|STRG.10141.1:736-1710|+   -            325 68076at50557         -            281   1.8e-37  127.9   0.0   1   1   1.7e-39   1.6e-36  124.8   0.0     2   260    17   316    16   323 0.78 -
68076at50557_7091_0:000218|STRG.10141.2:168-1142|+   -            325 68076at50557         -            281   1.8e-37  127.9   0.0   1   1   1.7e-39   1.6e-36  124.8   0.0     2   260    17   316    16   323 0.78 -
68076at50557_7091_0:000218|STRG.10141.3:547-1521|+   -            325 68076at50557         -            281   1.8e-37  127.9   0.0   1   1   1.7e-39   1.6e-36  124.8   0.0     2   260    17   316    16   323 0.78 -
68076at50557_7091_0:000218|STRG.10141.4:553-1527|+   -            325 68076at50557         -            281   1.8e-37  127.9   0.0   1   1   1.7e-39   1.6e-36  124.8   0.0     2   260    17   316    16   323 0.78 -
68076at50557_7091_0:000218|STRG.10141.5:718-1692|+   -            325 68076at50557         -            281   1.8e-37  127.9   0.0   1   1   1.7e-39   1.6e-36  124.8   0.0     2   260    17   316    16   323 0.78 -
65123at50557_456900_0:002de1|STRG.1257.1:511-1557|+  -            349 68076at50557         -            281   2.2e-35  121.1   0.0   1   1   4.6e-38   4.2e-35  120.2   0.0    67   279   103   339    99   341 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/68076at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/68076at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/68076at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:09:08 2024
# [ok]
